feature_name,no_gluc_tol_pval,no_feeding_pval,no_cross_pval,no_gluc_tol_fdr_pval,no_feeding_fdr_pval,no_cross_fdr_pval,full_model_converged,no_gluc_tol_converged,no_feeding_converged,no_cross_converged,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params,full_model_aic,no_gluc_tol_aic,no_feeding_aic,no_cross_aic,delta_aic_full_no_gluc,delta_aic_full_no_feeding,delta_aic_full_no_cross
m_10,,0.0011584335259493177,0.0003453947702187674,,0.002469706000451751,0.0049860585261232,True,False,True,True,-0.10613214855445108,-10.822841778703477,-8.08353709017679,-8.076954682151907,"{'Intercept': 28.54355388581103, 'glucose_tolerance[T.impaired]': 0.3107689756598237, 'glucose_tolerance[T.normal]': 0.5188525742026251, 'bg_type[T.RBG]': 0.26104590918214443, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.23321917712820958, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.7631908100623083, 'Group Var': 0.02522430095511579}","{'Intercept': 28.8027088884815, 'bg_type[T.RBG]': -0.008201841394441092, 'Group Var': 0.17963129768425684}","{'Intercept': 28.67407684040215, 'glucose_tolerance[T.impaired]': 0.1941593870956888, 'glucose_tolerance[T.normal]': 0.13725716917143593, 'Group Var': 8.504384895739602e-10}","{'Intercept': 28.67817776109936, 'glucose_tolerance[T.impaired]': 0.19415938709568925, 'glucose_tolerance[T.normal]': 0.13725716917143835, 'bg_type[T.RBG]': -0.00820184139444488, 'Group Var': 8.765168538468801e-10}",16.212264297108902,29.645683557406954,26.16707418035358,28.153909364303814,-13.433419260298052,-9.954809883244678,-11.941645067194912
m_11,0.003059047549526541,9.634029414960904e-08,0.0004214180528252619,0.020145614795901632,3.191041543767702e-07,0.005405560450146727,True,True,True,True,-52.04306735025888,-60.02830161254521,-69.78425110621394,-59.814952567653776,"{'Intercept': 27.94201359477622, 'glucose_tolerance[T.impaired]': 0.4550183177875614, 'glucose_tolerance[T.normal]': 0.9084857938137337, 'bg_type[T.RBG]': 0.06027956513712394, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -1.0805166171308038, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -1.716983234572824, 'Group Var': 1.2889573172511753e-09}","{'Intercept': 28.351219912432768, 'bg_type[T.RBG]': -0.8233753903428573, 'Group Var': 1.4323745599079176e-09}","{'Intercept': 27.972153377344796, 'glucose_tolerance[T.impaired]': -0.08523999077784901, 'glucose_tolerance[T.normal]': 0.049994176527308955, 'Group Var': 2.2369215062523454e-10}","{'Intercept': 28.383841072516248, 'glucose_tolerance[T.impaired]': -0.08523999077788229, 'glucose_tolerance[T.normal]': 0.04999417652727881, 'bg_type[T.RBG]': -0.823375390342858, 'Group Var': 2.2751873091283626e-10}",120.08613470051776,128.0566032250904,149.5685022124279,131.62990513530755,-7.970468524572652,-29.482367511910127,-11.543770434789792
m_12,0.3412297831336143,0.034512577443112855,0.13689450817659557,0.4924760392637889,0.055405985514523796,0.3242337049826489,True,True,True,True,6.294410166861425,4.0388451415899596,1.9754308587398413,4.30586550378537,"{'Intercept': 29.17013127621968, 'glucose_tolerance[T.impaired]': -0.11187575025649042, 'glucose_tolerance[T.normal]': 0.02939096638925793, 'bg_type[T.RBG]': -0.16351154263307074, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.13512630793413252, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.1603501857626513, 'Group Var': 2.539137329997692e-10}","{'Intercept': 29.120071594369296, 'bg_type[T.RBG]': -0.12801842581855002, 'Group Var': 1.9171609112542804e-10}","{'Intercept': 29.088375504903176, 'glucose_tolerance[T.impaired]': -0.044312596289461194, 'glucose_tolerance[T.normal]': -0.05078412649209899, 'Group Var': 2.487148749168356e-10}","{'Intercept': 29.152384717812478, 'glucose_tolerance[T.impaired]': -0.04431259628947362, 'glucose_tolerance[T.normal]': -0.05078412649212119, 'bg_type[T.RBG]': -0.1280184258185652, 'Group Var': 2.8532070880230065e-10}",3.4111796662771496,-0.0776902831799191,6.0491382825203175,3.3882689924292606,3.4888699494570687,-2.637958616243168,0.02291067384788903
m_13,0.5011155598475983,0.1153734515026433,0.3321225816358497,0.6328917479740668,0.16445234760764244,0.5437878254246061,True,True,True,True,-1.0291938601024384,-2.703982931729712,-3.9911286975885076,-2.1314450165189527,"{'Intercept': 28.774749070747355, 'glucose_tolerance[T.impaired]': -0.12473734660272093, 'glucose_tolerance[T.normal]': -0.07673564823687072, 'bg_type[T.RBG]': -0.20163525998773, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.16863902636595196, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.047458609242416475, 'Group Var': 2.79637959730616e-10}","{'Intercept': 28.697033267798627, 'bg_type[T.RBG]': -0.1268074686532524, 'Group Var': 1.8483580862471393e-10}","{'Intercept': 28.673931440753496, 'glucose_tolerance[T.impaired]': -0.04041783341976516, 'glucose_tolerance[T.normal]': -0.10046495285807847, 'Group Var': 2.5619832714150364e-10}","{'Intercept': 28.737335175080112, 'glucose_tolerance[T.impaired]': -0.04041783341974114, 'glucose_tolerance[T.normal]': -0.1004649528580704, 'bg_type[T.RBG]': -0.12680746865326, 'Group Var': 2.8484712189259585e-10}",18.058387720204877,13.407965863459424,17.982257395177015,16.262890033037905,4.650421856745453,0.07613032502786155,1.7954976871669714
m_14,0.7508099969890031,0.6848428121901848,0.6904788968865985,0.8201507663837876,0.7345491453330208,0.8148877168161177,True,True,True,True,-62.71553544123573,-63.674610609370674,-63.45996760545465,-63.08590530991144,"{'Intercept': 25.22719817987329, 'glucose_tolerance[T.impaired]': 0.28338315537070907, 'glucose_tolerance[T.normal]': 0.6204888076435439, 'bg_type[T.RBG]': 0.34375442636844267, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.2451919959660516, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.38810753235504686, 'Group Var': 0.2661068676631806}","{'Intercept': 25.492987519087354, 'bg_type[T.RBG]': 0.1435369219144036, 'Group Var': 0.3130230520820749}","{'Intercept': 25.39907539305753, 'glucose_tolerance[T.impaired]': 0.1607871573876674, 'glucose_tolerance[T.normal]': 0.4264350414660075, 'Group Var': 0.2534103478687357}","{'Intercept': 25.327306932100317, 'glucose_tolerance[T.impaired]': 0.1607871573876818, 'glucose_tolerance[T.normal]': 0.42643504146601624, 'bg_type[T.RBG]': 0.14353692191440734, 'Group Var': 0.25974282701774754}",141.43107088247146,135.34922121874135,136.9199352109093,138.17181061982288,6.081849663730111,4.511135671562158,3.2592602626485814
m_15,0.179668084121244,0.22974790636854786,0.12775034156741386,0.3319787108190334,0.2968864948514344,0.3084920957682382,True,True,True,True,20.356984027098164,17.220491772486838,18.20131164034892,18.299306650913792,"{'Intercept': 28.20865639498432, 'glucose_tolerance[T.impaired]': 0.08775092544009426, 'glucose_tolerance[T.normal]': 0.2309717292711186, 'bg_type[T.RBG]': 0.12494826992863413, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.10304590863895029, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.26510215813968, 'Group Var': 1.3291942682400397e-09}","{'Intercept': 28.29872620355858, 'bg_type[T.RBG]': 0.0204048839812155, 'Group Var': 2.202256392684853e-08}","{'Intercept': 28.271130529948632, 'glucose_tolerance[T.impaired]': 0.03622797112061964, 'glucose_tolerance[T.normal]': 0.09842065020128718, 'Group Var': 4.472116235922236e-10}","{'Intercept': 28.260928087957993, 'glucose_tolerance[T.impaired]': 0.03622797112064066, 'glucose_tolerance[T.normal]': 0.09842065020130686, 'bg_type[T.RBG]': 0.020404883981230647, 'Group Var': 4.93978807462264e-10}",-24.71396805419633,-26.440983544973676,-26.40262328069784,-24.598613301827584,1.7270154907773474,1.6886552265015098,-0.11535475236874504
m_16,0.025971150012218596,0.47261895452615754,0.29884230612958307,0.08482584891958381,0.5397345920579435,0.5097380382802019,True,True,True,True,-48.0858263949368,-53.61249147172789,-49.343235771911466,-49.29366564390368,"{'Intercept': 27.110427201945203, 'glucose_tolerance[T.impaired]': 0.5701236272814318, 'glucose_tolerance[T.normal]': 0.8502789305028282, 'bg_type[T.RBG]': 0.042811083181625104, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.033565174288735476, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.5207082794154088, 'Group Var': 0.018335990556717106}","{'Intercept': 27.5655448016865, 'bg_type[T.RBG]': -0.04454798555708901, 'Group Var': 0.25147636378457805}","{'Intercept': 27.131832743535988, 'glucose_tolerance[T.impaired]': 0.5869062144258294, 'glucose_tolerance[T.normal]': 0.5899247907951493, 'Group Var': 0.009280736667206487}","{'Intercept': 27.154106736314585, 'glucose_tolerance[T.impaired]': 0.5869062144257624, 'glucose_tolerance[T.normal]': 0.589924790795086, 'bg_type[T.RBG]': -0.04454798555707377, 'Group Var': 0.009626737608999252}",112.1716527898736,115.22498294345579,108.68647154382293,110.58733128780736,-3.0533301535821806,3.485181246050672,1.5843215020662456
m_17,0.030367355466225092,5.627671793816903e-10,0.018494840641555554,0.09494603544503287,2.5339178467472463e-09,0.0736810586849068,True,True,True,True,-27.5521766401355,-32.893679506561384,-50.56009709439358,-31.54244011016904,"{'Intercept': 27.148493427651335, 'glucose_tolerance[T.impaired]': 0.004271790887952279, 'glucose_tolerance[T.normal]': -0.043736273547577, 'bg_type[T.RBG]': 1.0688499316609243, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.37799147706609465, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.7496328942492699, 'Group Var': 0.40208085777096386}","{'Intercept': 27.141882068385794, 'bg_type[T.RBG]': 0.7299276142780246, 'Group Var': 0.4686208558380414}","{'Intercept': 27.68291839348182, 'glucose_tolerance[T.impaired]': -0.1847239476451323, 'glucose_tolerance[T.normal]': -0.41855272067225613, 'Group Var': 0.059924087216684796}","{'Intercept': 27.31795458634284, 'glucose_tolerance[T.impaired]': -0.18472394764514402, 'glucose_tolerance[T.normal]': -0.4185527206722673, 'bg_type[T.RBG]': 0.7299276142780137, 'Group Var': 0.31817665879544876}",71.104353280271,73.78735901312277,111.12019418878717,75.08488022033808,-2.6830057328517682,-40.01584090851617,-3.9805269400670795
m_18,0.32597379047796166,0.36541631003549363,0.22184499169752517,0.48130545152553006,0.43868941604986983,0.4261888784944678,True,True,True,True,31.507625985853103,29.18633375405375,29.920104290974777,30.001849609266507,"{'Intercept': 27.92045065322655, 'glucose_tolerance[T.impaired]': -0.04911872366876222, 'glucose_tolerance[T.normal]': 0.09850080134966353, 'bg_type[T.RBG]': -0.005313858689697184, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.034528850417599566, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.13641285232349915, 'Group Var': 1.554555765189275e-10}","{'Intercept': 27.915591451662117, 'bg_type[T.RBG]': -0.015332003945619973, 'Group Var': 1.2017360811663996e-10}","{'Intercept': 27.917793723881736, 'glucose_tolerance[T.impaired]': -0.03185429846000139, 'glucose_tolerance[T.normal]': 0.03029437518788173, 'Group Var': 1.0559785406848571e-10}","{'Intercept': 27.925459725854513, 'glucose_tolerance[T.impaired]': -0.03185429845996728, 'glucose_tolerance[T.normal]': 0.03029437518791709, 'bg_type[T.RBG]': -0.015332003945612398, 'Group Var': 1.0796404356551116e-10}",-47.015251971706206,-50.3726675081075,-49.840208581949554,-48.003699218533015,3.357415536401291,2.8249566102433477,0.9884472468268086
m_19,0.008808631710701715,0.0818600550908938,0.05684975187137213,0.04149897609755658,0.12112412840842744,0.17427876061277026,True,True,True,True,6.5070175506923675,-0.27708973955681415,3.153700583804138,3.639674127277587,"{'Intercept': 27.7453577381317, 'glucose_tolerance[T.impaired]': 0.22498024002920203, 'glucose_tolerance[T.normal]': 0.43890280555034106, 'bg_type[T.RBG]': 0.1275124173338453, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.21674660340968077, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.38671692220652987, 'Group Var': 1.687723789521313e-10}","{'Intercept': 27.94562841925635, 'bg_type[T.RBG]': -0.05820426881228591, 'Group Var': 0.025655408242019315}","{'Intercept': 27.80911394679859, 'glucose_tolerance[T.impaired]': 0.11660693832439502, 'glucose_tolerance[T.normal]': 0.24554434444712192, 'Group Var': 2.8499803277169137e-10}","{'Intercept': 27.83821608120472, 'glucose_tolerance[T.impaired]': 0.11660693832441542, 'glucose_tolerance[T.normal]': 0.24554434444713502, 'bg_type[T.RBG]': -0.05820426881230101, 'Group Var': 2.8135766230584295e-10}",2.985964898615265,8.554179479113628,3.692598832391724,4.720651745444826,-5.568214580498363,-0.7066339337764589,-1.734686846829561
