,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
0,10.052,584.32806,+,4734661.708,,,1,4674076.981,4525478.367,4419024.629,3709532.69,4734661.708,108240.7319,,False,,,,
1,10.06,659.93549,+,2407185.429,,,1,2050046.369,1734798.71,2407185.429,1313701.633,154755.4397,2068878.482,,False,,,,
2,10.063,392.22778,+,10424288.97,,,2,9462703.808,8669194.79,4151132.298,9425166.432,4319839.283,10424288.97,,False,,,,
3,10.063,211.05342,+,2675642.324,,,1,162020.8459,139363.3577,141348.4481,2333816.123,2173786.281,2675642.324,,False,,,,
4,10.065,1279.77869,+,693287.3061,,,1,537357.3386,333526.471,693287.3061,91433.09974,660958.8096,475170.1089,,False,,,,
5,10.067,473.2356,+,1094601.218,,,1,87796.42716,1094601.218,688530.1298,539655.93,559659.794,626005.0779,,False,,,,
6,10.071,619.33606,+,1525733.668,,,2,747644.8764,606859.1512,94007.95402,41460.00653,1200423.944,1525733.668,,False,,,,
7,10.072,478.20688,+,578332.7047,,,3,578332.7047,351306.5377,351716.6124,310367.4454,574492.188,401947.0979,,False,,,,
8,10.075,321.13065,+,9521447.143,,,2,7074255.902,9015051.966,7172440.27,5147568.51,9521447.143,6847270.239,,False,,,,
9,10.077,271.06308,+,584443.8892,,,1,560482.76,576398.5023,584443.8892,41310.58167,67812.57863,518770.7497,,False,,,,
10,10.077,642.37006,+,570425.5766,,,2,52420.76269,484522.8236,505400.7523,570425.5766,496819.8612,558354.7385,,False,,,,
11,10.078,363.21643,+,12270480.65,,,3,8879349.984,141754.646,12270480.65,7420232.863,10719110.14,10655146.78,,False,,,,
12,10.08,355.17291,+,609167.2309,,,1,85498.96242,609167.2309,603020.0967,81312.64035,82761.83124,105435.334,,False,,,,
13,10.083,1165.74792,+,10035939.69,,,6,5132553.569,6601247.673,4976198.564,3548671.067,7746151.196,10035939.69,,False,,,,
14,10.084,329.15689,+,14715745.8,,,3,10236516.2,8030530.238,10844119.18,14715745.8,270569.5396,9707989.577,,False,,,,
15,10.084,629.32861,+,671507.7634,,,1,52747.16883,671507.7634,49136.46869,45452.1403,511293.6596,50554.58447,,False,,,,
16,10.085,627.38519,+,1097909.516,,,1,1097909.516,799309.9839,72588.71119,1040240.532,80541.21622,852558.577,,False,,,,
17,10.088,300.18024,+,10905747.98,,,4,10905747.98,231302.7177,6126869.821,8418676.909,7371163.83,257729.6717,,False,,,,
18,10.091,538.3374,+,1063653.512,,,3,1063653.512,735724.0022,908021.9793,93955.99879,740876.0421,94686.63558,,False,,,,
19,10.091,385.08997,+,752619.0277,,,1,752619.0277,563420.2006,216071.2434,202104.3142,196462.0527,309900.1854,,False,,,,
20,10.093,464.22784,+,41069576.86,,,3,29221354.16,713182.8707,41069576.86,396188.6337,38128246.67,22926879.86,,False,,,,
21,10.094,313.12823,+,8343766.354,,,2,8257964.515,8343766.354,281537.5614,271616.4062,276457.2774,6322822.226,,False,,,,
22,10.095,558.31183,+,1055564.855,,,1,743043.128,832665.342,849613.6891,1055564.855,89625.4791,88740.86014,,False,,,,
23,10.098,299.12088,+,85989844.64,,,1,55684896.3,413727.8471,419620.983,457440.1354,85989844.64,460997.36,,False,,,,
24,10.099,314.23209,+,9998351.792,,,3,8294985.196,5793050.981,9998351.792,7893510.433,217120.1491,214977.1358,,False,,,,
25,10.1,596.32819,+,1283126.624,,,1,1283126.624,1080165.701,1171499.184,91776.4456,862175.4136,1263891.447,,False,,,,
26,10.102,461.2359,+,4365550.941,,,1,361761.8849,4365550.941,4287223.799,344048.7838,3923420.104,346724.2351,,False,,,,
27,10.104,348.2103,+,11063732.87,,,4,295977.0229,4511886.118,11063732.87,4198879.816,10574006.15,7082444.371,,False,,,,
28,10.108,372.15848,+,10322013.72,,,3,10322013.72,239398.9679,3453074.251,8609861.124,269410.064,5556372.643,,False,,,,
29,10.108,213.03264,+,6493826.069,,,2,4367176.216,4127788.518,116437.7196,3996126.829,5061722.424,6493826.069,,False,,,,
30,10.11,358.22223,+,7696634.268,,,2,6689824.282,241975.3027,7378653.37,7696634.268,272309.3686,7681831.05,,False,,,,
31,10.11,450.26981,+,3031488.879,,,1,174389.9985,2894880.086,133030.6727,145020.3193,2304549.392,3031488.879,,False,,,,
32,10.112,494.29578,+,2002955.345,,,2,2002955.345,872455.3665,90943.49058,90591.06469,100906.8658,99910.89761,,False,,,,
33,10.115,517.2619,+,4909841.421,,,2,3319954.513,139169.3147,4121365.969,241873.5573,4909841.421,155069.7811,,False,,,,
34,10.121,476.24857,+,1098192.605,,,1,853379.2511,105088.8065,1098192.605,818486.8068,975308.3714,117095.4836,,False,,,,
35,10.131,599.39044,+,16688036.73,,,1,16688036.73,12198367.21,149323.685,15697647.29,16358278.59,164047.6224,,False,,,,
36,10.135,442.26205,+,690063.3599,,,1,52200.40721,35723.70588,73468.7621,429711.2855,690063.3599,572143.6869,,False,,,,
37,10.142,271.11481,+,3232814.355,,,1,2843757.124,151909.6503,154073.45,3232814.355,3041428.26,169265.734,,False,,,,
38,10.144,205.07935,+,565869458.8,,,5,251507879.2,95391324.56,94174958.56,249246955.7,39761922.15,565869458.8,,False,,,,
39,10.146,345.13992,+,831715.2073,,,1,373195.5213,831715.2073,115256.3702,564750.6189,40545.30545,69597.41907,,False,,,,
40,10.149,269.13834,+,4988003.897,,,1,1175103.923,4988003.897,2272852.99,2348104.245,973672.7034,1889854.057,,False,,,,
41,10.15,403.21573,+,1023867.209,,,1,344110.9529,1023867.209,530257.3506,619909.3066,251228.1605,421657.5305,,False,,,,
42,10.152,207.07491,+,33752546.8,,,1,30410161.3,30370151.16,33159392.52,33752546.8,440995.9899,436643.2834,,False,,,,
43,10.152,319.11493,+,3568148.086,,,1,1613232.115,3568148.086,213582.6052,416775.8349,1662016.53,1610805.804,,False,,,,
44,10.162,1051.71558,+,2013578.364,,,1,99577.40424,2013578.364,519983.3604,161041.2197,136353.2309,93250.48784,,False,,,,
45,10.169,245.07823,+,15625708.58,,,1,1732449.479,15625708.58,3818251.476,1449585.405,1106760.505,610349.392,,False,,,,
46,10.175,594.16101,+,1846374.878,,,2,867219.934,287185.565,449435.9761,261704.9703,105541.8372,1846374.878,,False,,,,
47,10.179,1134.7229,+,944002.2601,,,1,944002.2601,191527.2635,111747.8651,112342.438,126199.5794,122089.6845,,False,,,,
48,10.189,484.27515,+,967748.1915,,,1,967748.1915,669380.9038,822416.2621,73468.25195,944626.2894,857748.2796,,False,,,,
49,10.194,377.19171,+,28023697.81,,,1,335715.2615,288767.8175,292881.0238,28023697.81,18073056.12,321760.3128,,False,,,,
50,10.196,299.10999,+,1392543.386,,,1,1392543.386,186828.1,82650.22123,94816.89418,82988.43511,1067456.698,,False,,,,
51,10.206,305.14694,+,5647603.667,,,2,1547442.028,5647603.667,4410847.111,2587280.685,365929.4482,628905.1713,,False,,,,
52,10.212,590.22827,+,3273399.898,,,1,695309.7605,1054348.036,1479448.691,3273399.898,1632023.722,1006785.247,,False,,,,
53,10.213,439.11761,+,3058675.334,,,1,646553.1171,1176616.738,1059484.092,1396496.037,3058675.334,773315.202,,False,,,,
54,10.22,226.17998,+,30819286.58,,,1,218167.1822,30819286.58,190258.7325,538314.3586,440153.3363,225232.3557,,False,,,,
55,10.221,227.12569,+,5580164.204,,,1,1974005.734,4611320.901,2012380.529,5188349.21,5580164.204,284813.5123,,False,,,,
56,10.247,1165.74658,+,10035939.69,,,2,5132553.569,6601247.673,7150788.171,4315776.863,7746151.196,10035939.69,,False,,,,
57,10.253,466.17529,+,26184315.84,,,1,5105017.426,6307420.136,5968985.868,7398827.902,26184315.84,4963917.235,,False,,,,
58,10.263,294.20392,+,2665552.513,,,2,2665552.513,250862.0253,2594330.694,1005304.11,1012921.528,371255.3198,,False,,,,
59,10.268,414.30008,+,2405678.316,,,1,1128329.829,870022.8053,1008021.176,1132954.257,701493.8972,2405678.316,,False,,,,
60,10.281,265.10449,+,2045552.357,,,1,102950.0487,500210.6987,1291256.571,2045552.357,144992.7082,123747.3334,,False,,,,
61,10.283,363.14133,+,1268662.98,,,1,185354.6969,53800.4825,1268662.98,470984.6982,485345.044,669752.4182,,False,,,,
62,10.302,882.56885,+,1363431.138,,,1,1166425.422,178837.4069,119372.518,85045.10507,151902.8392,1363431.138,,False,,,,
63,10.314,307.11493,+,662434.9583,,,2,191516.7908,261823.5807,662434.9583,242204.5445,58020.74933,286190.6552,,False,,,,
64,10.318,568.02155,+,1992102.862,,,1,244934.9288,580282.9604,195718.6486,1992102.862,651454.6601,563109.4456,,False,,,,
65,10.334,249.10953,+,2819878.62,,,2,530752.942,1637999.344,2819878.62,1310706.809,1275199.676,1889918.832,,False,,,,
66,10.422,319.11502,+,763232.281,,,1,578027.0116,184853.0767,326461.9167,506229.0876,304614.4611,763232.281,,False,,,,
67,10.439,305.14679,+,4410847.111,,,1,2546805.681,449014.2163,4410847.111,639542.5095,933984.8754,3118105.81,,False,,,,
68,10.476,358.22217,+,7104416.009,,,2,598674.1211,793670.5312,930977.3376,1089628.136,7104416.009,5267989.516,,False,,,,
69,10.55,274.27377,+,6977115.387,,,2,3158068.885,2582979.408,4016736.198,5939066.015,4983219.654,6977115.387,,False,,,,
70,10.621,321.09198,+,785378.4043,,,3,588760.203,784751.2268,670095.5185,721442.8645,779488.1851,785378.4043,,False,,,,
71,10.691,274.27383,+,5939066.015,,,1,1840184.321,2500788.321,3953584.614,5939066.015,4983219.654,2256562.713,,False,,,,
72,10.711,305.14703,+,4300970.775,,,1,939619.1678,3311266.012,2384123.92,633859.9011,4300970.775,1383590.785,,False,,,,
73,10.724,907.26019,+,478422.9379,,,1,174900.7126,223875.82,251627.8917,122906.0006,478422.9379,145226.7988,,False,,,,
74,10.782,244.19052,+,6620170.235,,,1,6044114.252,6298552.952,305963.3362,886005.7067,6620170.235,322450.4183,,False,,,,
75,10.86,363.25278,+,1273143.211,,,1,1273143.211,327029.7895,540606.3517,505904.8575,243422.0409,629618.2685,,False,,,,
76,10.868,407.16745,+,177131.5752,,,1,36168.07755,177131.5752,61918.33074,29509.27273,33346.72594,142402.0638,,False,,,,
77,11.046,225.11047,+,8324189.103,,,1,364647.3586,3008833.896,5643823.231,4975302.062,8324189.103,7582764.491,,False,,,,
78,11.137,515.14929,+,1497250.08,,,6,1328077.5,1113606.299,1205711.615,1380429.277,1225060.719,1497250.08,,False,,,,
79,11.201,426.13712,+,843243.4518,,,1,843243.4518,237594.5922,415455.9132,69793.79136,194827.8426,143896.5487,,False,,,,
80,11.235,337.10452,+,3226228.762,,,1,1122748.243,1222221.429,2065545.409,3226228.762,1426877.438,2337163.304,,False,,,,
81,11.283,288.172,+,5515963.166,,,1,5515963.166,312445.754,314653.0628,363642.4397,285528.8519,92558.53923,,False,,,,
82,11.285,451.17282,+,24913358.33,,,1,16854437.69,24913358.33,18157992.01,18253179.57,17850788.48,14941889.69,,False,,,,
83,11.319,493.21771,+,6417393.514,,,1,4842210.523,5251765.75,6417393.514,4731056.922,4847183.435,5786645.031,,False,,,,
84,11.343,427.11771,+,767294.8906,,,1,612874.9348,299637.3681,767294.8906,630860.6862,634371.8851,502209.0239,,False,,,,
85,11.347,228.19557,+,73045648.82,,,6,33721974.61,66799223.18,65005321.76,56295315.43,51510980.39,73045648.82,,False,,,,
86,11.37,290.26889,+,7112093.209,,,5,4188561.364,3543143.946,5908235.97,6742248.789,7112093.209,6518032.824,,False,,,,
87,11.38,278.20883,+,8790567.653,,,2,3943607.305,4137130.486,5338775.499,6779409.209,8790567.653,7048736.917,,False,,,,
88,11.471,358.20114,+,56739359.57,,,4,40105781.57,56739359.57,46530050.95,54636097.39,51083878.83,45018933.79,,False,,,,
89,11.499,590.22797,+,5346162.97,,,1,3462767.019,4170242.533,3083128.12,3284657.117,5346162.97,2556761.509,,False,,,,
90,11.505,344.27975,+,4031039.715,AC 12:0,AC,1,2552867.333,2564419.719,3196033.199,4031039.715,3359355.578,3522527.93,,True,12.0,0.0,12.0,0.0
91,11.518,449.14874,+,29369251.0,,,1,24461648.12,17829748.59,25959340.58,18889158.85,18833384.79,29369251.0,,False,,,,
92,11.538,664.38251,+,3909111.314,,,1,3909111.314,2726433.283,2905061.879,1749718.494,1001948.896,2182022.185,,False,,,,
93,11.572,502.31583,+,52359279.93,,,2,40176076.02,16062221.55,52359279.93,51737799.04,19692868.51,50756514.74,,False,,,,
94,11.582,474.28458,+,25506131.8,,,1,20037355.51,6297411.764,21732501.11,23736722.34,19721526.31,25506131.8,,False,,,,
95,11.582,413.11636,+,1519266.51,,,1,256520.5285,1068863.971,1125617.992,920473.4984,1505114.292,1519266.51,,False,,,,
96,11.586,460.26883,+,56511872.55,,,3,56511872.55,22313777.82,49536909.12,43480476.91,24627618.0,46720007.88,,False,,,,
97,11.592,281.13788,+,186284837.8,,,4,144878721.0,129794232.2,120202332.7,123137338.4,143833069.4,186284837.8,,False,,,,
98,11.595,514.31628,+,290544747.4,,,3,182819267.9,290544747.4,150193601.0,126679998.0,115928410.5,113210841.1,,False,,,,
99,11.597,295.11719,+,95585716.38,,,5,82034823.81,68257419.94,61641985.79,65831762.12,73700342.19,95585716.38,,False,,,,
100,11.601,446.25339,+,36820296.42,,,2,36820296.42,20093362.16,29679870.53,34894573.82,16651119.12,36686300.06,,False,,,,
101,11.606,488.29999,+,79650625.63,,,2,56423310.93,41554428.37,55662202.36,79650625.63,29032656.15,63604631.81,,False,,,,
102,11.614,415.21219,+,11200435359.0,,,8,8662947252.0,7779222444.0,5267289458.0,11200435359.0,5386007802.0,5031999777.0,,False,,,,
103,11.615,215.08295,+,3410593.304,,,1,3410593.304,3369882.346,1993397.318,2548452.226,2472341.154,2595118.247,,False,,,,
104,11.636,488.26395,+,98513359.79,,,2,98513359.79,12318161.49,30078633.34,52536655.05,54730168.27,51995189.66,,False,,,,
105,11.64,502.27979,+,121512098.9,,,6,74248316.66,24606672.84,121512098.9,84446515.16,40117528.08,57342486.12,,False,,,,
106,11.64,872.43854,+,2616548.332,,,1,1053766.447,1035426.9,2616548.332,2224843.179,1621319.491,1943605.999,,False,,,,
107,11.668,415.16928,+,1020310.501,,,1,1020310.501,405276.1481,186302.757,716274.3133,782947.2321,299911.846,,False,,,,
108,11.825,286.14355,+,243195592.7,,,4,121035648.8,72930689.38,102912823.1,82215224.97,79667297.6,243195592.7,,False,,,,
109,11.868,446.25339,+,42678254.48,,,2,35111455.77,7859646.21,28744917.61,42678254.48,27129429.94,28464019.65,,False,,,,
110,11.882,460.26898,+,92016256.54,,,2,92016256.54,4122766.636,41925464.03,77409404.13,19941185.37,51135377.32,,False,,,,
111,11.889,516.33136,+,363069315.3,,,2,71062389.69,1268402.629,52727113.91,363069315.3,6304606.995,218153227.1,,False,,,,
112,11.894,291.10144,+,6723997.146,,,6,4377044.465,6513881.432,6581610.429,5949936.04,5982524.092,6723997.146,,False,,,,
113,11.913,415.21194,+,13979202773.0,,,6,13350471504.0,13979202773.0,9372362969.0,2439484293.0,4961189905.0,6428314023.0,,False,,,,
114,11.915,474.28476,+,50092141.24,,,2,40820921.92,25513280.79,1414290.658,50092141.24,49400400.82,34286498.87,,False,,,,
115,11.924,488.2641,+,123790275.0,,,4,22955843.05,78156872.88,64032487.29,70478839.22,123790275.0,52584255.33,,False,,,,
116,11.948,385.09045,+,1508120.384,,,1,327770.0095,1508120.384,403313.8218,507550.2608,1330614.203,232051.3068,,False,,,,
117,11.956,281.13806,+,352267784.0,,,3,325400924.4,352267784.0,198281747.5,296631513.1,240579161.3,317907952.3,,False,,,,
118,11.962,415.33459,+,1476516.755,,,1,645161.4935,832009.4784,675228.4073,1476516.755,583664.6314,788291.9611,,False,,,,
119,11.963,488.30011,+,169639920.4,,,1,151629664.4,71562540.85,53807088.34,118347817.4,112121519.6,169639920.4,,False,,,,
120,11.967,502.31601,+,196483461.3,,,3,36284199.15,60937309.2,70611001.62,196483461.3,53168485.8,99447802.42,,False,,,,
121,11.968,295.11746,+,411937271.3,,,2,411937271.3,327245416.4,114064778.4,171372373.3,120894061.8,257370732.8,,False,,,,
122,12.1,453.18771,+,108068822.1,,,3,34490985.69,51191469.22,70656025.48,59987111.37,89082436.79,108068822.1,,False,,,,
123,12.112,502.27966,+,226136054.2,,,1,183926133.6,145986733.8,178698892.5,226136054.2,76311016.97,147964510.2,,False,,,,
124,12.221,385.20074,+,23667594.11,,,1,18726999.65,16339303.58,12648392.17,22420915.1,23667594.11,20645027.71,,False,,,,
125,12.249,514.3158,+,414704749.0,,,3,179509012.9,329488999.1,414704749.0,398005409.1,276330596.8,286852556.1,,False,,,,
126,12.265,517.13586,+,6708345.816,,,1,6708345.816,6334369.031,5706523.279,4756551.449,2099311.136,2559152.665,,False,,,,
127,12.275,295.11737,+,587533152.6,,,3,587533152.6,138200921.2,207295765.7,202917220.1,213214590.9,215420511.9,,False,,,,
128,12.277,415.21213,+,24544712956.0,,,7,24544712956.0,21580184235.0,16939141924.0,21678024621.0,23096141298.0,23010189134.0,,False,,,,
129,12.293,460.26883,+,151535002.6,,,1,85994093.34,118686546.1,130155383.5,103069909.7,76705958.92,151535002.6,,False,,,,
130,12.306,502.27979,+,214787074.1,,,6,190980829.6,70511942.8,178698892.5,198842104.5,51433937.65,214787074.1,,False,,,,
131,12.311,502.31583,+,228995728.3,,,6,104371405.6,62003552.78,187006632.6,142362004.9,44678704.5,228995728.3,,False,,,,
132,12.313,446.25305,+,86276613.68,,,3,86276613.68,80355829.38,77845150.8,77550606.38,63991946.71,66070616.9,,False,,,,
133,12.315,459.2179,+,28017599.54,,,1,21300312.81,18918743.52,18282186.2,16885853.09,15415835.48,28017599.54,,False,,,,
134,12.316,281.13788,+,574252071.3,,,5,574252071.3,463023579.2,519929414.5,373568426.2,440982675.1,414735801.5,,False,,,,
135,12.316,474.28458,+,106252706.1,,,7,58132075.73,49673104.05,106252706.1,61604797.57,40526150.66,75283829.06,,False,,,,
136,12.331,488.26352,+,176625765.5,,,4,176625765.5,115612518.8,100353163.9,108616892.1,99558375.95,147812841.6,,False,,,,
137,12.333,325.20071,+,3284063.067,,,2,2541884.989,1269771.655,2066882.714,3284063.067,3111867.034,2067819.864,,False,,,,
138,12.362,413.11517,+,2806424.725,,,1,2167151.603,1156078.054,811600.3261,2297687.018,2806424.725,2782926.622,,False,,,,
139,12.365,851.39636,+,327210505.1,,,6,327210505.1,268099744.0,267560228.0,289777973.3,259595993.5,296450237.0,,False,,,,
140,12.373,418.21744,+,22398864.18,,,1,16165709.86,14480629.93,15875040.46,10219524.99,22398864.18,11526699.37,,False,,,,
141,12.379,707.35553,+,23582898.0,,,1,13530215.63,12306086.58,9695879.149,9649054.146,11114834.26,23582898.0,,False,,,,
142,12.382,432.23773,+,8208396104.0,,,1,8208396104.0,2580285361.0,3166241088.0,5510409839.0,1672185623.0,6781060924.0,,False,,,,
143,12.387,644.45245,+,3065717.207,,,1,2243485.98,2339761.304,2409906.986,2121508.263,3065717.207,1973452.169,,False,,,,
144,12.391,872.43732,+,7699103.866,,,1,4456196.682,4770931.729,7699103.866,5575852.615,1634933.474,4188100.831,,False,,,,
145,12.431,415.29337,+,746711.3664,,,1,351791.7208,228703.5297,164319.0573,207755.7017,320591.6789,746711.3664,,False,,,,
146,12.466,290.26889,+,7091330.612,,,1,7058943.74,6575460.851,5853124.117,6672121.002,6205767.906,7091330.612,,False,,,,
147,12.481,304.29953,+,7164581.851,,,5,5265482.092,6744752.845,7164581.851,6306165.425,5640162.618,5577381.127,,False,,,,
148,12.498,635.0647,+,2372587.46,,,1,1642724.37,1210374.639,1053295.291,1946111.005,1928402.966,2372587.46,,False,,,,
149,12.511,358.20078,+,119411845.3,,,5,119411845.3,95546800.52,101306327.4,102557185.7,87125912.87,114981998.8,,False,,,,
150,12.512,453.18787,+,56650939.03,,,2,38758160.78,41629398.69,46016515.44,46104477.79,56650939.03,50785732.26,,False,,,,
151,12.537,474.2486,+,16140849.57,,,1,15567337.99,13088451.34,14290923.34,10323686.89,6595279.533,16140849.57,,False,,,,
152,12.538,387.19302,+,48092507.75,,,1,5176364.377,48092507.75,28734267.01,30257477.76,9363175.413,28229336.39,,False,,,,
153,12.548,312.15958,+,20151314.05,,,2,20151314.05,12467632.38,8790809.472,8874502.246,8678320.58,15117441.6,,False,,,,
154,12.567,344.27942,+,8293402.546,AC 12:0,AC,5,7688265.494,8293402.546,7233758.434,7583068.9,7715433.486,8057990.68,,True,12.0,0.0,12.0,0.0
155,12.571,402.16583,+,917807.2488,,,2,596716.0884,764827.0186,687700.064,645554.708,833893.9904,917807.2488,,False,,,,
156,12.651,385.20105,+,82927778.56,,,9,78539547.78,68895070.28,48791004.98,38269936.39,69109769.13,82927778.56,,False,,,,
157,12.654,431.20679,+,63837778.97,,,5,27684203.84,26410066.43,29311027.09,55590931.21,24457568.97,63837778.97,,False,,,,
158,12.655,291.10117,+,10044978.98,,,5,8938408.638,10044978.98,5722751.935,8371332.162,8112216.776,5660578.049,,False,,,,
159,12.67,227.16154,+,147911884.2,,,1,20499183.75,141905512.9,28283468.25,147911884.2,34130001.78,13885593.61,,False,,,,
160,12.709,635.06464,+,1421817.219,,,1,835939.1632,725127.9002,1421817.219,747188.548,854848.3809,627787.3393,,False,,,,
161,12.713,305.14691,+,4107024.424,,,2,500916.5737,534370.794,4107024.424,3562552.991,1129309.478,646349.8614,,False,,,,
162,12.719,588.37433,+,3751976.494,,,4,2819909.074,2671487.645,3751976.494,2799872.901,2604363.185,2654716.424,,False,,,,
163,12.731,413.07401,+,929636.1269,,,1,354178.7258,478929.3934,307327.2839,458130.8114,929636.1269,702466.7473,,False,,,,
164,12.755,307.24777,+,5958331.26,,,1,3322575.15,3666528.155,4662633.562,4951527.361,5958331.26,5809046.641,,False,,,,
165,12.759,335.13208,+,7519385.408,,,2,7519385.408,5773693.164,6931065.946,5356586.9,4616749.043,6598580.226,,False,,,,
166,12.773,443.20639,+,23489630.68,,,4,10904521.04,18781565.92,11352997.54,13339600.4,23489630.68,12250824.34,,False,,,,
167,12.829,307.09406,+,669226.1849,,,1,588403.4965,490166.454,83764.42619,582390.8528,669226.1849,639309.1842,,False,,,,
168,12.861,387.19293,+,28925500.84,,,5,17345386.31,25092753.2,28925500.84,17186192.98,26758997.55,22116718.21,,False,,,,
169,12.864,293.15076,+,237270714.9,,,10,237270714.9,183728394.0,78965025.69,123849927.9,228168175.2,185342468.4,,False,,,,
170,12.865,457.22198,+,72498808.02,,,6,53410885.16,64362420.7,42976642.09,66336092.98,18207742.11,72498808.02,,False,,,,
171,12.883,429.22717,+,39339545.11,,,5,29956351.62,27774050.82,29951644.47,31211699.71,30416313.38,39339545.11,,False,,,,
172,12.929,309.20593,+,11103849.4,,,6,6379044.831,7022626.792,6672143.346,8477955.129,6034468.137,11103849.4,,False,,,,
173,12.953,546.26971,+,23344703.19,,,1,17561545.08,21790264.97,12349651.33,23344703.19,17692296.01,16674875.71,,False,,,,
174,12.971,377.13837,+,604404.6546,,,5,393967.4837,604404.6546,417866.0851,485201.083,431216.4384,422533.6365,,False,,,,
175,12.973,227.16168,+,148209073.4,,,5,70891972.2,77192289.03,52764212.67,148209073.4,72180531.52,57529090.88,,False,,,,
176,12.99,563.31342,+,1784744.853,,,3,1784744.853,1466469.913,1647063.357,1274403.815,1521660.148,1391546.007,,False,,,,
177,12.997,581.2699,+,25619170.05,,,5,25619170.05,20918549.31,9952351.822,12316444.52,11281360.53,15063661.51,,False,,,,
178,12.999,395.12784,+,6697938.94,,,6,6231156.123,4907287.436,5410357.498,6697938.94,6106334.44,6370405.364,,False,,,,
179,13.019,440.27701,+,714617.8182,LysoPC 12:0,LysoPC,1,656573.3013,520327.5254,714617.8182,537235.5923,618241.8575,621327.5811,,True,12.0,0.0,12.0,0.0
180,13.025,269.13809,+,7536751.029,,,1,7536751.029,4777801.24,3077159.172,5271668.003,1837023.076,3847129.138,,False,,,,
181,13.062,346.13516,+,644963.9961,,,1,148006.8282,52008.51681,210130.7618,296788.6914,110555.0421,644963.9961,,False,,,,
182,13.068,223.06381,+,114392883.7,,,4,860521.934,2579759.64,32959107.45,75557102.57,70060575.71,114392883.7,,False,,,,
183,13.069,337.07489,+,97747162.41,,,6,6651086.56,6121597.561,29512132.13,67302490.45,87312837.95,97747162.41,,False,,,,
184,13.071,281.05096,+,15651796.06,,,3,157264.5644,3433144.309,4912205.828,13780539.49,14180688.17,15651796.06,,False,,,,
185,13.071,357.27875,+,1979609.56,,,1,975664.6968,1143744.388,1979609.56,1047486.242,1500011.984,1453612.109,,False,,,,
186,13.071,381.08203,+,1490369.201,,,3,39621.26679,42675.77974,313221.2869,935533.3052,1096452.197,1490369.201,,False,,,,
187,13.072,207.03223,+,884902.1213,,,3,104687.1804,237154.0858,243649.3182,807971.9422,848623.3451,884902.1213,,False,,,,
188,13.094,304.29968,+,27897266.52,,,6,11313350.0,21999203.57,13053728.34,22109897.05,9611760.677,27897266.52,,False,,,,
189,13.095,399.21671,+,118547358.2,,,2,118547358.2,81702093.08,86930917.05,62606338.87,44544193.71,19228674.34,,False,,,,
190,13.13,370.29507,+,49451692.94,AC 14:1,AC,5,24413584.26,25531283.78,39598038.36,37114257.22,47946715.02,49451692.94,,True,14.0,1.0,14.0,1.0
191,13.133,294.2063,+,30387451.11,,,6,19351449.0,27366272.03,28774661.33,30387451.11,23637660.26,27924479.15,,False,,,,
192,13.147,305.14703,+,2930898.986,,,1,2930898.986,367045.3837,376730.3601,501630.699,712959.5011,1942773.631,,False,,,,
193,13.151,221.11708,+,79607935.09,,,1,38221527.28,43197773.85,53450703.87,42693386.33,40126055.4,79607935.09,,False,,,,
194,13.215,400.2692,+,771566.3611,,,1,267747.8248,298490.7239,324553.7098,771566.3611,268591.6793,351253.1897,,False,,,,
195,13.224,572.37909,+,4032675.44,,,1,2239109.365,2061343.46,2961946.299,4032675.44,1983140.832,2223663.976,,False,,,,
196,13.23,253.10696,+,1087763.241,,,1,541546.4545,529885.9896,1087763.241,118738.4344,432438.125,308147.6862,,False,,,,
197,13.243,602.33264,+,13123885.87,,,5,10635202.2,13123885.87,9458634.206,11430717.07,11522357.19,11468198.09,,False,,,,
198,13.246,635.17047,+,1295626.028,,,1,733526.2687,724430.4568,646671.6614,1295626.028,796812.742,854020.8315,,False,,,,
199,13.254,594.27057,+,2697219.841,,,1,2505142.866,2340020.223,2298065.731,1865055.568,2662326.625,2697219.841,,False,,,,
200,13.273,331.18777,+,10745072.93,,,3,4293126.169,3919149.377,2874876.747,10745072.93,4177786.82,3347388.409,,False,,,,
201,13.281,454.31595,+,15960701.56,,,1,14244933.41,13795426.92,15960701.56,13117509.71,10712432.76,7767575.623,,False,,,,
202,13.282,465.34537,+,634462.5174,,,4,483914.2433,382982.6247,580928.2538,634462.5174,384694.2928,375405.9751,,False,,,,
203,13.302,335.21915,+,15326620.94,,,3,12370474.16,11555644.52,15326620.94,12432846.06,11502154.28,11259518.89,,False,,,,
204,13.308,269.1723,+,1299843.246,,,1,1028089.822,1182591.682,1299843.246,747716.4111,351691.2259,768310.0008,,False,,,,
205,13.323,373.25848,+,647902.922,,,1,491234.9708,258989.1903,319958.3565,502581.8705,359412.7721,647902.922,,False,,,,
206,13.345,399.21637,+,81062307.79,,,6,41924675.82,48386587.87,51806169.61,33955247.18,67346901.3,81062307.79,,False,,,,
