,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
2039,17.98,505.32874,+,427438.9299,,,1,427438.9299,103935.3517,399956.4046,268575.3333,365968.2444,243796.5123,,False,,,,
2040,17.981,532.37469,+,692672.7302,,,1,66177.74913,473367.7781,65396.20551,204535.4228,692672.7302,63898.79784,,False,,,,
2041,17.982,270.27887,+,3874033.05,,,2,2634246.37,2563762.276,2037801.262,2830673.591,3874033.05,1898802.424,,False,,,,
2042,17.983,634.45245,+,1044467.588,,,1,173211.7182,1044467.588,253615.4724,300621.923,212122.8007,201397.5535,,False,,,,
2043,17.984,644.50995,+,3329975.545,,,3,2196169.999,2636928.865,2183079.111,2074023.848,2332680.267,3329975.545,,False,,,,
2044,17.988,297.27866,+,93032129.44,,,6,51679886.35,66090856.03,71747293.66,53592792.58,80306792.81,93032129.44,,False,,,,
2045,17.989,550.33173,+,44534608.67,,,6,44307693.39,20329816.25,37330369.39,39992210.52,38943106.65,44534608.67,,False,,,,
2046,17.991,480.36838,+,5748531.641,,,6,5748531.641,3507075.01,3486735.627,5192487.799,5293206.442,5018336.061,,False,,,,
2047,17.991,477.35516,+,2445146.806,,,4,2445146.806,648997.7615,2093874.484,1652129.7,1194086.324,2271362.972,,False,,,,
2048,17.991,370.25012,+,1220338.053,,,1,1220338.053,1047148.525,1129936.685,1017927.667,1215674.068,1037641.985,,False,,,,
2049,17.997,412.34229,+,1690684.47,,,6,1689623.761,1266861.147,1266386.147,1690684.47,1366198.83,1599287.749,,False,,,,
2050,17.999,540.42676,+,1065442954.0,,,3,1065442954.0,736877915.6,697024968.5,1017409676.0,650397193.9,823441769.9,,False,,,,
2051,18.0,774.24481,+,2281878.672,,,1,1026275.699,620076.3321,840353.2364,928581.8255,708142.3786,2281878.672,,False,,,,
2052,18.001,405.29745,+,5459348.328,,,6,4616706.165,3006969.425,5043498.414,4001420.355,4792217.838,5459348.328,,False,,,,
2053,18.003,820.28705,+,10831857.97,,,6,10831857.97,8815239.508,9276082.062,8908475.204,9300312.156,10496750.93,,False,,,,
2054,18.004,1023.76886,+,2102638.988,,,5,1757600.516,1170891.579,1401090.441,1392427.301,1479444.591,2102638.988,,False,,,,
2055,18.004,712.47906,+,822212.1506,,,2,822212.1506,568460.0788,757709.8417,704560.955,701918.1123,543476.3224,,False,,,,
2056,18.007,626.23975,+,4197552.977,,,1,4164802.822,3286578.286,4019244.669,4197552.977,4095528.219,758942.7541,,False,,,,
2057,18.01,473.28137,+,8259431.564,,,6,8259431.564,6697231.537,7935569.709,6965349.602,6911387.97,7864767.873,,False,,,,
