Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),
10.052,584.32806,+,4734661.708,,,1,4674076.981,4525478.367,4419024.629,3709532.69,4734661.708,108240.7319,
10.06,659.93549,+,2407185.429,,,1,2050046.369,1734798.71,2407185.429,1313701.633,154755.4397,2068878.482,
10.063,392.22778,+,1.042428897E7,,,2,9462703.808,8669194.79,4151132.298,9425166.432,4319839.283,1.042428897E7,
10.063,211.05342,+,2675642.324,,,1,162020.8459,139363.3577,141348.4481,2333816.123,2173786.281,2675642.324,
10.065,1279.77869,+,693287.3061,,,1,537357.3386,333526.471,693287.3061,91433.09974,660958.8096,475170.1089,
10.067,473.2356,+,1094601.218,,,1,87796.42716,1094601.218,688530.1298,539655.93,559659.794,626005.0779,
10.071,619.33606,+,1525733.668,,,2,747644.8764,606859.1512,94007.95402,41460.00653,1200423.944,1525733.668,
10.072,478.20688,+,578332.7047,,,3,578332.7047,351306.5377,351716.6124,310367.4454,574492.188,401947.0979,
10.075,321.13065,+,9521447.143,,,2,7074255.902,9015051.966,7172440.27,5147568.51,9521447.143,6847270.239,
10.077,271.06308,+,584443.8892,,,1,560482.76,576398.5023,584443.8892,41310.58167,67812.57863,518770.7497,
10.077,642.37006,+,570425.5766,,,2,52420.76269,484522.8236,505400.7523,570425.5766,496819.8612,558354.7385,
10.078,363.21643,+,1.227048065E7,,,3,8879349.984,141754.646,1.227048065E7,7420232.863,1.071911014E7,1.065514678E7,
10.08,355.17291,+,609167.2309,,,1,85498.96242,609167.2309,603020.0967,81312.64035,82761.83124,105435.334,
10.083,1165.74792,+,1.003593969E7,,,6,5132553.569,6601247.673,4976198.564,3548671.067,7746151.196,1.003593969E7,
10.084,329.15689,+,1.47157458E7,,,3,1.02365162E7,8030530.238,1.084411918E7,1.47157458E7,270569.5396,9707989.577,
10.084,629.32861,+,671507.7634,,,1,52747.16883,671507.7634,49136.46869,45452.1403,511293.6596,50554.58447,
10.085,627.38519,+,1097909.516,,,1,1097909.516,799309.9839,72588.71119,1040240.532,80541.21622,852558.577,
10.088,300.18024,+,1.090574798E7,,,4,1.090574798E7,231302.7177,6126869.821,8418676.909,7371163.83,257729.6717,
10.091,538.3374,+,1063653.512,,,3,1063653.512,735724.0022,908021.9793,93955.99879,740876.0421,94686.63558,
10.091,385.08997,+,752619.0277,,,1,752619.0277,563420.2006,216071.2434,202104.3142,196462.0527,309900.1854,
10.093,464.22784,+,4.106957686E7,,,3,2.922135416E7,713182.8707,4.106957686E7,396188.6337,3.812824667E7,2.292687986E7,
10.094,313.12823,+,8343766.354,,,2,8257964.515,8343766.354,281537.5614,271616.4062,276457.2774,6322822.226,
