Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20191118_KAO_1uLPool.raw (F1),20191118_KAO_2pt5uLPool.raw (F2),20191118_KAO_5uLPool.raw (F3),20191118_KAO_5uLPool_20191118202447.raw (F4),20191118_KAO_5uLPool_20191119024733.raw (F5),20191118_KAO_methodBlank.raw (F6),20191118_KAO_methodBlank_20191119031929.raw (F7),20191118_KAO_T550M.raw (F8),20191118_KAO_T551M.raw (F9),20191118_KAO_T552M.raw (F10),20191118_KAO_T553M.raw (F11),20191118_KAO_T562M.raw (F12),20191118_KAO_T568M.raw (F13),20191118_KAO_T569M.raw (F14),20191118_KAO_T570M.raw (F15),20191118_KAO_T571M.raw (F16),20191118_KAO_T582M.raw (F17),20191118_KAO_T650M.raw (F18),20191118_KAO_T651M.raw (F19),20191118_KAO_T652M.raw (F20),20191118_KAO_T653M.raw (F21),20191118_KAO_T690M.raw (F22),20191118_KAO_T691M.raw (F23),20191118_KAO_T692M.raw (F24),20191118_KAO_T713M.raw (F25),20191118_KAO_T714M.raw (F26),20191118_KAO_T715M.raw (F27),20191118_KAO_waterBlank_20191119035125.raw (F28)
1.621,1508.9834,+,3054643.852,,,22,5396.360414,173161.9156,1361374.222,1749943.445,1801236.112,1614.51186,1583.81503,2966912.7,2226148.995,698837.9378,12674.6192,1421364.463,1314194.813,1038598.101,930887.1592,901584.9527,1606042.172,1450558.021,1580873.324,1133067.416,1352665.5,1241242.889,3054643.852,1022590.382,1185643.52,2391229.405,1180325.163,606.8914428
1.621,537.33051,-,521170.388,,,21,21163.49193,63108.53607,333251.1757,329339.8147,389010.0311,1284.370879,1327.146447,493934.6065,480768.9649,230514.8932,95898.25341,429554.4412,376682.6029,323965.279,262411.1178,364952.1859,388462.7286,363745.838,425149.783,348391.2344,318683.4735,294834.004,521170.388,278791.5083,151092.7105,468698.8492,299023.5029,753.251404
1.622,594.30774,+,3615883.712,,,25,509561.7117,1324091.35,2653888.159,2443502.525,2555177.436,3251.284407,2925.537983,3184630.459,3019210.746,1682536.191,1031299.082,2835120.487,2577703.021,2455758.941,2228446.19,2753046.339,2428662.882,2670057.599,2558143.264,2505413.37,2503951.061,2525168.054,3615883.712,2366966.008,2475763.25,2975120.675,2304835.554,1171.67455
1.622,599.43835,+,602579.0163,,,5,6529.066153,53518.48711,334866.6984,281617.956,419565.6851,2001.173645,1916.260648,496874.0107,384772.9677,197517.0366,15335.04452,300379.5031,418158.8747,219520.9511,226882.3823,275453.9278,282920.1604,602579.0163,274668.7283,277883.315,282363.5798,230596.4724,544527.9786,204285.4613,233043.5223,403919.1013,193607.6351,734.2790462
1.623,496.33945,+,1.09E+08,LysoPC 16:0,LysoPC,52,1.45E+07,4.25E+07,7.57E+07,8.65E+07,7.98E+07,10539.88593,18460.65226,1.04E+08,9.81E+07,5.06E+07,4.53E+07,8.53E+07,8.24E+07,8.10E+07,6.78E+07,8.13E+07,8.56E+07,8.90E+07,7.95E+07,7.75E+07,7.96E+07,8.26E+07,1.09E+08,7.19E+07,8.41E+07,9.82E+07,6.99E+07,5360.422433
1.649,1534.99695,+,480307.8789,,,8,4916.887919,28896.87847,158661.9441,164672.9076,115838.814,1471.060725,1307.271017,261049.193,303883.6246,74075.90421,11548.46549,222193.8046,239399.9767,221600.261,130488.7902,233388.4083,138905.4766,480307.8789,165631.2415,111655.881,129732.2257,98416.82626,199868.9904,100579.9658,175718.8252,297293.2875,251734.4382,552.9684777
1.661,1039.66943,+,1853451.145,,,23,5878.031308,103575.6505,783809.9568,763480.0118,519006.3829,1758.620725,1562.813733,1219018.004,1448290.08,423744.0655,13805.93636,1148444.483,1057309.992,1373737.289,602512.3922,788331.139,968507.0297,1853451.145,1147938.681,558658.4916,497347.2455,1049235.439,1202963.214,514689.5559,815702.0097,1003018.716,990599.9405,661.0616467
1.764,331.21677,+,2177886.175,,,17,1009551.607,389285.6774,200145.3395,200484.184,209725.3885,399448.4252,449701.4945,141027.7699,319769.8777,936834.5206,883129.2586,260276.0628,439874.6102,812478.712,979891.0369,941116.8348,865911.2436,545815.269,437449.7625,581850.1875,517274.3757,994082.6798,833518.1321,478500.6261,2177886.175,729124.7378,1412348.28,1464.355293
1.777,850.60864,+,408557.5362,,,10,242373.1439,206602.444,43789.61584,42650.51602,41506.30747,86707.66196,102296.8093,295123.3487,167144.3117,176785.9409,254364.9023,184548.139,180246.8875,231094.1849,232323.0701,254080.3654,140877.8408,177633.2883,208810.7188,134030.6205,165730.0191,185624.3749,222681.0783,272771.9888,359638.4631,150426.593,408557.5362,1649.311324
1.793,806.58386,+,895566.9898,,,24,549103.5299,416502.4533,92191.52584,96088.51974,101802.9953,256352.18,249745.0239,717982.7836,343225.8529,431598.013,552370.4164,438575.9565,363228.4078,423614.9226,513093.8922,643229.1053,366863.86,434314.2006,480934.3653,276217.4239,383119.7486,472622.6757,455766.289,477339.9655,719336.6452,413445.1405,895566.9898,1610.102444
1.805,522.35529,+,3.16E+07,LysoPC 18:1,LysoPC,53,2406197.981,7839655.693,1.75E+07,1.81E+07,1.91E+07,5077.571221,5395.809566,1.54E+07,2.82E+07,9654009.01,9584049.676,2.29E+07,1.70E+07,2.10E+07,1.19E+07,1.30E+07,1.36E+07,3.16E+07,2.41E+07,1.24E+07,1.14E+07,2.65E+07,2.32E+07,9941433.065,1.38E+07,1.56E+07,1.50E+07,1275.391088
1.805,762.55725,+,1436430.805,,,25,987132.3828,766171.0334,207091.1524,187877.6592,201121.4803,451994.2606,458775.734,956296.2469,559689.5812,673395.5991,916074.719,875557.6454,486536.0435,841099.2365,870304.3582,1321534.884,629352.7243,861135.9126,907410.0299,594908.8511,609673.3748,487834.0734,849061.8225,1041837.321,1333047.78,705432.3688,1436430.805,1575.704985
