i,RBG,FBG,all
l_217,382.4342333410098,459.876231684772,283.9415822058227
l_218,-76.41422589738842,-123.802651532123,411.4294368790224
l_219,455.60133240046724,2991.0120288684243,2771.702002754153
l_220,656.4831637944537,538.3083129100906,-63.57484663076992
l_221,82.86617270222179,615.4537710292627,176.075563150986
l_222,723.394960953932,1545.168611564435,1808.287501333381
l_223,465.517020894778,-274.133357863399,758.6309693690868
l_224,-346.6873965706785,2054.1479514719135,604.76143553313
l_225,929.6923886475964,610.9246519829674,1960.6202136766951
l_226,105.19007216354849,594.4430148456893,643.6691659343907
l_227,-957.7605763938718,-344.68303661844095,-392.87390828173017
l_228,-999.3863307822762,-832.8176641542748,-864.0054490482172
l_229,-633.7678898099675,193.9383272417582,577.1052022801788
l_230,-3902.7710974742704,997.4924646618126,-1312.6435190187274
l_231,477.9850137174411,221.94062749344386,1196.598092937151
l_232,-980.0255706322447,998.445790374959,2077.0810916508485
l_233,871.584811586794,-207.20094653963235,767.1379053416757
l_234,-2370.612693059133,882.0859736203355,70.82408868223787
l_235,-645.4307919451994,74.58425361003911,230.9075899560551
l_236,786.6486377393869,1282.5072194773857,2319.006333843281
l_237,483.30983556019174,-268.09236611437507,608.6878106123678
l_238,-1543.8343140174843,2374.3265583658545,-144.2806952206409
l_239,3338.237166410611,1616.309764361376,3625.6094493895166
l_240,3015.003011598484,-353.13337232536145,1917.3080586050664
l_241,1283.3719147896513,2399.0181091470927,2511.78794705206
l_242,-2316.5685802046505,1326.1853865750968,1582.1389860420818
l_244,-735.6611923485249,-1324.1203460190234,-830.0011694205685
l_243,-295.3014895201941,-1389.819161817978,-507.1660019183304
l_245,1376.2287541805545,-1269.8815740747013,-250.13345402518573
l_246,439.1752024131705,446.2778288806891,2178.36566743752
l_247,830.1397347927036,52.7375697777878,1525.9594624014169
l_248,792.1672878357969,-2607.4517658399764,-2052.736634024286
l_249,-1877.7247041984604,207.9678878987145,-1571.9127066402443
l_250,179.3286164945928,-1008.4021489037059,-1514.5972283135109
l_251,-1075.2540080838633,-1229.6144715062644,-2575.29254018697
l_252,1409.7744479274832,287.91387482086026,1327.4267373891173
l_254,-269.5668697850077,57.25596760576103,-796.3279444137678
l_255,334.5501033432565,363.86092186597017,145.19225118865336
l_253,1123.565294036026,647.4943093661652,1302.1956138398727
l_256,46.358172575384806,420.2537731309079,-296.97216228952624
l_257,806.5005890769431,765.8657735216186,1024.8735298552062
l_258,-3031.9828717012465,-3508.034161368711,-4036.5626889498085
l_259,-85.25972721400497,1105.1854067377408,981.9035820123852
l_260,424.43657409729593,1678.7729608001862,2499.790328018572
l_261,-1904.613571951888,-44.99644811153335,-957.8791342990609
l_262,26.590588714696263,-3054.7034624044995,-2787.9702931215024
l_263,1166.5067784716296,429.99031917802847,395.28161583653673
l_264,-844.5498363039621,-966.9848083348379,-1851.4984671994098
l_266,-3430.466007437837,-2583.1843018434834,-5873.259688976065
l_265,456.0156863272144,1749.8175180231117,877.5457532196513
l_267,-720.9498085129839,-965.8937458921012,-1014.3634747942784
l_268,-1711.5739677332951,-351.79698514783837,-1421.9735168550708
l_269,-2654.236505943127,1386.852918683885,191.81507347319342
l_270,-149.14178700992727,-1054.5916841745739,-331.4187496936972
l_271,-869.968606684485,1555.0203391746534,1101.177161462659
l_273,846.751159034564,441.03220215672775,511.49300549839097
l_272,177.11513155314893,-941.6487502194577,61.459469572873765
l_274,744.9879088493076,20.40813837800485,-109.80795282149111
l_275,-1102.037015757758,377.68737514063577,257.53710251954567
l_276,1067.5403269030721,279.39868234643217,1419.0112404624263
l_277,752.5042874686279,1699.0214752875818,2037.2261378965857
l_278,409.63197820826474,1038.052054796429,1062.8612873641764
l_279,211.84327238071177,-312.65585692257747,480.0951974296854
l_280,-396.97571126020296,-388.4184456849212,33.89773313313506
l_281,-846.5831047920703,2721.2637540970222,253.44640413252836
l_282,317.22816791125734,-797.5395420768734,99.15341093122322
l_283,312.4143782678587,-477.29864637138866,258.9687865451495
l_284,377.6622624420353,-755.1143182292852,-15.285851248922667
l_285,318.493704088649,-1176.4078277595008,-264.3474629747434
l_286,280.5705338467498,-1485.9352284738732,-486.2687134151063
l_287,391.7213853457812,-938.1158827623694,-134.18410882441145
l_288,1021.6490029470049,2586.6629168414474,2707.9782592268
l_289,227.01439578682164,2488.974926760694,2674.5770527897753
l_290,-214.03458544764212,-2338.649035031518,-2268.278934245971
l_291,-113.51441960788945,-1706.9490958497408,-1296.3855107558145
l_292,-1573.774219432476,1078.592206963861,-679.7329482271535
l_293,237.6199991623995,-699.21098601267,151.03593570361582
l_294,-307.77863319697923,-841.7406923243728,-550.6065453787642
l_295,1410.7427892314488,3393.9781717066694,4432.99160523521
l_296,122.10233553180478,188.60863798617885,272.7664408620612
l_297,-1052.8460769022822,1896.0205741922284,510.5555480258624
l_298,-1081.42887919597,202.42834101288756,-258.5348892694153
l_299,-235.73354504293764,1311.299550722184,871.8283579146007
l_300,-640.0748287897044,2273.5475247376376,1322.9655330072137
l_301,-972.2469012188027,935.4078002434661,-487.2958733779714
l_302,573.2914837654641,-560.3157224679106,54.62983857752327
l_303,1761.1999059722975,453.7311029733488,1746.0354725556842
l_305,1759.577441704309,268.0218112554644,1643.2111955157272
l_304,-1793.5563603076973,653.310105614609,-718.8782766330916
l_306,-105.80137597186891,1025.2775517385423,552.3877409809076
l_307,-359.0846315017321,1254.9712055514049,1049.9718927701529
l_308,573.4144778474844,-164.99033649670199,503.90132340958183
l_309,832.4179662869736,359.1953797543506,690.1784285240288
l_310,955.5053343537193,-227.9357773506754,313.0284536431539
l_312,255.8441657012708,-401.98068908882226,-780.0204006306219
l_311,603.4576256320838,-406.59456793752713,-548.2170568023425
l_313,800.4562719479686,-1015.7954780131263,-737.1981395418426
l_314,35.582546951450674,-645.9017688337859,393.13841014073654
l_315,-31.07780576099643,-1214.5308606966785,-598.2979612457734
l_316,46.67263885471907,-582.5247252562687,574.4714793023543
l_317,-584.4140891219072,-940.5237913724781,-1836.2298458857488
l_318,1130.0493054531637,-505.0599757237522,1075.1530313999046
l_319,-814.628910688571,-779.0481794005699,-682.5334018784071
l_320,1107.9656175165892,-1512.5782367558934,336.12228615084143
l_321,-1422.4579681053103,516.6061471274704,-1525.7226582396827
l_322,-3.7420980627827305,42.809222475821905,-834.9577294243318
l_323,735.1356603683804,-1179.1191917924973,-1662.4531270863847
l_324,-4.219997650132592,1018.6023563742772,325.0163783798086
l_326,1191.4527760429507,2154.2596133457273,1835.3999879680389
l_325,991.2708279516403,2003.0204319213249,1254.9811232587062
l_328,198.76102753001578,2210.9876193699265,727.2362748818871
l_327,-1256.1266993636411,-55.347674055002834,-2333.530373344575
l_329,643.2136192984951,2116.692657162501,1425.0558835379545
l_330,569.5266825875649,1406.906730143363,700.5964752531498
l_331,1345.4273332813134,-664.9278269327664,596.2744628669741
l_332,-1407.563359226325,205.11061017184343,-615.2895135161781
l_333,-1569.1145003616623,187.6532668932336,-2320.839569495519
l_334,-2864.19840964693,-1052.605324006253,-3164.0522183871462
l_335,-219.75333615336274,-3630.9456255974796,-4467.632087201789
l_336,2917.6819634702133,601.1811990086687,1961.6728039887364
l_337,-1104.0735333718985,-1436.1861547343078,-1502.9249644911495
l_338,-793.2166054526498,925.1299867816862,-245.84032527120218
l_339,47.72738179939122,2204.6860192698323,1978.1879698536854
l_340,251.05107904524615,-264.51493471322993,513.3680923838361
l_341,13.310496433017144,255.7560332922616,-612.760379223472
l_342,814.67971728442,2005.231800785076,2204.287482802568
l_343,-801.2167516326622,1874.3539571983865,1683.537403930037
l_344,246.88330948955286,-86.33425167112098,-1329.3375803159354
l_345,863.8408936887229,-412.4529416409778,-523.4406595061438
l_347,-23.268552452663833,-673.6534493672617,-2304.9647765134637
l_346,182.65623876347323,194.22790279554374,-772.094542725782
l_348,-1594.0230340614385,115.54381562379338,-1683.485360392664
l_351,693.2795324954093,-439.9947881379882,-703.7806718370762
l_350,-938.5102791361214,837.4802687216984,85.0446181176762
l_349,-547.3397764254485,-2025.0586028413563,-3729.641070862208
l_352,2066.4255394189486,385.53319895112855,2266.342542051572
l_353,665.6629778631324,1756.3685121688604,1968.5021253406132
l_354,-1198.6024134769013,-252.34541998034976,-3049.504228476753
l_355,1614.4416316595057,-1961.5037430540385,-1157.456222918997
l_356,-315.6391460345606,1495.8454913480393,1779.2653522688115
l_357,-795.0419170096291,1037.4395695796447,570.641737757431
l_358,-1029.9771126137741,-1651.3770788669624,-1161.6528803716196
l_359,4.131028276829784,1110.0587349576442,1472.5339004940597
l_360,723.2466536795331,79.83311699039008,539.1385008407113
l_361,119.43559549239326,-13.173503645642356,365.6090261466541
l_362,551.5886351574751,2522.3625189730255,2567.6442919480405
l_363,134.67008018697825,-223.44886644898483,1100.516992381896
l_364,-48.60436124483623,-1645.5921409556038,-1020.6944625542018
l_365,-1582.025019561885,612.8752734828694,-586.0193795720422
l_366,186.091092948981,1961.4686932936856,1519.1448611873107
l_367,864.7983901834655,-716.7557824702528,289.43973119106903
l_368,-875.5831899120524,-1118.731593294662,-1401.3411288325897
l_369,3979.457231018507,-1253.5707383759914,1156.4482028223754
l_370,668.187541000017,1095.321290259179,1037.5664598370392
l_371,1393.2042952843728,605.0408871907825,1345.6880251831867
l_372,800.1693949337875,86.4750671338559,844.2230858637357
l_373,2411.602692499251,-615.3141447103425,-614.0249303273569
l_374,-196.8340090849442,-777.8558502769694,-399.8590561828774
l_375,-233.2126264181894,-1342.0243050932265,-944.1655380178057
l_376,-1.796459960352825,-739.595179305329,-239.6636545965478
l_377,1817.2848001945893,-1655.4028767719985,-2042.6807061658337
l_378,-1148.3054388733322,1002.0063103375509,1054.4032349984288
l_379,-1103.253575496882,2324.3100779305882,658.653531647283
l_380,680.0955505014646,1506.7131552507929,2717.21244427306
l_381,816.9916497902518,358.86805454830676,31.641167686160625
l_382,-121.06081780585373,-1227.4034026157844,-475.435215035301
l_383,-15.179970901963785,-1412.9078702957156,-438.0594892939236
l_384,-961.5958936765941,227.69820651924158,443.7033470405755
l_385,-1952.5371740730845,341.99849940470847,140.68143173124201
l_386,617.2978201090183,1290.6729858855972,2229.698227987211
l_387,-803.6506325722338,368.4581678624261,379.85481208183234
l_388,91.14280931386406,-597.2616379558362,530.3583006176796
l_389,1112.843490560851,2734.4242403571916,2794.560558443106
l_390,-1318.6597694278303,-2143.974173400322,-1961.7468548759828
l_391,2093.6852637018155,137.2412978853128,2135.003459895814
l_392,-2266.4050494245316,-1154.4498841086877,-2786.846004709366
l_393,-794.6116029464416,-666.5626131067047,-715.3971276306884
l_394,2360.185351470481,419.6568820622532,1742.429545454012
l_395,676.8688509632824,2251.298831585917,2023.9375209736056
l_396,941.4884492864526,1974.1736411547688,2017.6007091174813
l_397,-350.6022589861071,-290.7621940152056,-695.8712724222586
l_398,-359.1789101585885,-879.2552290516309,-1307.2030055265316
l_399,471.6478754086737,1417.6375183973976,1348.4057692660567
l_400,334.06768075294366,1523.3847100390387,570.5949670150884
l_401,689.09246871855,-962.4637450756592,-91.74269823466028
l_402,246.49904311761773,-331.8176255557239,53.770580339885214
l_403,1196.5294339247293,140.53215522225548,1702.5509436354205
l_404,18.30314718233304,1451.144425084453,310.3110390393442
l_405,3376.8453712389733,1225.020122149945,4123.532285093986
l_406,-1527.2485313785326,-1142.7333458880737,-2339.7089370133103
l_407,1239.24284339329,2095.0098410411583,1148.099050327012
l_408,56.41347091559117,-26.935318997225902,-1046.651885278635
l_409,2035.471775799798,2762.9436199524225,2418.514231766548
l_411,1283.1090805637089,809.0195668823703,602.7218531817335
l_412,562.7177971019865,2247.704095747655,1541.287495561847
l_410,2124.789045954903,3207.359565172018,3025.197620709405
l_413,2032.9737673944526,1821.7187489383282,2098.466650247855
l_414,21.72148565756373,-1925.2850119182049,-1207.6082414266587
l_416,505.5326953622156,-236.16324856771826,198.2018184580956
l_415,107.35530531339445,-510.90836265472956,-400.7972637328834
l_417,-1136.9890872298365,-43.288496814459286,-2517.5255918242583
l_418,-718.978203963126,-977.8133258389909,-1200.0307306287239
l_419,-902.1535257945484,-761.0646797732913,-328.2799502152247
l_420,-291.5009227353763,258.169524676007,-342.04409980923015
l_421,-1126.2274083669831,-360.6395454969298,-2000.4231271797937
l_422,1532.6936340481236,-2065.7083881709273,-883.3087930529699
l_423,-1004.5267114448352,304.82816824856263,-1488.17805713697
l_424,-138.22863796385136,218.437071818237,4.5526270657294985
l_425,497.303940166693,-21.25665111827098,633.802802941242
l_426,581.8631591639364,611.137311767421,1179.9667976081405
l_427,732.0322197133437,-554.7787381625834,471.67369087856895
l_428,-476.1381557660389,2551.823063927984,981.7926283867965
l_429,311.1318738297784,-190.26496190766932,170.38148783993947
l_430,608.2727619692906,-1538.440012170263,-610.667824929901
l_431,401.19550319118434,-447.9357575950631,162.36370257763622
l_432,-2073.4518662339724,-2770.41941926703,-3959.022731101398
l_433,230.71246498048168,897.1289318474363,1149.7711704055084
l_434,872.3735373117357,-444.2031672189218,188.49135431753254
l_435,580.8924151281229,125.45886885520724,759.3052089652168
l_436,265.90479208129017,-171.32137774532112,1120.3946139531402
l_437,837.0681594519318,77.20726424684096,-378.072419396186
l_438,133.95807614470232,-764.2214377047407,-1233.6160834403508
l_439,-471.71300274392587,-250.05809682925704,-1252.3831761863698
l_440,-1063.0990264233567,-697.2675515692861,-1774.5789152521809
l_441,1834.55190468505,548.3132882058584,721.212271554253
l_442,2061.8914568224436,-149.0665673102832,-184.80267451421835
l_443,2414.193164892579,1788.4591963844684,2140.4987907666323
l_444,1848.667500209432,107.08274321388022,645.3423755785993
l_446,1473.0925495623194,896.8287193879896,894.1743899334482
l_445,137.4287856609442,-440.2132254232447,566.699493052431
l_448,1934.6365485139454,1704.3626674313023,1802.0406543903707
l_447,2042.6896872845573,1563.6455630588434,1671.9340673505105
l_449,2171.4871341496328,1599.412755977976,1855.0132019587354
l_450,1096.0486497080863,994.5611602172439,754.9007077134164
l_451,-713.7935070632113,-1285.958296658278,-1855.245366320767
l_452,-1268.9195519028328,-2053.4182767792818,-2349.079344204747
l_453,-1408.2985967251886,-1102.5869041676958,-1025.9974149801237
l_455,-2559.393071180561,-1823.2437108865915,-2381.1692649046213
l_454,-94.22792065736384,-663.2367338214102,-1022.3757006557792
l_456,-1687.2562563909792,-3514.056778434301,-3325.059590962687
l_457,-2336.078789550883,-724.9132904647645,-3146.206598687019
l_458,-2246.285321789267,-3825.0502510215124,-3869.70984870522
l_459,-1335.7099348808065,-668.1403259038677,-2405.8444374039263
l_460,-2423.269659219485,-2083.591499152903,-2725.9591824790177
