MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
80,0.872,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,666,923,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
87,0.912,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,170,782,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
102,0.993,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,730,733,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
106,1.016,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,32,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
108,1.028,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,272,299,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
113,1.057,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,789,940,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.076,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,913,930,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.077,1,LysoPC 22:6 [M+H]+;,568.341,568.3403,1.2317,908,924,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.085,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,479,766,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
121,1.095,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,939,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
123,1.107,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,789,817,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
137,1.182,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,72,890,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
142,1.209,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,676,918,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
149,1.25,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,19,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
152,1.263,1,LysoPC 20:4 [M+Ac-H]-;,602.347,602.3458,1.9922,15,1000,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
153,1.273,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,879,885,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
154,1.274,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,932,942,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
155,1.287,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,849,941,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
157,1.297,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,938,950,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
159,1.307,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,319,921,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
164,1.33,1,LysoPE 18:2 [M-H]-;,476.279,476.2777,2.7295,809,999,100,LysoPE 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 235.2431 | 279.233 | 
169,1.361,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,924,950,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
170,1.362,1,LysoPC 20:5 [M+H]+;,542.321,542.3247,-6.8225,12,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
181,1.427,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,10,998,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
185,1.448,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,933,945,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
189,1.47,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,856,861,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
190,1.472,1,LysoPC 22:5 [M+H]+;,570.356,570.356,0.0,216,936,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
194,1.493,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,235,936,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
195,1.502,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,847,869,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
200,1.528,1,LysoPC 20:3 [M+Ac-H]-;,604.363,604.3614,2.6474,15,206,100,LysoPC 20:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 305.2486 | 530.3252 | 
202,1.538,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,5,979,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
203,1.548,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,671,999,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
