MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
226,1.641,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,931,1000,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
229,1.653,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,12,998,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
230,1.661,1,LysoPC 18:1 [M+Ac-H]-;,580.363,580.3614,2.7569,743,828,100,LysoPC 18:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 281.2486 | 506.3252 | 
232,1.671,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,953,962,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
234,1.682,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,611,690,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
236,1.693,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,909,917,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
237,1.695,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,17,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
249,1.765,1,AC 18:1 [M+H]+;,426.358,426.3583,-0.7036,433,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 265.2526 | 367.2843 | 
252,1.788,1,LysoPC 17:0 [M+H]+;,510.356,510.356,0.0,771,812,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
260,1.832,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,9,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
264,1.855,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,690,965,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
265,1.857,1,LysoPC 20:2 [M+H]+;,548.371,548.3716,-1.0941,364,946,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
266,1.87,1,LysoPC 18:1 [M+Ac-H]-;,580.363,580.3614,2.7569,90,1000,100,LysoPC 18:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 281.2486 | 506.3252 | 
268,1.881,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,930,951,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
270,1.892,1,LysoPE 18:0 [M-H]-;,480.31,480.309,2.082,105,1000,100,LysoPE 18:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 283.2643 | 
280,1.952,1,AC 18:1 [M+H]+;,426.358,426.3583,-0.7036,387,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 265.2526 | 367.2843 | 
