MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
82,0.861,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,221,986,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
96,0.939,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,978,985,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
107,1.002,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,744,748,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
110,1.015,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,332,580,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
114,1.038,1,LysoPE 20:5 [M-H]-;,498.263,498.2621,1.8063,29,1000,100,LysoPE 20:5 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 257.2275 | 301.2173 | 
119,1.066,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,436,996,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.076,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,681,806,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
123,1.087,1,LysoPC 18:2 [M+H]+;,520.341,520.3403,1.3453,620,964,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
124,1.088,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,249,883,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
126,1.099,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,711,808,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
127,1.109,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,942,952,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
128,1.11,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,20,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
135,1.154,1,LysoPC 22:6 [M+H]+;,568.341,568.3403,1.2317,874,895,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
143,1.198,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,171,944,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
147,1.223,1,LysoPC 16:1 [M+H]+;,494.325,494.3247,0.6069,880,944,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
155,1.267,1,LysoPC 20:4 [M+H]+;,544.341,544.3403,1.286,869,875,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
157,1.281,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,709,846,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
159,1.291,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,941,950,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
160,1.292,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,894,899,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
161,1.301,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,434,749,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
167,1.332,1,LysoPC 22:6 [M+H]+;,568.341,568.3403,1.2317,963,972,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
175,1.377,1,LysoPC 20:5 [M+H]+;,542.323,542.3247,-3.1347,17,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
184,1.42,1,LysoPC 22:5 [M+H]+;,570.356,570.356,0.0,710,929,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
190,1.457,1,LysoPC 20:3 [M+Ac-H]-;,604.363,604.3614,2.6474,11,1000,100,LysoPC 20:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 305.2486 | 530.3252 | 
191,1.465,1,LysoPC 20:3 [M+H]+;,546.356,546.356,0.0,870,891,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
192,1.467,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,284,988,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
195,1.486,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,852,862,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
196,1.487,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,8,991,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
197,1.497,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,710,722,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
199,1.507,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,890,902,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
202,1.519,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,568,1000,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
204,1.531,1,AC 16:0 [M+H]+;,400.342,400.3427,-1.7485,649,997,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 239.2369 | 341.2686 | 
207,1.551,1,LysoPC 22:6 [M+H]+;,568.338,568.3403,-4.0469,70,532,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
227,1.655,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,15,355,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
