,variable,value,dummy
0,FBG,0.27652909433350853,dummy
1,FBG,0.13873962911878704,dummy
2,FBG,0.10144175136565052,dummy
3,FBG,0.20371236180646238,dummy
4,FBG,0.14087380174509603,dummy
5,FBG,0.05235250026577137,dummy
6,FBG,0.2635716197191871,dummy
7,FBG,0.26881339147200367,dummy
8,FBG,0.10405363058939121,dummy
9,FBG,0.16730716311825514,dummy
10,FBG,0.2423595861605126,dummy
11,FBG,0.10818228921225807,dummy
12,FBG,0.38319936825186524,dummy
13,FBG,0.1292142748295936,dummy
14,FBG,0.10335181685184552,dummy
15,FBG,0.06977383407159517,dummy
16,FBG,0.08399676128412188,dummy
17,FBG,0.03822324836460247,dummy
18,FBG,0.35779640038863203,dummy
19,FBG,0.18455611647572215,dummy
20,FBG,0.10698058950603623,dummy
21,FBG,0.11242474386409608,dummy
22,FBG,0.21479305735567258,dummy
23,FBG,0.08703016525926277,dummy
24,FBG,0.09448778923476335,dummy
25,FBG,0.06157655410203774,dummy
26,FBG,0.29984599651601024,dummy
27,FBG,0.161658926676324,dummy
28,FBG,0.2551133091048127,dummy
29,FBG,0.30046930157562995,dummy
30,FBG,0.08603283334949625,dummy
31,FBG,0.15962163057942,dummy
32,FBG,0.1023043115262272,dummy
33,FBG,0.248539455981001,dummy
34,FBG,0.23112202332812812,dummy
35,FBG,0.10867397917581283,dummy
36,FBG,0.06202547513003081,dummy
37,FBG,0.3718116086651994,dummy
38,FBG,0.10635607198998553,dummy
39,FBG,0.15144805003402353,dummy
40,FBG,0.0646291592555652,dummy
41,FBG,0.29227251938939863,dummy
42,FBG,0.08759441698652044,dummy
43,FBG,0.3490774005323356,dummy
44,FBG,0.27344465789006145,dummy
45,FBG,0.2762663270712935,dummy
46,FBG,0.014268188943009985,dummy
47,FBG,0.04653420158949456,dummy
48,FBG,0.13152284192238398,dummy
49,FBG,0.0558675377263614,dummy
50,FBG,0.04725900882410056,dummy
51,FBG,0.5415589021455037,dummy
52,FBG,0.09765379371278125,dummy
53,FBG,0.3184569271110885,dummy
54,FBG,0.08021808731189,dummy
55,FBG,0.09449049753003451,dummy
56,FBG,0.21482486005863596,dummy
57,FBG,0.07936867759079867,dummy
58,FBG,0.13305207130571728,dummy
59,FBG,0.11716921942580927,dummy
60,FBG,0.21270772101656574,dummy
61,FBG,0.08450772915783085,dummy
62,FBG,0.16045717087872066,dummy
63,FBG,0.36177804650593304,dummy
64,FBG,0.07915077721516951,dummy
