File,Feature Groups,Avg. Peak FWHM (min.),Peak Capacity,Identified Lipids,Avg. MS2 Purity,Avg. Lipid Mass Error(ppm)
20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),31,0.097,150.773,0,0.0,-1.129
20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),15,0.115,120.713,0,NaN,-1.226
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),1242,0.093,217.193,237,52.336,0.331
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),1245,0.094,211.617,218,43.129,0.059
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),1326,0.092,219.565,255,49.618,0.53
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),1308,0.093,213.344,235,42.91,0.427
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),1208,0.091,215.054,213,46.325,0.329
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),1275,0.092,216.108,232,45.511,0.593
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),1120,0.094,204.84,206,47.866,0.122
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),1531,0.095,215.136,293,49.054,0.546
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),851,0.095,199.715,137,35.27,-0.134
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),1260,0.091,218.527,225,47.617,0.155
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),1374,0.09,219.377,252,47.771,0.25
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),1450,0.094,211.478,261,46.79,0.306
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),1306,0.092,216.163,241,48.654,0.227
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),1277,0.092,215.663,216,41.278,0.578
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),1319,0.094,211.563,241,46.252,0.379
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),1175,0.094,211.074,228,46.11,0.401
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),1246,0.092,212.76,234,48.566,0.352
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),1348,0.095,202.684,260,45.076,0.651
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),1202,0.092,219.26,217,47.365,0.509
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),1254,0.094,211.489,240,43.8,0.474
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),1407,0.092,219.543,266,53.477,0.702
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),1566,0.094,223.212,312,51.712,-0.022
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),1446,0.093,217.172,266,51.384,0.27
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),1558,0.096,218.52,319,51.772,0.071
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),1020,0.094,204.797,192,46.5,-0.301
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),1543,0.095,220.884,297,49.221,0.384
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),1308,0.093,216.956,235,50.076,0.692
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),1409,0.093,219.763,271,48.765,0.347
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),1085,0.091,211.505,201,45.056,0.308
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),1486,0.096,218.479,299,50.966,0.214
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),1105,0.092,212.739,200,42.206,0.192
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),1389,0.094,217.819,265,48.077,0.326
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),1179,0.092,212.804,201,46.738,0.968
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),1122,0.093,206.946,206,40.325,0.561
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),1549,0.093,216.903,291,46.913,0.452
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),1282,0.092,216.195,235,42.728,0.576
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),1185,0.093,210.483,208,44.391,0.505
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),985,0.092,209.315,183,36.975,0.608
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),1209,0.093,217.0,214,45.036,0.543
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),1282,0.092,216.163,246,41.527,0.345
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),1195,0.092,219.282,211,44.04,0.213
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),1173,0.092,209.152,226,40.895,0.671
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),1282,0.092,212.717,240,45.682,0.736
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),1220,0.091,211.681,215,41.728,0.237
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),1239,0.093,217.225,223,45.785,0.542
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),1249,0.092,209.347,234,43.307,0.532
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),1262,0.093,220.107,234,45.85,0.326
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),1325,0.093,213.354,264,45.104,0.435
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),1249,0.091,221.67,233,46.601,0.617
