,Groups,Urocanic acid,Uridine,Uric acid,Tyrosine,Tryptophan,Trigonelline,Indoleacrylic acid,Threonine,Threonic acid,Taurine,Stachydrine,Serine,Ribose,Quinic acid,Pseudouridine,Proline,Pipecolic acid,Phenylalanine,Phenylacetylglycine,Ornithine,Nicotinamide 1-oxide,Nicotinamide,"N6,N6,N6-Trimethyl-L-lysine",Asymmetric dimethylarginine,Isovalerylglycine,N-Acetylornithine,N-Acetylneuraminic acid,N-Acetyl-L-aspartic acid,1-Methylhistidine,Leucine,Lactic Acid,Isoleucine,Hydroxycinnamic acid,Hydrocinnamic acid,Histidine,Hippuric acid,Iditol,Guanidinosuccinic acid,Glyceric acid,Glutamine,Glutamic acid,Glucose,Gluconic acid,Ethyl glucuronide,Ergothioneine,Cytidine,Creatinine,Creatine,Citramalic acid,Choline,Carnitine,Betaine,Beta-D-Glucopyranuronic acid,Beta alanine,Asparagine,Ascorbic acid,Arginine,Anserine,alpha-Glycerylphosphorylcholine,Alanine,Adenosine 5'-monophosphate,Acrylic acid,Acetyl-β-methylcholine,4-Oxoproline,4-Hydroxybenzaldehyde,4-Guanidinobutyric acid,3-Methylhistidine,3-Indoxyl sulphate,3-Hydroxybutyric acid,2-Naphthalenesulfonic acid,"1,5-Anhydro-D-glucitol"
1091_10_RBG,19060.0,15663246.929999975,14600062.170000006,126324883.29999994,11319162.770000007,9593105.59999999,10999240.540000008,10528528.620000012,5609603.368000009,1740526.7400000019,9796493.034000022,47746883.50999998,16548793.519999994,1967627.7109999994,8678019.69800002,1034473.5720000033,22330487.050000004,13806026.500000002,18344286.929999962,261173.93140000003,17744575.92000002,3855468.511999998,6072893.651000021,782088.0526000002,1711566.3140000051,942203.461800003,1123516.6119999995,1543111.7429999984,1847970.007000006,1123368.8259999964,16850991.459999975,242599685.99999988,10426178.990000011,2444361.2920000083,28556662.429999977,19271065.51999993,2537667.816999998,524817.9185999995,3567287.468999989,11385502.399999999,239373285.6999999,4059132.2489999877,26224510.750000022,1109639.443000001,71136.10553000006,1455612.5639999993,5251404.750000004,19500030.950000014,51941756.140000165,1603251.8880000017,24482973.629999984,48928398.80000002,212992479.19999975,1603251.8880000017,2532891.865,6795008.494000003,2632769.056000009,3029248.445,312868.8077999998,39051943.44000005,23909240.05999995,656320.2789000003,9108258.310000017,2479728.369000002,21839365.230000004,821523.8744999998,572174.3654999993,617306.4477999992,7518429.344000016,21687306.790000077,3911081.7110000006,1689903.6500000015
1093_8_RBG,25057.5,7776992.356999982,11447168.009999996,24053602.120000046,10017059.060000008,6646618.090000002,11377137.180000005,7582078.942999997,5261789.073000007,2012726.0600000022,15256382.910000006,45533782.979999945,14462323.139999995,2313033.6130000013,12493621.82000001,720681.2909999997,17153665.720000003,21039338.150000025,13007891.639999999,495297.8139000005,16874164.25999999,5140501.761999995,9730768.50000003,1041744.7979999997,1726467.082000001,1163965.7089999998,1021492.5800000009,2030004.542999999,3826436.779000011,757232.1767999997,15756623.270000014,156699089.60000026,8214609.5289999815,1609389.486,23515293.7,38476295.110000044,2411877.633999998,1009469.9079999985,1080015.4319999993,9224044.937999994,218811829.59999996,6924329.226999997,31549557.7799999,1263676.1330000001,591377.8679000007,463841.53419999947,6456782.664000004,20030136.99000001,71962069.11000001,2166079.050000001,27813086.330000028,45173998.540000044,235465068.30000028,2166079.050000001,3486899.298999999,6687315.881000016,3168260.97,5439543.353999992,1401919.7750000013,52809048.60000018,22915219.839999937,1833199.6849999984,10878948.31999999,3773769.7280000024,12423786.2,718197.0127,615384.4286,600731.3203999999,3169737.0719999894,8333737.919000007,2691894.8950000023,1221048.9589999977
1093_9_RBG,25057.5,15049986.290000005,20890013.260000005,77161137.69999999,10561480.99000001,8710860.807000013,10513012.96999999,9941384.565000003,5573531.3790000025,2579951.158999999,6718593.169999996,37430666.219999984,17702557.54,1719598.7290000054,7330732.496999992,1040131.1020000004,19429850.76999998,16169803.389999991,14415927.750000011,304601.32709999994,20805638.230000023,5101379.4650000045,6334479.436999983,919508.4024000014,2154702.296999999,1418225.4360000007,1216019.845999997,2052350.2329999981,2697856.302000002,1167189.0840000005,14668196.190000005,237217752.40000027,10542993.130000005,2420070.9659999944,30017964.420000017,34985560.94999998,3007848.6660000007,431977.2028000001,3819317.6560000014,10699075.869999995,299534723.20000017,2771381.6369999987,32327483.68000003,1667374.5469999942,1056886.2809999997,1089365.9849999996,7227321.150000004,16978757.56000001,50522800.38000004,1186775.2530000007,28076378.87000003,54424351.510000184,207751310.40000018,1186775.2530000007,3660222.493,6322785.406000006,3357314.6630000034,27432245.330000028,540898.8281000004,53443575.03999994,23402865.920000035,961396.1485999988,12108237.11,4472592.594000004,21402679.92999998,773661.3254999991,515496.2251000001,647994.084100001,3939977.9979999973,20081974.270000014,3763698.3840000015,924195.2292000008
1093_10_RBG,25057.5,8378725.569000001,18109849.31,76471112.3899999,12772532.490000008,8614716.042,11354178.26000001,10223355.160000006,6387831.4729999965,2195730.3380000023,9222551.48200003,46159615.34999995,19151524.3,2422004.7069999967,9719629.258000003,1150336.057999996,22395887.260000072,20793315.750000037,17676262.289999984,390020.2306999999,19651568.49000001,3302416.122000003,6085481.970000002,963086.7735000007,2246925.9560000002,1016651.3600000006,1153937.2479999997,1707670.5760000006,2359620.5310000014,1156768.7689999992,18277548.62999995,244206031.09999976,11244992.959999992,2785624.0290000066,27489768.630000077,27786638.559999928,2873354.2860000003,538366.6096000007,3826239.333000013,9600013.557000028,288292553.6999999,4436005.200999999,27590524.279999968,1700505.1690000028,974948.5953000031,1272632.6779999994,5796646.761999994,18348474.16999999,59813113.09,2231375.775000002,25508205.140000094,52242711.89000002,225951452.50000015,2231375.775000002,3287605.3640000005,8879711.664000012,2543618.8070000024,22382149.230000045,790275.2178999997,41691271.95000011,28676632.160000004,1252046.5919999995,9682930.928999977,4782531.841000001,14327097.600000003,865139.0658999996,588223.8016999988,792477.7715000006,4796823.914000004,24089985.260000024,2241648.5330000003,888606.3489000004
1060_8_RBG,48742.5,14154802.899999999,19754559.11,176736.9207999998,9715231.646999989,6662481.371000013,8378362.764999989,7806141.106999992,5802902.927999994,3738320.6629999964,18128607.19999998,32302854.590000033,15517632.07,2338610.0840000003,8611698.841999996,963890.5974000013,20828506.320000008,14551297.520000001,18937072.90999996,1501213.6490000011,19847541.410000063,4641193.198999999,10936628.750000002,865506.3530999998,1342529.886999999,4099828.205999998,1108462.1780000024,2960213.204999996,5693332.246999984,719411.4304999996,19194176.52999999,232923891.79999983,12641225.570000008,2149903.0100000002,27704275.319999993,39025348.70999999,3162902.8250000007,1316033.7550000013,4095204.9429999962,10559655.880000021,267956154.8999998,5726442.809999993,63512747.37000004,1778544.963999998,2547980.8850000002,97939.93935000012,8947707.614999995,17587217.249999993,82903387.03000003,1485001.6220000016,42387481.06000002,39823952.42000008,190563354.90000054,1485001.6220000016,7976990.191000003,6163102.816999996,2260310.6860000025,2828088.805999998,1206429.5309999993,78622521.60999994,26275848.93000003,2076533.140000002,23410516.710000064,2329893.6920000045,18288011.489999976,626604.4917000005,1085292.55,488084.79949999996,2716139.9950000034,20421366.740000006,3050164.1650000075,482593.8697999999
1060_9_RBG,48742.5,758151.9651000024,15299237.180000013,83364681.46000008,9052888.98000003,6338313.699000014,8139687.741000005,6903919.576,5111901.066000001,1516402.309000003,5957585.530999996,21880261.44000002,9517619.62600003,2268377.4870000007,10999159.630000008,655409.4221000004,14228858.939999977,11585235.459999992,10168250.850000003,817734.2832000006,19204031.480000068,3583059.6910000043,4902732.527999999,1496357.7549999964,3104152.0790000027,2463751.8369999975,964832.6350000009,1397708.7310000013,2207848.521999997,97048.65856999996,18362787.63999998,90449955.26999995,8702961.563999968,1811087.0610000018,33515211.82000001,9175045.864000004,1611366.9449999998,1229487.2440000009,882557.4450999998,6358858.707999985,308223223.1000001,2010431.3639999991,42130804.57999998,1076048.643,331803.290799999,846947.0765999972,5213322.904000014,12657794.16,71638016.06000003,1561288.6270000015,15977961.590000004,31080892.660000023,157978507.39999995,1561288.6270000015,535611.5818000011,7386640.149000001,1676167.8070000026,5602571.4290000005,348120.4590000002,37569962.479999974,20636727.759999964,481177.9929999998,14459880.039999995,1355411.3549999963,5625427.824000017,628397.1056000002,866639.1649999975,444095.74710000015,3383939.0720000034,5950034.864999979,737777.8863000014,379585.8974000008
1060_10_RBG,48742.5,12097944.060000014,16754646.290000001,65098361.46000007,11494007.109999986,8021247.717000006,12465758.20999996,8721472.665000005,5847287.035000003,2385102.133,6363013.004999988,56232212.620000064,17581648.94000005,2764914.0110000023,12237052.449999986,998924.423200001,24677167.72999999,16252148.750000017,19418650.240000006,407126.26579999994,22383048.26000001,3450679.506000003,4068227.4760000003,1026742.5870000013,1291519.8189999992,1394606.2420000043,1465727.3129999996,1875221.9759999998,2189937.8310000068,1003418.8680000008,19852515.159999993,261662075.1000002,11564549.919999992,2555479.000999991,33291604.189999968,20823046.15,3149897.656000002,1103391.1720000033,4125230.4640000043,10711244.850000005,257834778.1,3142505.984999997,66144700.01999991,1817535.6380000021,2303328.268000007,968047.9388999997,6167249.3530000085,17901066.819999985,80354557.5699999,1622620.840999995,33132478.140000034,42622854.23999997,211620379.59999967,1622620.840999995,3867637.942999998,7317305.173000026,2534780.4519999996,12837518.129999999,438513.84769999894,50441167.30999987,28258258.520000044,763650.6483999997,23968244.44000005,2744985.8349999967,15633650.530000016,863328.8501000006,751113.9731000005,747513.7610999991,5537088.474999998,26267626.360000033,5146707.343999997,670713.4928000016
1062_8_RBG,43717.5,10480194.620000014,15209884.010000004,118658705.99999994,10133948.37999998,8418963.007999994,9804025.97599999,9507458.934000002,7476272.554000021,2439010.4870000076,8529696.726999996,36967817.710000046,16463025.049999995,1868293.502000003,10287212.690000005,579939.1409000007,24597632.47000002,15820080.939999998,22586906.949999996,494532.61220000044,24279484.129999988,2213985.291000002,4230205.355999989,976942.7582999996,1210996.0139999986,1920433.678999998,1065394.2609999988,1711207.4490000021,1481675.1600000013,640761.5607000006,27271027.040000048,258630174.0,17711022.709999952,2223145.6909999987,37354652.470000036,22362875.49999998,2910640.5770000005,1013187.8510000035,5953683.960999995,9350992.245999994,241107006.6999991,3588895.311000001,78200485.39000006,984333.1523999997,3057094.340000003,1028067.7770000024,8697613.082000025,14880074.480000015,71132673.46999994,1690519.6399999948,36501514.12000001,38744540.55000001,181964314.9999999,1690519.6399999948,3536062.791999999,6680926.22900001,2246285.657999997,10682493.300000006,309653.1836000001,76162457.51999983,27336176.920000046,1221878.871000001,30242901.70000003,3547530.0559999975,13998686.010000028,786688.5634999995,735101.2553999983,590643.0327999993,5473575.573999997,34800467.980000034,5508895.898999999,188493.75409999996
1062_9_RBG,43717.5,4465029.027000016,12851540.949999955,181943417.9,15971375.789999986,9068769.043999998,11370634.080000002,10905943.779999996,8188634.054999995,2338779.6449999944,7607122.0529999975,39168497.19999999,13630812.269999994,2098914.9490000005,15685472.19000001,617358.5081999999,24937057.56999992,19103577.01999998,25200887.10000005,485420.0642000003,20539850.450000007,2207568.160999998,3374884.194000004,782401.9370000002,1157709.873000001,1521305.9019999981,1480833.112999999,1521727.9560000014,1886392.5149999978,679183.9543000006,32033107.430000026,278440334.8999997,21246303.03999998,3593371.138999996,25638316.359999977,36229145.74000003,3253807.7290000003,859952.7279000004,6811228.510999995,9944502.365999999,255712911.60000074,2797822.925000007,72507592.48000005,1107445.6210000005,2279992.298999999,1578266.083,5888327.425999995,15409677.060000004,72058860.92999996,1440917.9439999994,33128624.37000003,34714073.68000003,149389488.19999993,1440917.9439999994,4090434.5600000015,8413670.319,2987216.9470000016,19393064.409999967,354611.69340000034,52645671.97000004,30685660.150000017,973694.3480999968,26991090.920000006,3201262.403000001,10823254.570000004,1160056.5799999994,664444.7459999997,665428.5323999994,4126769.004,31997214.089999966,1799506.6550000005,406643.87509999966
1062_10_RBG,43717.5,14851260.460000018,16509993.460000014,189482671.7999998,12640503.939999996,8938792.608000007,14676280.209999949,10148029.719999973,6860734.995999991,2371206.2539999983,7286871.198000013,49038868.030000016,17535164.08,2899185.229999996,14704506.270000005,998566.6500999995,27111447.549999993,17851066.73000001,21815656.510000024,289929.8194000001,19859937.939999975,2593044.9749999973,4631361.472999999,1005453.9889999998,1964384.8469999996,807920.882800001,1537965.2109999983,1667038.893,2152237.647999999,922944.186599999,23552673.850000028,265237962.40000015,14913071.540000014,2608183.3419999997,27046969.279999975,15406960.35999999,2334422.121999993,700063.710500002,4511960.133999999,9991145.990999978,268484145.4000005,3757611.059000002,50975257.67000004,1462760.438,1485133.171000001,1662361.228000001,5532048.618000004,17230315.059999935,71350320.67000003,1564885.915000002,31668724.249999993,40338861.07,171504468.90000033,1564885.915000002,4329096.152000004,6768230.557,2275909.272,26446844.650000013,446065.0497999998,49309249.82000005,30440345.64,1318749.9260000011,18329980.110000018,3758017.0380000025,18180904.589999985,950355.3900999994,692206.7072000025,853369.4555999985,4783285.849999996,28111167.000000015,3098860.6700000004,1161917.8459999992
1074_8_RBG,35250.0,6986466.401999998,8759970.459000021,139297930.00000006,11838951.640000036,8549025.997000007,10284923.740000011,9446779.815000001,5901568.451000005,1617412.7559999991,9219797.19300001,39713728.70000012,14126294.78,2298152.059999999,9248785.756000005,720254.8586999996,20130449.470000032,15979665.199999966,17788442.18,282039.89159999986,17316667.280000012,3392646.5809999937,3913875.4420000035,841053.5464000015,1257056.4170000008,1387687.3990000016,1525454.7440000009,1599481.6069999982,2405938.5520000043,1437101.5170000012,20900477.260000028,225124775.19999984,10740730.680000007,2546760.8479999984,27114223.010000035,36765995.399999976,1715133.584999996,836644.6333000001,4685113.147000002,9877292.657,210931264.89999977,4205398.269,58999133.93999997,1183997.765000002,2054193.285999997,876023.152799999,8782635.08099999,14576832.439999994,76561540.16999996,1688790.7229999974,34374080.290000014,41145582.13000002,165897368.3000002,1688790.7229999974,2334701.4280000036,6324847.219999997,2662586.503999997,5100642.946000001,590758.4630000002,81847334.14999992,24737612.689999934,1246492.8839999987,21211429.900000036,2569336.1720000026,12014870.430000022,829319.8760000006,583244.5116000003,964266.7051999992,3506831.1179999886,20383241.419999953,3676042.3670000024,426167.6183999996
1074_9_RBG,35250.0,5478081.722000002,9660407.004999993,190270294.10000002,7391678.166000001,6067903.502999993,9590405.812999988,7151647.023000006,5615259.7870000005,2058467.907,11874307.829999993,32727374.930000104,13672552.479999991,2151818.241999998,13844664.26,536758.1779999987,15899802.86999998,16888645.090000015,11332369.499999994,314008.4287000009,13362938.629999993,3956856.5539999953,4946397.311000016,983584.2502000004,1427681.1349999993,675714.4821999993,977372.8313999999,1328918.344,2474056.3010000004,802967.2672,16328264.020000003,115297218.30000012,9343589.779,1218323.9099999988,34824503.28999998,24342446.339999985,1834723.5590000001,1220168.2529999996,968847.2743000009,7893718.642999985,223101178.3999999,3876358.0719999955,49138397.620000064,942085.3386999988,1185966.356999999,1003559.9910000009,6522467.274999998,16575612.490000004,67018672.88,1726190.8120000004,29084618.36999994,32029936.880000036,177913202.99999997,1726190.8120000004,2750274.6919999965,5552661.809000014,2623944.8920000033,8804033.408999994,763605.5851,51362439.8899999,22351442.74999992,1020076.4049999994,19004413.78000007,2466205.1370000024,10326618.14,488962.04700000136,637997.2430999995,606361.7925000004,5465964.520000006,7088215.794999992,1446464.8610000017,503333.77640000044
1074_10_RBG,35250.0,9009771.730999997,15822307.920000011,148806372.70000014,11130804.890000006,9383748.826999996,11823784.559999963,9968710.215999987,6311098.711000012,2175168.218000007,9158177.631999977,45653068.19000001,17617425.67000001,2814609.1250000005,13102788.58,964264.2852999996,21540533.240000006,17190668.9,17838401.899999943,222023.15829999975,20306838.680000048,3957960.0520000043,5839816.440999998,1131426.3599999987,1778128.9410000027,1340090.8390000027,1230172.4739999988,1528151.2769999995,2421243.4969999986,1115721.575,19793292.619999964,205474855.0999996,11959799.96000004,2157886.5700000017,41280950.92000005,24569287.469999988,2257388.058000001,1213425.3309999986,2120069.1300000045,11086771.109999998,270015536.9000001,3915925.6180000044,65105665.68999992,1570297.4559999986,1741287.8789999983,1438345.8070000014,7745067.073000005,16288886.989999967,72765348.98,1393486.6919999986,38181960.430000044,42683835.530000076,226563980.89999995,1393486.6919999986,4180017.5899999994,8130206.4880000055,2642539.509000003,3104711.769,428481.66950000025,62657432.850000225,29163210.080000017,1142873.3860000009,22860693.71999998,3267059.8620000016,15062826.74999999,726708.9261000024,725647.7889000002,764021.7083000003,5792684.771999992,21419072.509999983,2753217.859999999,895304.2106999978
1092_8_RBG,34022.5,7875758.708999991,18602806.790000014,142593.72800000006,10557381.279999992,7573182.263000022,12993028.320000002,8508203.941000005,7449668.409999992,2463908.7369999993,13336291.849999988,53164851.54000001,17823820.620000012,1674540.1440000008,11363287.210000005,1157257.1860000005,25734510.349999994,20703553.209999982,17165603.559999995,682646.2788000004,17721457.73999998,3827710.3260000013,6451867.75,1109847.4879999985,1842010.8250000016,1830784.7200000011,1268788.9839999983,1765590.1659999983,3504135.658999996,1226707.4319999989,16892652.26999998,165731990.29999983,12141715.37999999,1793100.7869999995,36505834.459999956,18929786.949999962,2491122.532,541237.0270999996,3002655.9069999987,9804621.619999994,287966937.0999997,4690222.979000005,32630789.11,1329777.895,905196.3381999996,67221.68329000004,5532461.336000002,17578779.799999997,62795006.08000003,1549939.9770000055,32478532.560000002,57331058.11000019,247518202.49999973,1549939.9770000055,3685892.406999996,9220132.65399999,1752287.3270000012,1811991.3900000032,688951.7986000017,41893887.55000004,27516950.359999977,1548196.755,11247546.699999992,6049220.170000003,13640784.500000007,681800.5089999997,795094.8744000006,708006.3744999997,3205989.1630000086,10177227.319999991,3052982.8119999967,1431491.1190000013
1092_9_RBG,34022.5,9765259.078000022,16380762.13000001,61204624.59000004,10329954.129999992,8113573.256000001,8492042.314999998,8991068.026999993,6215329.606999994,1811640.366000002,8551982.043000003,30075167.360000107,16281092.020000013,987366.9059000008,8503333.59699997,787281.355899999,22020832.959999986,18640272.39,14286297.020000013,227743.51230000012,21416622.220000014,2647109.671000001,5328971.513000002,840879.2762000014,1623469.697000001,842512.6858000007,1140276.3930000013,1412025.3530000001,2339465.444000007,819684.5917999992,15031982.22,198091118.39999956,10422239.690000035,2240666.7800000063,27406131.660000082,12408071.350000007,1549555.3270000017,470845.9470000015,3579845.2870000014,8583324.43700003,261117719.3999996,3755928.154000002,28589212.80000003,1198221.6880000015,674503.5314999991,1151221.802999996,5058673.154000017,14704919.500000013,55725685.67000006,1175918.4760000012,23539504.030000005,44383698.46999995,187711759.6999999,1175918.4760000012,4805356.220000006,7479514.343000003,2327032.5519999973,11135486.039999986,517906.5771000018,39371182.54000002,26037750.45999999,1214609.0409999965,10857901.840000005,3878173.3950000023,15274313.290000008,754864.3577999996,442703.4814999996,617951.6151999988,2366322.096999991,17731663.189999998,5744876.760000004,1058337.831999998
1092_10_RBG,34022.5,7894629.1130000055,10116791.009999981,29127652.320000067,5771125.890999998,4523797.087999999,7211504.005000002,4924667.684999994,4539565.287999995,857496.4123000009,4968968.102000006,28488643.88000003,13820853.920000006,1511117.5789999994,7468358.909000002,333948.0252000005,14290617.7,20355147.77999995,7430369.014999992,233902.1139999998,11024927.959999992,2850262.185999995,4810575.600000006,979344.6834000003,1649149.362,783961.8896999997,553800.6330000001,787977.001199998,2612668.171999998,79980.27444000001,10111625.330000006,81615581.06999995,6330634.1299999785,1043671.9450000006,25351135.410000037,12207943.36000001,1046605.5580000011,645544.5271999998,342783.9701999999,5120396.145999994,178900252.1,2303720.6679999987,23909718.729999915,711357.0379000005,393631.08640000026,622634.1245999996,3987396.021000004,12242304.899999985,35921573.330000095,1074690.9480000017,25024974.66999999,28320278.940000024,183822853.30000043,1074690.9480000017,904345.7422000002,5822242.288000003,1607212.7970000005,1745244.9929999998,302869.37540000037,29045422.179999966,16324237.640000008,552140.6374000006,8260644.718999989,1802594.4129999937,11474410.739999989,350524.87620000035,411607.55259999883,555901.3009999994,3974599.7510000025,9783322.95200001,3654255.4389999956,1190513.2809999997
1102_8_RBG,46565.0,6256745.1060000025,14643881.379999986,25371948.679999996,10853064.350000033,7549222.229000008,12257176.20000001,8368188.096999994,7222548.915999998,2491499.7320000003,7945395.04299999,39777771.56000003,14194863.980000006,2115523.9259999976,12616845.44000001,702363.210999998,22254470.210000023,16933763.609999977,21926330.240000024,564581.0080999999,18983140.059999995,3333361.0490000052,5784050.158000007,986056.5978999973,1515435.5759999987,1987055.0459999999,1186485.4730000005,1797468.0369999988,2530512.9670000076,1039655.5800000005,29105830.49999998,254453811.89999986,19061337.539999958,2454311.257999997,34209436.72000011,45030784.260000125,4031868.3969999966,1204861.63,6221935.576999993,9849307.747000033,222715606.99999994,5264445.015999996,71601120.33999991,1401064.2969999984,2897321.4919999996,736976.7377999997,7989096.138999992,15848778.41999999,68098154.43999992,1603514.6360000018,36338578.49999999,44094883.15999997,197977330.79999998,1603514.6360000018,2374516.6890000007,8535596.015999991,1882354.019999998,4569296.197000005,458999.6740000002,69637499.27000009,24495620.810000006,849053.9802999996,26667040.91999999,3096417.979000009,11765927.810000008,796837.8297000007,909296.5349999995,715326.3578000006,5244886.281999983,30759944.04999997,2526124.984000009,287800.8800000005
1102_9_RBG,46565.0,12956306.41000001,14627592.229999984,231940309.99999943,10104124.709999975,7770550.983000021,10064003.319999972,9092628.557999989,7389979.605999997,2285294.8539999975,7716855.03199999,30434327.39999996,19865075.029999964,1800737.2650000055,8480157.583999995,749600.559300002,21573097.829999994,15026558.660000013,18985583.44999999,282766.1912999998,20291909.230000027,3223032.6150000016,5518368.204000012,838467.2179000009,1527387.5419999992,1806432.5149999992,962669.3267999995,1334178.489000001,2275887.809000003,742110.9959999995,25878027.24000004,248354627.1000002,18414588.640000004,1932545.676,29306563.16000009,23305512.09999994,2691051.337000002,619642.3548000002,5886885.985999996,11806846.120000012,270842550.5999997,6017701.048999982,68021035.62999992,1662502.9940000009,2643614.083000002,1100757.256000001,7235367.151999988,14449940.070000004,66346318.75000007,2370310.530999994,37305288.00000001,45979447.79000008,203561715.30000028,2370310.530999994,5108610.859000004,7756900.263999998,2486740.396999992,2996388.720999995,269549.6299000006,67517633.85999991,25896367.489999983,1152738.482000001,25011177.530000005,3184391.700000003,17641517.689999994,586546.0017999994,731630.4796999993,616548.7042000006,2419238.5560000013,28017110.680000007,5255109.606000001,265778.0506
1102_10_RBG,46565.0,1923477.6489999986,15186827.099999981,60152726.05999993,8567655.908000007,8026300.4590000175,8663168.716999998,8904036.660000011,5732611.990000005,1837333.757999998,4120672.3300000015,29419615.280000027,11558040.469999967,1434612.1719999998,7933655.30900001,672007.5540999983,16126781.169999996,13450701.74999998,16657789.789999979,255418.07799999998,17206932.370000005,2309279.610999996,5126746.755000011,695703.4287000003,1718776.086,1254160.3229999996,871433.0676000008,1255560.8509999998,1321733.738000001,628808.6823000003,22664604.85000006,227865886.09999982,11896402.65,1929406.022999993,23096177.300000038,34225519.74000003,2466058.536999998,874336.4824000008,5054213.945000006,6649689.71599998,216415087.00000048,2737301.428000002,59292098.199999996,854448.0743999997,2133126.9179999987,1307312.065999996,3871281.044000003,12937232.85000002,56058505.68000004,1937315.558999999,22296405.37999998,32109195.109999996,155397379.39999983,1937315.558999999,3016549.2670000023,6049798.007000012,2008688.0380000053,8350557.260000007,196456.82869999998,35065983.030000106,20614283.749999974,649555.4299999997,22688217.040000048,2483307.532000002,7399441.818000025,663947.2584999999,591451.0191000006,580462.7594999997,1194386.6039999998,21883697.599999934,6697359.528000002,193716.51200000016
