MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
2664,16.599,1,CE 20:4 [M+NH4]+;,690.619,690.6189,0.1448,949,991,100,CE 20:4 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,71.0855 | 81.0699 | 95.0855 | 109.1012 | 121.1012 | 135.1168 | 147.1168 | 161.1325 | 175.1481 | 189.1638 | 203.1794 | 215.1794 | 229.1951 | 233.2264 | 243.2107 | 257.2264 | 259.242 | 287.2733 | 369.3516 | 
2669,16.623,1,TG 18:2_18:2_18:1 [M+NH4]+;,898.785,898.7864,-1.5577,436,836,61,TG 18:2_18:2_18:1 [M+NH4]+(61) / TG 18:3_18:1_18:1 [M+NH4]+(39),true,true,LipiDex_HCD_Acetate.msp,263.2369 | 265.2526 | 599.5034 | 601.519 | 261.2213 | 603.5347 | 
2676,16.661,1,TG 16:0_18:2_22:4 [M+NH4]+;,924.802,924.802,0.0,557,898,42,TG 16:0_18:2_22:4 [M+NH4]+(42) / TG 16:0_18:1_22:5 [M+NH4]+(58),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 315.2682 | 575.5034 | 627.5347 | 651.5347 | 265.2526 | 313.2526 | 577.519 | 625.519 | 
2677,16.663,1,TG 15:0_18:2_18:1 [M+Na]+;,865.725,865.7261,-1.2706,237,986,0,,true,true,LipiDex_HCD_Acetate.msp,583.4697 | 585.4853 | 623.501 | 
2680,16.683,1,TG 15:0_18:2_18:1 [M+NH4]+;,860.77,860.7707,-0.8132,912,978,65,TG 15:0_18:2_18:1 [M+NH4]+(65) / TG 16:0_17:1_18:2 [M+NH4]+(35),true,true,LipiDex_HCD_Acetate.msp,225.2213 | 263.2369 | 265.2526 | 561.4877 | 563.5034 | 601.519 | 239.2369 | 251.2369 | 575.5034 | 587.5034 | 
2684,16.706,1,TG 17:1_18:2_18:1 [M+NH4]+;,886.786,886.7864,-0.4511,639,998,100,TG 17:1_18:2_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,251.2369 | 263.2369 | 265.2526 | 587.5034 | 589.519 | 601.519 | 
2693,16.749,1,TG 18:1_18:1_22:5 [M+NH4]+;,950.817,950.8177,-0.7362,920,990,100,TG 18:1_18:1_22:5 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 313.2526 | 603.5347 | 651.5347 | 
2704,16.813,1,TG 16:0_18:1_20:4 [M+NH4]+;,898.786,898.7864,-0.445,543,560,100,TG 16:0_18:1_20:4 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 287.2369 | 577.519 | 599.5034 | 625.519 | 
2708,16.834,1,TG 18:1_18:1_20:4 [M+Na]+;,929.756,929.7574,-1.5058,80,1000,0,,true,true,LipiDex_HCD_Acetate.msp,625.5166 | 647.501 | 
2709,16.835,1,TG 16:0_16:0_20:4 [M+NH4]+;,872.77,872.7707,-0.802,509,810,100,TG 16:0_16:0_20:4 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 287.2369 | 551.5034 | 599.5034 | 
