,variable,value,dummy
0,FBG,0.41456861178151155,dummy
1,FBG,0.1149817774746436,dummy
2,FBG,0.1051878848608897,dummy
3,FBG,0.2567628802869886,dummy
4,FBG,0.14226182092682613,dummy
5,FBG,0.10925255472416646,dummy
6,FBG,0.34282555869485426,dummy
7,FBG,0.28376634995459477,dummy
8,FBG,0.1568655700694357,dummy
9,FBG,0.17584688982623708,dummy
10,FBG,0.3506493437167959,dummy
11,FBG,0.13251639171855403,dummy
12,FBG,0.3962019976235398,dummy
13,FBG,0.09151566564259417,dummy
14,FBG,0.1253837015639803,dummy
15,FBG,0.08528909214837282,dummy
16,FBG,0.07485096242381932,dummy
17,FBG,0.12934325325912707,dummy
18,FBG,0.3803941552629451,dummy
19,FBG,0.1904050859232772,dummy
20,FBG,0.10137534508500294,dummy
21,FBG,0.08787402913490104,dummy
22,FBG,0.19002568703188197,dummy
23,FBG,0.15642658318491587,dummy
24,FBG,0.16517652480564127,dummy
25,FBG,0.10567625613714948,dummy
26,FBG,0.28490478302286026,dummy
27,FBG,0.14782149520956814,dummy
28,FBG,0.387301124400295,dummy
29,FBG,0.3832458470205386,dummy
30,FBG,0.10882149364138162,dummy
31,FBG,0.16202497375362626,dummy
32,FBG,0.14591859504588797,dummy
33,FBG,0.38041562634122283,dummy
34,FBG,0.28742346706728156,dummy
35,FBG,0.15241013485107793,dummy
36,FBG,0.07086689681141913,dummy
37,FBG,0.5250750089807433,dummy
38,FBG,0.07727318943223326,dummy
39,FBG,0.11388248690070385,dummy
40,FBG,0.12393214404941065,dummy
41,FBG,0.3656690524614546,dummy
42,FBG,0.058512500928915856,dummy
43,FBG,0.35614488328943833,dummy
44,FBG,0.283348940552753,dummy
45,FBG,0.33572740068352863,dummy
46,FBG,0.17403529095400275,dummy
47,FBG,0.04685314957901524,dummy
48,FBG,0.1919413910769201,dummy
49,FBG,0.11603061724266243,dummy
50,FBG,0.08110150620365443,dummy
51,FBG,0.6264497999867326,dummy
52,FBG,0.16929130167581433,dummy
53,FBG,0.3671114413611272,dummy
54,FBG,0.18584405855754196,dummy
55,FBG,0.08637264490236042,dummy
56,FBG,0.22280226257328725,dummy
57,FBG,0.09094223346834673,dummy
58,FBG,0.03935201197771838,dummy
59,FBG,0.12799530269485423,dummy
60,FBG,0.3823032601948677,dummy
61,FBG,0.10913031278414109,dummy
62,FBG,0.1461249347041859,dummy
63,FBG,0.3562548017042551,dummy
64,FBG,0.10446371287298802,dummy
65,FBG,0.16848873574335674,dummy
66,FBG,0.40244671338187404,dummy
67,FBG,0.06646109221977123,dummy
68,FBG,0.26486769682710426,dummy
69,FBG,0.07757018778022241,dummy
70,FBG,0.15420261351530726,dummy
71,FBG,0.15219070532513923,dummy
72,FBG,0.07947733774228022,dummy
73,FBG,0.0722101745117231,dummy
74,FBG,0.10771440863666826,dummy
75,FBG,0.25361840154166426,dummy
76,FBG,0.15964293319393966,dummy
77,FBG,0.43897406209996664,dummy
78,FBG,0.317926530660595,dummy
79,FBG,0.29131509160809677,dummy
80,FBG,0.5118541080652592,dummy
81,FBG,0.0889566657181687,dummy
82,FBG,0.3529641253433818,dummy
83,FBG,0.1070527558880607,dummy
84,FBG,0.09879461269333034,dummy
85,FBG,0.2858283126607304,dummy
86,FBG,0.3567865098407841,dummy
87,FBG,0.05383262920230692,dummy
88,FBG,0.09161237018939417,dummy
89,FBG,0.09214830771962808,dummy
90,FBG,0.47581762927191984,dummy
91,FBG,0.17993190535771095,dummy
92,FBG,0.1421296995536639,dummy
93,FBG,0.15184682540298575,dummy
94,FBG,0.08510163626259111,dummy
95,FBG,0.5415762132152014,dummy
96,FBG,0.4057266657736302,dummy
97,FBG,0.08115555769815401,dummy
98,FBG,0.06273377457443186,dummy
99,FBG,0.04436399767222782,dummy
100,FBG,0.3366588526014613,dummy
101,FBG,0.07024379754125958,dummy
102,FBG,0.11990909428204756,dummy
103,FBG,0.12569147701933392,dummy
104,FBG,0.08513254749665237,dummy
105,FBG,0.3736016435746274,dummy
106,FBG,0.20201069350052037,dummy
107,FBG,0.2042613496857885,dummy
108,FBG,0.10600225592230465,dummy
109,FBG,0.3412451986805207,dummy
110,FBG,0.0717445372320319,dummy
111,FBG,0.04941328005495412,dummy
112,FBG,0.3597565383325975,dummy
113,FBG,0.11439088286163535,dummy
114,FBG,0.152097574288388,dummy
115,FBG,0.0749066497845986,dummy
116,FBG,0.1484322091329362,dummy
117,FBG,0.592517509790749,dummy
118,FBG,0.09312516230333918,dummy
119,FBG,0.21587950699885625,dummy
120,FBG,0.08326033273032647,dummy
121,FBG,0.28046694512590786,dummy
122,FBG,0.4632470334458825,dummy
123,FBG,0.10496182285351478,dummy
