feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_425,0.015575171409201822,6.526722267914201e-15,0.26134542722439713,0.0421603777800808,1.3418630186533125e-13,0.7282009037996439,-37.82722111108227,-41.98929832004523,-70.49009263850701,-38.458029106184895,"{'Intercept': 23.87050078771222, 'bg_type[T.RBG]': 1.9493707910054672, 'bg': 0.004795222371745145, 'bg:bg_type[T.RBG]': -0.003076405325987139}","{'Intercept': 24.156788883367508, 'bg_type[T.RBG]': 2.0330198685152046}","{'Intercept': 24.19861531963845, 'bg': 0.007090397762570307}","{'Intercept': 24.04110414612291, 'bg_type[T.RBG]': 1.7316625543392794, 'bg': 0.0019376776349520671}"
l_426,0.014738410706311742,4.171977220706487e-12,0.3383988125504262,0.04021048229036395,5.221017869681234e-11,0.7614561964210944,-77.51644031779081,-81.73373853764912,-103.71907135663733,-77.97468429701527,"{'Intercept': 15.70141305689262, 'bg_type[T.RBG]': 3.1818992708688287, 'bg': 0.008582595800906982, 'bg:bg_type[T.RBG]': -0.005073376263957747}","{'Intercept': 16.213817866750546, 'bg_type[T.RBG]': 3.4247759836826615}","{'Intercept': 16.2395262600256, 'bg': 0.012269859166130027}","{'Intercept': 15.98275928321748, 'bg_type[T.RBG]': 2.8228712224383283, 'bg': 0.0038701479584911744}"
l_427,0.24368571110129603,1.069632061588072e-13,0.4333695670254163,0.3787985806228067,1.7426929909081136e-12,0.806411006530512,-45.81634089225637,-47.22821684547654,-75.6826323795159,-46.12322895152702,"{'Intercept': 18.884648971931092, 'bg_type[T.RBG]': 2.018226344213082, 'bg': 0.003477494228709793, 'bg:bg_type[T.RBG]': -0.0024447630542962766}","{'Intercept': 19.092265037091202, 'bg_type[T.RBG]': 2.032882714763764}","{'Intercept': 19.188064424673705, 'bg': 0.006697269191771188}","{'Intercept': 19.020224341034105, 'bg_type[T.RBG]': 1.8452175897679197, 'bg': 0.0012066556823394255}"
l_428,0.048189392093629956,4.201014213452318e-08,0.5783332185784749,0.10780191728717478,2.394439454334044e-07,0.8700187007709287,-80.81111653547151,-83.8437328986635,-97.7964713038926,-80.96558503521052,"{'Intercept': 18.9496908659916, 'bg_type[T.RBG]': -1.9884029438679456, 'bg': 0.006416157836077374, 'bg:bg_type[T.RBG]': -0.0031039523355980685}","{'Intercept': 19.332753311466195, 'bg_type[T.RBG]': -1.658586759930764}","{'Intercept': 18.920977750042187, 'bg': -0.00303726021065707}","{'Intercept': 19.12182185547063, 'bg_type[T.RBG]': -2.208060602099978, 'bg': 0.0035330258297327343}"
l_429,0.02624316844520301,3.664013319734184e-12,0.1762087184459985,0.0655879599955617,4.6527580905742174e-11,0.6710400205382269,-47.129649081155236,-50.769998654677124,-73.46211111497988,-48.04430555409011,"{'Intercept': 22.233291569476343, 'bg_type[T.RBG]': 2.0048063615071245, 'bg': 0.006011227166281394, 'bg:bg_type[T.RBG]': -0.0043359960404493955}","{'Intercept': 22.59217852915653, 'bg_type[T.RBG]': 2.006475674303875}","{'Intercept': 22.628191720531134, 'bg': 0.007036137862689439}","{'Intercept': 22.473746063657437, 'bg_type[T.RBG]': 1.697960561903355, 'bg': 0.0019837010924321566}"
l_430,0.0429146476555972,3.0078784472304763e-12,0.6678663279310979,0.09868654660614695,3.905718855915062e-11,0.8982730545127944,-38.265057381550655,-41.413599455681826,-64.7948435020384,-38.35711142560922,"{'Intercept': 20.7073216341093, 'bg_type[T.RBG]': 1.571282674584594, 'bg': 0.002887116105031827, 'bg:bg_type[T.RBG]': -0.0011785060873107673}","{'Intercept': 20.879690485346625, 'bg_type[T.RBG]': 1.7666541605502109}","{'Intercept': 20.9080133141596, 'bg': 0.006219783390277752}","{'Intercept': 20.772676187589, 'bg_type[T.RBG]': 1.4878832343348019, 'bg': 0.0017924508999543655}"
l_431,0.02909895336576337,2.1396424235654518e-14,0.19406898465521433,0.0714849110422096,3.973292973653264e-13,0.7026355062883755,-37.33956644041628,-40.876619512680044,-68.81511901905239,-38.18279376450086,"{'Intercept': 17.091314279814327, 'bg_type[T.RBG]': 1.9129024504362742, 'bg': 0.004955638106636734, 'bg:bg_type[T.RBG]': -0.0035343491664260682}","{'Intercept': 17.387179640441893, 'bg_type[T.RBG]': 1.9229379499903207}","{'Intercept': 17.438559382119195, 'bg': 0.006620502631865217}","{'Intercept': 17.287313107567904, 'bg_type[T.RBG]': 1.6627868631677636, 'bg': 0.0016727284155123104}"
l_432,0.6935053500435755,0.2255072388720435,0.3934779275130872,0.7884685579494766,0.3385739833124563,0.7884626367845556,-19.41596408503704,-19.781960409739504,-20.905367104163552,-19.78004766752877,"{'Intercept': 19.338397254281112, 'bg_type[T.RBG]': 0.3009157070018893, 'bg': 0.0015616531364717346, 'bg:bg_type[T.RBG]': -0.0017157831963065164}","{'Intercept': 19.431632284453876, 'bg_type[T.RBG]': 0.1745076065622202}","{'Intercept': 19.449873489528013, 'bg': 0.0005020365820563467}","{'Intercept': 19.43354673706288, 'bg_type[T.RBG]': 0.17949473200423016, 'bg': -3.206639088264643e-05}"
l_433,0.009473213709874044,0.00014894712535297783,0.2664524124883762,0.02777629894219435,0.00048493951541686927,0.7293250774891384,-35.88485131111632,-40.54413838356572,-44.69677048951689,-36.502311135713136,"{'Intercept': 20.268458310258595, 'bg_type[T.RBG]': 0.8884309986245953, 'bg': 0.004752068101152296, 'bg:bg_type[T.RBG]': -0.0029463985697256515}","{'Intercept': 20.552169976086553, 'bg_type[T.RBG]': 0.9933495734466717}","{'Intercept': 20.493697546862876, 'bg': 0.004038454109440252}","{'Intercept': 20.431852089019063, 'bg_type[T.RBG]': 0.6799229611068427, 'bg': 0.002015281223853513}"
l_434,0.005176534254529178,1.293235050114473e-05,0.22005875728769667,0.017358979917615324,4.9411879016541926e-05,0.7122336481062492,-37.508016623872074,-42.771636133337445,-48.76379521894231,-38.260010636516526,"{'Intercept': 19.576613007450995, 'bg_type[T.RBG]': 1.045564879566864, 'bg': 0.005307858677187686, 'bg:bg_type[T.RBG]': -0.0033445057252189173}","{'Intercept': 19.893506914530974, 'bg_type[T.RBG]': 1.1512390653325877}","{'Intercept': 19.835659673633522, 'bg': 0.004608194766010619}","{'Intercept': 19.762083986884857, 'bg_type[T.RBG]': 0.8088839592061075, 'bg': 0.002201286649261983}"
l_435,0.0002564010551261065,0.007642132175474785,0.6242266333303412,0.0014565941519828485,0.018935383453436087,0.8854973010289487,-35.95234720425489,-44.2211149220247,-40.82642583843481,-36.07233300021372,"{'Intercept': 20.61631460002713, 'bg_type[T.RBG]': 0.5907765288683695, 'bg': 0.004146166294969278, 'bg:bg_type[T.RBG]': -0.0012949008197408966}","{'Intercept': 20.863852244965408, 'bg_type[T.RBG]': 0.9569104160180664}","{'Intercept': 20.733525417022662, 'bg': 0.004428624055420884}","{'Intercept': 20.688123872618917, 'bg_type[T.RBG]': 0.4991401727152929, 'bg': 0.002943386872224802}"
l_436,0.0029327969554802454,1.7457330928137386e-19,0.0731471133503574,0.010799446358452843,9.421503285279147e-18,0.4610403823214132,-68.37499253725314,-74.20679125622571,-111.56693472621234,-69.98046628686454,"{'Intercept': 14.335234903502245, 'bg_type[T.RBG]': 4.253669418940044, 'bg': 0.011253360348045742, 'bg:bg_type[T.RBG]': -0.008232998791682041}","{'Intercept': 15.007091775614716, 'bg_type[T.RBG]': 4.231878252688878}","{'Intercept': 15.12571569713553, 'bg': 0.014529597852720507}","{'Intercept': 14.791799333353996, 'bg_type[T.RBG]': 3.671044095068959, 'bg': 0.0036060707771736512}"
l_437,0.038338682340835956,0.1259611073190787,0.2585724204263686,0.08950369096489454,0.21432003186211715,0.7249262501239262,-104.48173538884052,-107.74303129853607,-106.55351748059101,-105.11992747740962,"{'Intercept': 20.562325411630198, 'bg_type[T.RBG]': -0.17718276568239721, 'bg': 0.013763681647686718, 'bg:bg_type[T.RBG]': -0.009398508717568994}","{'Intercept': 21.384055438446154, 'bg_type[T.RBG]': -0.05940632313326599}","{'Intercept': 21.00690960100094, 'bg': 0.0025274940806524968}","{'Intercept': 21.083523687334093, 'bg_type[T.RBG]': -0.8422878293453346, 'bg': 0.005033798464633012}"
l_438,0.03912797663192283,0.0332254925426007,0.6288182272993885,0.09083416652459239,0.06997612880618465,0.8854973010289487,-33.747765137350676,-36.98868269031729,-37.15220298738588,-33.8645985055247,"{'Intercept': 21.93149266881896, 'bg_type[T.RBG]': 0.4822741049409289, 'bg': 0.0028264217682238374, 'bg:bg_type[T.RBG]': -0.0012316471954969491}","{'Intercept': 22.10023789955352, 'bg_type[T.RBG]': 0.656768661550966}","{'Intercept': 22.035733561995485, 'bg': 0.0028580938742120542}","{'Intercept': 21.999794184927403, 'bg_type[T.RBG]': 0.39511402338033386, 'bg': 0.0016823960017400327}"
l_439,0.166550858755901,1.3725860551773487e-06,0.6787750654978848,0.287633333071441,6.173062805446045e-06,0.8985792663120603,-27.91471068231896,-29.707165240529996,-41.413524648264456,-28.000464681029044,"{'Intercept': 20.737152704916156, 'bg_type[T.RBG]': 0.8583118367693532, 'bg': 0.002003387565869107, 'bg:bg_type[T.RBG]': -0.0009571862791906225}","{'Intercept': 20.856760507564005, 'bg_type[T.RBG]': 0.9638756121616097}","{'Intercept': 20.862144147115295, 'bg': 0.003466723919184166}","{'Intercept': 20.790233874837128, 'bg_type[T.RBG]': 0.7905745541546845, 'bg': 0.0011142971098338748}"
