i,pls,cca
l_0,1.315299003939685,13.322491393131692
l_1,1.0360440311506574,10.493947811209278
l_2,0.22061783131056412,2.234608427180403
l_3,-0.1341581726508768,-1.3588702680748996
l_4,0.08743949481248013,0.8856633839293206
l_5,1.3992820486231967,14.173141217233047
l_6,0.4560646740831453,4.619417396200691
l_7,0.45551812268461367,4.613882760621034
l_8,0.2722688790811419,2.757774457096022
l_9,-0.4843923110385037,-4.906345246298691
l_10,1.0554110459642365,10.690118092180798
l_11,-1.247793759686532,-12.638734636853174
l_12,-0.7920357742364672,-8.022425326493677
l_13,0.7834085832446442,7.93504084994154
l_14,1.138218470135006,11.528859980727654
l_15,-0.3125320533767641,-3.165595992845729
l_16,-0.7967633604020935,-8.070309856385604
l_17,0.4613956483369087,4.673417035770626
l_18,-0.28859632443091227,-2.9231574276535466
l_19,-0.27494281974841617,-2.784859346884143
l_20,0.9577019891671291,9.700434392911998
l_21,-0.8871668630669154,-8.985994776716222
l_24,0.8816791451708895,8.930407944436634
l_22,-0.6370754823362755,-6.45285330409815
l_23,-0.1929548852088621,-1.954418239414798
l_25,-0.27453843821821267,-2.7807660130528515
l_26,-0.20814100059066126,-2.1082316586433274
l_28,0.13702550591722334,1.3879113708160726
l_27,-0.5204183108101332,-5.271248085192165
l_29,0.30425655265858864,3.08177270158842
l_30,-0.3373485062883444,-3.4169580689836456
l_33,-0.5093816635054251,-5.1594579238356015
l_31,-0.6148690731781083,-6.227928379917902
l_32,-0.9127454710754807,-9.245078235174072
l_35,-0.3699062740284063,-3.746731828806681
l_34,-0.3310240183657909,-3.3528987235031993
l_36,-1.3992911628784828,-14.17323433755937
l_37,-1.0044984806824464,-10.17443146281825
l_38,-0.6729879682442956,-6.816606008055072
l_39,-0.0009562075495801789,-0.009687185809512918
l_40,1.438473859067189,14.570110008935037
l_41,0.7863837675965288,7.9651758542446265
l_42,0.7283258932712211,7.377115313810652
l_43,-2.057403110831583,-20.839163050693294
l_44,0.5338255091814722,5.4070474634423045
l_45,1.745242004801075,17.677320652645808
l_46,-0.2521027577674027,-2.553516848716688
l_47,-2.8021088039120285,-28.382186302832
l_48,-0.12420214996216623,-1.2580293367602593
l_49,-1.3066528619322935,-13.234915343045259
l_50,-1.345836464177363,-13.631797452400784
l_51,-1.6241729288846976,-16.451030890177073
l_52,-0.411526108813937,-4.168293997342024
l_53,-0.9615542552300228,-9.739455586299956
l_54,-0.8616261051505291,-8.72729758846897
l_55,-2.503085308838665,-25.35341669732966
l_56,-2.3766779477120874,-24.07305723593935
l_57,-2.392077095752679,-24.229027589228764
l_58,-2.221251695987906,-22.498764948786807
l_59,-1.069542265943917,-10.833250279286638
l_60,-2.0132703709305737,-20.392145401780024
l_61,-1.8457577014563311,-18.695434868590716
l_62,-0.905613765353823,-9.17284170129462
l_63,-0.67961679692449,-6.8837483328329325
l_64,-2.205304970213371,-22.337238889613133
l_65,0.5060751099657698,5.125968196759343
l_66,-0.5243889676685042,-5.311465623709709
l_67,-0.14292791911158742,-1.4476989596024166
l_68,-1.0708275154113351,-10.846267996057154
