,pval_sex,pval_animalvar,qval_sex,qval_animalvar,ID,superclass,molec_class,fa_carbons,fa_unsat,RT,m/z,signif_sex,logqvalsex,log2fcM-F,i
vm_143,0.03701071167514078,0.3138373822202136,0.13333726781216715,0.4246035171214655,Unidentified,Unidentified,Unidentified,,,8.956,222.08199,False,0.8750484481624287,-1.1608557696553845,vm_143
vm_144,0.013471552970228498,0.6813049151181036,0.06214441944315787,0.7582264377927282,Unidentified,Unidentified,Unidentified,,,8.957,288.07712,False,1.2065978648318112,0.7145299063482362,vm_144
vm_145,0.28914132777128254,0.8529918116706907,0.523298403048354,0.9178391423824976,Unidentified,Unidentified,Unidentified,,,8.963,130.08635,False,0.2812505905963676,0.16412692116064775,vm_145
vm_146,0.15419868373988244,0.9999707669687444,0.36916424071775,1.0,Unidentified,Unidentified,Unidentified,,,8.964,212.09023,False,0.4327803737650238,0.21658923118918594,vm_146
vm_148,0.4098194796132676,0.8337381310237076,0.6283898687403436,0.8997525871458194,Unidentified,Unidentified,Unidentified,,,8.972,120.08092,False,0.20177082551881245,-0.11323616196921549,vm_148
vm_151,0.37323215303089674,0.9722404584606031,0.6043279787308297,1.0,Unidentified,Unidentified,Unidentified,,,9.246,212.0902,False,0.21872729864062776,0.14267186966145573,vm_151
vm_152,0.29846139183397424,0.9999958932355736,0.5309138043960508,1.0,Unidentified,Unidentified,Unidentified,,,9.25,130.08633,False,0.2749759823343198,0.1545343885103847,vm_152
vm_153,0.032608458396511046,0.7955580400509807,0.11999912689916066,0.8670247544089662,Unidentified,Unidentified,Unidentified,,,9.25,288.0771,False,0.9208219138211762,0.5890345354229893,vm_153
vm_159,0.883936388722385,0.9480809490824329,0.9293959744281076,1.0,Unidentified,Unidentified,Unidentified,,,9.944,231.03605,False,0.03179921294973225,-0.04845952324862424,vm_159
vm_160,0.6301537406781061,0.9736378215860436,0.7816101205878363,1.0,Unidentified,Unidentified,Unidentified,,,9.948,171.014,False,0.10700982584123488,-0.19260306832385155,vm_160
vm_162,0.05139607451545127,0.2461110540494702,0.1698840307337072,0.37789513723312257,Unidentified,Unidentified,Unidentified,,,9.961,247.0138,False,0.7698474433215744,0.7040907140799462,vm_162
vm_164,0.038034142894302084,0.41323216505970084,0.1354506250171274,0.5009020675993635,Unidentified,Unidentified,Unidentified,,,9.977,201.03754,False,0.8682189866377287,0.6100278997838693,vm_164
vm_166,0.9072416723887586,0.3201715764180444,0.9449007606765939,0.42792908034566707,Unidentified,Unidentified,Unidentified,,,10.085,114.0549,False,0.024613801388864473,0.024517284785147808,vm_166
vm_167,0.17968789185401457,0.3503588571198567,0.39767354726565834,0.4487194643391204,Unidentified,Unidentified,Unidentified,,,10.137,116.07057,False,0.40047329676518906,0.25100006264274555,vm_167
vm_172,0.9958164585179847,0.2577872063004665,0.9960646817586102,0.3812201508791168,Unidentified,Unidentified,Unidentified,,,11.21,93.04457,False,0.0017124587462312396,0.002725416703349026,vm_172
vm_174,0.8599306973585626,0.5210107275320613,0.919679651150113,0.6016692920453931,Unidentified,Unidentified,Unidentified,,,11.254,245.07412,False,0.03636342261702297,-0.04595060673262452,vm_174
vm_175,0.7188810449443112,0.17210307357868326,0.8375900449375324,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,11.441,271.14296,False,0.07696849304648884,0.22434092558800245,vm_175
vm_176,0.00043242380196189243,0.5403055298156911,0.003945420474098588,0.62070479179659,Unidentified,Unidentified,Unidentified,,,11.5,279.03839,True,2.4039067060540904,0.826830561854333,vm_176
vm_222,0.4999315402797536,0.34292890907637585,0.6947809017015436,0.4462676136666534,Unidentified,Unidentified,Unidentified,,,12.725,163.83958,False,0.15815212804824055,0.13919916178723923,vm_222
vm_229,0.8410880471308102,0.24073998870444302,0.908572606685337,0.37450332883912757,Unidentified,Unidentified,Unidentified,,,12.736,257.92523,False,0.04164036123121019,-0.04552980774861126,vm_229
vl_5491,0.017931935703797607,0.11080315750667671,0.07498809476133544,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.688,693.56323,False,1.1250076804731692,-0.6891478730128995,vl_5491
vm_320,0.863305401705244,0.6385996803373668,0.9199702350218044,0.7179369114994429,Unidentified,Unidentified,Unidentified,,,14.885,288.99823,False,0.03622622371411884,-0.10061011538498832,vm_320
vm_324,0.9512942012259309,0.876387560517305,0.972271198526892,0.9402642048698783,Unidentified,Unidentified,Unidentified,,,14.911,270.14783,False,0.012212579110933201,0.011776070476429368,vm_324
vm_354,0.11524759655424201,0.3603357225913185,0.3088188024171922,0.45672863116052315,Unidentified,Unidentified,Unidentified,,,15.048,199.9689,False,0.5102962655337068,-0.4620411202859849,vm_354
vm_370,0.10980287088147825,0.9999999646749188,0.2993144924769185,1.0,Unidentified,Unidentified,Unidentified,,,16.124,262.08367,False,0.52387225459189,0.3503697352372086,vm_370
vm_373,0.5899187940021693,0.17787415466790912,0.7564115546787398,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.13,138.93824,False,0.12124184564549469,0.3045645551836884,vm_373
vm_375,0.5936436994185265,0.18231007657765175,0.7572723987636539,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.131,136.94015,False,0.12074787215081276,0.2519332415214066,vm_375
vm_377,0.5048152998330754,0.19305734918019035,0.69839109149839,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.131,158.98808,False,0.15590130901864735,0.17507660787050128,vm_377
vm_381,0.3804096760528777,0.1694460034068872,0.6103907583697993,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.137,294.90346,False,0.2143920504453511,0.47547904496359195,vm_381
vm_383,0.5400538620440878,0.15347082073992646,0.719345691464153,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.139,176.87528,False,0.14306235326722969,0.3271553689730702,vm_383
vm_386,0.49265291350888996,0.1910863634809855,0.6893394379135799,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.143,158.96936,False,0.16156687430098338,0.3051128051847698,vm_386
vm_387,0.5241740307442165,0.3443893052240701,0.7117935177633642,0.4462676136666534,Unidentified,Unidentified,Unidentified,,,16.147,114.97915,False,0.1476459713931734,0.19963195231754227,vm_387
vm_390,0.6095597686195582,0.13755864529481332,0.7673363563922374,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.199,236.86129,False,0.11501422444168313,0.31644983747033706,vm_390
vm_391,0.6018871518197129,0.30318169798434635,0.7615125846394475,0.41630919723223675,Unidentified,Unidentified,Unidentified,,,16.296,160.90133,False,0.11832291518505217,0.0796024767975787,vm_391
vm_392,0.5009470994152434,0.5899294274487297,0.6947809017015436,0.670733355204323,Unidentified,Unidentified,Unidentified,,,16.335,282.83933,False,0.15815212804824055,0.1427764302205219,vm_392
vm_397,0.2602599700189522,0.25466302283979747,0.49710554827149345,0.3811287107861559,Unidentified,Unidentified,Unidentified,,,16.695,284.97205,False,0.30355138960643074,-0.33480307135566534,vm_397
vm_415,0.5227256407635914,0.35121018787169733,0.7107008711859666,0.4492885833260184,Unidentified,Unidentified,Unidentified,,,16.773,292.95919,False,0.14831315219366914,0.18053198168303197,vm_415
vm_416,0.5715973438728552,0.30794135797955313,0.7389267770909042,0.4192309826986901,Unidentified,Unidentified,Unidentified,,,16.775,268.99801,False,0.1313985952735375,0.1981181416623201,vm_416
vm_418,0.5575356233998376,0.32285710116341915,0.729796322376289,0.4294388429932708,Unidentified,Unidentified,Unidentified,,,16.78,186.99529,False,0.13679832948289214,0.16117668592928425,vm_418
vm_419,0.5008298528718244,0.547654411466053,0.6947809017015436,0.6284932123269464,Unidentified,Unidentified,Unidentified,,,16.781,226.98767,False,0.15815212804824055,0.12795628871974074,vm_419
vm_421,0.5588709785333343,0.4648894938457029,0.729796322376289,0.5477459991522475,Unidentified,Unidentified,Unidentified,,,16.785,104.99259,False,0.13679832948289214,0.11574344716246543,vm_421
vm_424,0.439973271821129,0.9999999527908757,0.6528285603601839,1.0,Unidentified,Unidentified,Unidentified,,,16.793,250.94877,False,0.1852008540466208,0.10418303533512585,vm_424
vm_429,0.14354893100898264,0.3734553666521495,0.3581596893987863,0.4679849316503667,Unidentified,Unidentified,Unidentified,,,18.147,131.08161,False,0.4459232952508445,0.5328842344596758,vm_429
vm_430,0.6641488869856593,0.7238488021147269,0.8013337390515497,0.7983307467878706,Unidentified,Unidentified,Unidentified,,,18.249,191.07664,False,0.09618657150401298,-0.06924896679099746,vm_430
vm_431,0.26725572671880937,0.3083480941363055,0.5035673237703027,0.4192318915350754,Unidentified,Unidentified,Unidentified,,,18.268,227.10133,False,0.2979424587998062,0.5285578031949498,vm_431
vm_432,0.4652868113319131,0.5239834625015383,0.6729759122777932,0.6044699504719939,Unidentified,Unidentified,Unidentified,,,18.271,145.09734,False,0.17200048013271146,0.1879856337103405,vm_432
vm_434,0.44709441394284244,0.8040299538692826,0.658122977323864,0.8745311025336827,Unidentified,Unidentified,Unidentified,,,18.724,131.08154,False,0.18169294622969284,0.2203306885193861,vm_434
vm_322,0.8464007664071149,0.5768387679999669,0.9089780836230522,0.6575294033689808,Unidentified,Unidentified,Unidentified,,,14.896,276.01654,False,0.041446587929096404,-0.11991589305431205,vm_322
vm_311,0.3294648466240674,0.5727556819726192,0.5621668928287166,0.6539010060990399,Unidentified,Unidentified,Unidentified,,,14.821,291.12955,False,0.25013473447595325,-0.5048965140042228,vm_311
vm_232,0.329967524051638,0.456270937238641,0.5621668928287166,0.5393181099694428,Unidentified,Unidentified,Unidentified,,,12.74,258.92145,False,0.25013473447595325,0.1618851857269199,vm_232
vm_310,0.46201859139880785,0.9999999707808712,0.6702608737244203,1.0,Unidentified,Unidentified,Unidentified,,,14.811,233.07664,False,0.1737561316752473,-0.14226592860194387,vm_310
vm_233,0.24166364801330442,0.19285765784780418,0.4798501212350505,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.741,198.95389,False,0.31889439113486673,0.21500570904229832,vm_233
vm_235,0.8582953554817734,0.12363883392907744,0.919679651150113,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.746,108.90076,False,0.03636342261702297,-0.04968551853121994,vm_235
vm_237,0.00024035513665558934,0.9919185383183584,0.0024122915533433694,1.0,Unidentified,Unidentified,Unidentified,,,12.751,144.86878,True,2.617570203846915,0.5961707709277633,vm_237
vm_240,0.7729222127005145,1.0,0.8716099313803555,1.0,Unidentified,Unidentified,Unidentified,,,12.753,128.89112,False,0.05967782991830912,0.08753267271864473,vm_240
vm_241,0.9681169173045225,1.0,0.9798200533952849,1.0,Unidentified,Unidentified,Unidentified,,,12.754,131.88898,False,0.008853676341421956,0.014052053506532047,vm_241
vm_242,0.00039608204877302156,0.9789753120095708,0.003737389588422357,1.0,Unidentified,Unidentified,Unidentified,,,12.754,148.86286,True,2.427431628593186,0.5951541511669767,vm_242
vm_244,0.8241463787762263,1.0,0.9001061679031934,1.0,Unidentified,Unidentified,Unidentified,,,12.756,130.88825,False,0.0457062623215993,0.0684793191691675,vm_244
vm_245,0.017694136189889596,0.389983055358992,0.07427500514691299,0.4826696111169587,Unidentified,Unidentified,Unidentified,,,12.758,159.84437,False,1.1291573094297063,0.48936688953048346,vm_245
vm_246,0.19183819560973547,0.9549027719228722,0.41504211682490705,1.0,Unidentified,Unidentified,Unidentified,,,12.758,164.83835,False,0.3819078305732887,-0.5638812801371209,vm_246
vm_248,0.9581124509259121,0.17347432308429878,0.9743052231694026,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.76,128.99813,False,0.011304969227285513,-0.016202625108657998,vm_248
vm_251,0.8928464819193148,0.12815478398396374,0.9344026449978335,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.766,152.88261,False,0.02946594087985859,-0.03803957553900972,vm_251
vm_254,0.983379406716402,0.12015373938161425,0.988753064676601,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,150.88578,False,0.004912157380412253,0.005957614998607141,vm_254
vm_255,0.0004292509266426761,0.9999999936988413,0.003945420474098588,1.0,Unidentified,Unidentified,Unidentified,,,12.784,204.82501,True,2.4039067060540904,0.648761304174652,vm_255
vm_257,0.6203174150437255,0.9441424983482959,0.7738802000226374,1.0,Unidentified,Unidentified,Unidentified,,,12.797,155.91031,False,0.11132626476414634,0.18965038979429494,vm_257
vm_258,0.005333788381045081,0.8327516517259581,0.030353105013782314,0.899567341981857,Unidentified,Unidentified,Unidentified,,,12.84,197.8076,True,1.517796875548306,0.6321455682397215,vm_258
vm_260,0.02890852190433903,0.9869101817871964,0.10818646841488233,1.0,Unidentified,Unidentified,Unidentified,,,12.856,257.05499,False,0.9658270558676266,-0.648117884043149,vm_260
vm_266,0.5741217377617573,0.23502830505802186,0.740456073001145,0.3701444347846735,Unidentified,Unidentified,Unidentified,,,13.111,198.08486,False,0.13050070057163152,-0.07733297456084998,vm_266
vm_267,0.3515139923873135,0.25389865305584114,0.5818162632617603,0.3811287107861559,Unidentified,Unidentified,Unidentified,,,13.114,232.04708,False,0.23521414327093937,-0.11281327165710309,vm_267
vm_268,0.639671266765898,0.2544876098354938,0.7881663822651243,0.3811287107861559,Unidentified,Unidentified,Unidentified,,,13.13,104.03411,False,0.10338209307878128,0.06482892561606235,vm_268
vm_270,0.7681147437413464,0.84778982851538,0.8697422329132783,0.9131316787131508,Unidentified,Unidentified,Unidentified,,,13.234,275.06579,False,0.06060944095687881,-0.059999260340536154,vm_270
vm_271,0.6465496921948792,0.3695428887671366,0.7909122186091856,0.46519424081974775,Unidentified,Unidentified,Unidentified,,,13.366,179.0555,False,0.1018717150979663,0.06988736397405759,vm_271
vm_274,0.44113234241729815,0.347719659668593,0.6528285603601839,0.4479375779161338,Unidentified,Unidentified,Unidentified,,,14.168,215.06713,False,0.1852008540466208,-0.28876937835689986,vm_274
vm_278,0.7240633074121738,0.7767337574742453,0.8387889731196642,0.8473459172446313,Unidentified,Unidentified,Unidentified,,,14.24,132.06554,False,0.07634728748752388,-0.14044987897753103,vm_278
vm_289,0.9791739408316574,0.8890876690868159,0.9880427780064577,0.9520378501688864,Unidentified,Unidentified,Unidentified,,,14.243,287.05486,False,0.005224251920503109,-0.0055989307696009405,vm_289
vm_296,0.2089970859350938,1.0,0.43865548074590033,1.0,Unidentified,Unidentified,Unidentified,,,14.279,270.14786,False,0.3578764400137707,-0.22724670058877194,vm_296
vm_128,0.007354072774970571,0.2674463917207235,0.03915404899251459,0.38602102195384846,Unidentified,Unidentified,Unidentified,,,7.811,178.05034,True,1.40722332008929,-1.0176552890031019,vm_128
vm_124,0.2444906078450947,0.19672643200728968,0.4828580162092747,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,7.563,76.07628,False,0.3161805542213121,-0.28328672336044036,vm_124
vm_123,0.008796710704790307,0.2578257065825984,0.045594218864265255,0.3812201508791168,Unidentified,Unidentified,Unidentified,,,7.556,250.06923,True,1.3410902203731865,-0.6002994262847707,vm_123
vl_5818,0.4277926396814308,0.18369886645641142,0.6434374308014981,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.833,914.52173,False,0.19149367840808795,0.20484620741559922,vl_5818
vl_5828,0.4549985607490389,0.21390863244535596,0.6666726831001879,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.865,961.75024,False,0.17608733971754803,0.15984553403690072,vl_5828
vl_5829,0.6857598205711966,0.21754648417926237,0.8177554292835073,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.865,1037.73303,False,0.08737656380335922,0.10793572025770715,vl_5829
vl_5839,0.2850962462147244,0.15845937220817619,0.5193832604307851,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.886,850.79199,False,0.2845120516641509,0.42586673792920493,vl_5839
vl_5874,0.0127735801686017,0.39343851089713877,0.05961136043092456,0.4844773529575085,Unidentified,Unidentified,Unidentified,,,17.965,543.44031,False,1.2246709667311388,0.22999157998354391,vl_5874
vl_5878,0.9584198119220754,0.1576063362096013,0.9743052231694026,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.967,587.5061,False,0.011304969227285513,0.010199572167969961,vl_5878
vl_5879,0.09277488861463429,0.13862580713781997,0.26742422201189625,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.967,561.48578,False,0.5727992589674888,0.3618577674930954,vl_5879
vl_5884,0.23770925587382374,0.10964416034884922,0.4770574735179347,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.97,1017.94482,False,0.32142929616307325,0.23548205302941838,vl_5884
vl_5885,0.5341208089930706,0.2067177188594045,0.7173593347060219,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.97,1396.15466,False,0.14426324602266843,0.1334107789490595,vl_5885
vl_5888,0.7970911346745277,0.14135436026934664,0.8857789381706287,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.972,829.57379,False,0.052674650473727734,0.07648167008315099,vl_5888
vl_5893,0.5428779811771952,0.13682196226378884,0.7203573211774321,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.999,605.55383,False,0.14245202562235287,-0.324658090178211,vl_5893
vl_5904,0.2734777044945115,0.14031500559890311,0.5069220836474919,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.05,697.59485,False,0.295058788679271,0.4240819948455581,vl_5904
vl_5912,0.4710680103814915,0.11326533268348205,0.674525400079334,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.09,723.61163,False,0.17100169179400873,-0.35031732122707737,vl_5912
vl_5918,0.002919381519521689,0.12767886937309628,0.01852297239972382,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.119,1065.9386,True,1.732289320396159,0.8785585896878239,vl_5918
vl_5956,0.5181166721878825,0.11762975532438223,0.7096520916641652,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.235,929.84113,False,0.14895451283253044,0.36301918202040895,vl_5956
vl_5965,0.37387319698655497,0.11799313926235237,0.6043279787308297,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.257,575.50708,False,0.21872729864062776,0.5121798326105456,vl_5965
vl_5984,0.5367400415569592,0.1096818600533174,0.7182557647016763,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.29,685.59534,False,0.14372087968605882,0.29597670636045237,vl_5984
vl_5993,1.5358053036863654e-07,0.07902092797357647,4.844368729342135e-06,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.305,749.62732,True,5.314762807926997,4.827049083817144,vl_5993
vl_6006,0.4324372870387738,0.934231628605655,0.6468980554075966,0.9965137371793653,Unidentified,Unidentified,Unidentified,,,18.346,927.9494,False,0.18916415435807357,0.1629943367970519,vl_6006
vl_6018,0.8969117766949966,0.1431485789718351,0.9359079408991268,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.379,579.5387,False,0.02876686784926204,0.05298430396759102,vl_6018
vl_6058,0.22899044468906093,0.145707661127346,0.46557173284847747,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.561,852.7995,False,0.3320133957133959,0.5211587605108079,vl_6058
vl_6059,0.29177998743350164,0.23749360084331916,0.5244466865986487,0.3718444528769667,Unidentified,Unidentified,Unidentified,,,18.561,891.81732,False,0.28029865407259885,0.23275742803665622,vl_6059
vl_6060,0.011199226191094772,0.6857593916164526,0.054466721211315544,0.7593564376575364,Unidentified,Unidentified,Unidentified,,,18.563,937.74939,False,1.263868767607204,0.49569642968105754,vl_6060
vl_6063,0.13361118047725173,0.13930712628495895,0.34145079455297667,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.58,826.78284,False,0.4666718723449849,0.5583994737353422,vl_6063
vl_6071,0.24705376507236232,0.25757181199519497,0.4853155812097651,0.3812201508791168,Unidentified,Unidentified,Unidentified,,,18.599,989.78271,False,0.3139757652996011,0.3730514102412599,vl_6071
vl_6074,0.361843606662955,0.22595417463411516,0.5926933853945138,0.3699601345512283,Unidentified,Unidentified,Unidentified,,,18.605,943.85022,False,0.22716991956829166,0.22702737995053113,vl_6074
vl_5821,0.07005920844730164,0.23407744386750162,0.21366123239177073,0.3700649439418166,Unidentified,Unidentified,Unidentified,,,17.844,987.7735,False,0.670274270936945,0.41611063934631787,vl_5821
vl_5775,0.044700514062278936,0.16807311574113393,0.15385733544277078,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.664,1077.94055,False,0.8128817931027543,0.459552254789827,vl_5775
vm_122,0.021366473349803385,0.9999999965652417,0.08608973203716401,1.0,Unidentified,Unidentified,Unidentified,,,7.445,243.06239,False,1.06504864396472,0.3154611000265355,vm_122
vl_5746,0.8358639297813756,0.1212430803255951,0.9071160757561528,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.62,977.83557,False,0.04233713649568223,-0.10279121954668113,vl_5746
vl_5492,0.0063542263739878565,0.10309177549311391,0.03472804909347819,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.688,769.54987,True,1.4593196132263824,-0.5880438716296297,vl_5492
vl_5493,0.02534755152063882,0.2151813668327628,0.09716561416244882,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.688,1027.71936,False,1.0124873999050719,-0.4236057595322862,vl_5493
vl_5498,0.0035251721995902333,0.1413322960974632,0.02150160280855037,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.69,369.35373,True,1.667529164969802,-0.5918235391242526,vl_5498
vl_5506,0.7872720148058014,0.676078098128629,0.8823840653254871,0.7531687389848701,Unidentified,Unidentified,Unidentified,,,16.737,843.85498,False,0.05434234327377873,-0.03703291023547095,vl_5506
vl_5510,0.16601014450477203,0.5954361792863314,0.383420919525666,0.6756028180186124,Unidentified,Unidentified,Unidentified,,,16.748,535.54626,False,0.41632419561364187,-0.09667367926893888,vl_5510
vl_5536,0.30736576934021653,0.14609337473181955,0.5394782342632735,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.827,989.83466,False,0.26802607263082395,0.36690177481154507,vl_5536
vl_5543,0.9156832084909856,0.144229159255835,0.9510011873697536,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.842,1012.72809,False,0.021818940825141228,0.04730397835855982,vl_5543
vl_5544,0.8807892596065731,0.1981321994611408,0.9287405373501973,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.843,1009.75226,False,0.032105598100847704,0.05371040169653085,vl_5544
vl_5568,0.8347643438114863,0.1428881676100109,0.9070667672912214,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.975,937.80261,False,0.04236074425310116,0.07200112875717579,vl_5568
vl_5571,0.8748332153050917,0.15079814030667782,0.9257492523155983,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.98,986.71112,False,0.0335066300377323,0.08473470901600422,vl_5571
vl_5574,0.9817780140154747,0.14126318888778286,0.9880427780064577,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.983,983.73309,False,0.005224251920503109,0.010743365587359222,vl_5574
vl_5576,0.7978867250782627,0.13833292123943305,0.8857789381706287,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.99,577.52283,False,0.052674650473727734,0.11630642775151756,vl_5576
vl_5595,0.5060048981608045,0.13214807911155435,0.6991602600218715,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.075,887.78613,False,0.15542326478969443,0.2194909669914722,vl_5595
vl_5613,0.10850017608475535,0.1928577719081419,0.2972312516068732,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.15,985.75098,False,0.5269055297470167,0.5109384104025203,vl_5613
vl_5615,0.10656351743236522,0.18374511365463364,0.2939904274138842,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.152,988.72711,False,0.531666810366788,0.5124855252150766,vl_5615
vl_5622,0.4300782157342272,0.16370401082372965,0.6451173236013409,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.164,959.73254,False,0.1903612956606678,0.2229423187162638,vl_5622
vl_5630,3.3308708335146064e-11,0.15910435380081012,3.3429830910910234e-09,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.214,1456.026,True,8.475865820076422,-2.2543253312891487,vl_5630
vl_5641,0.04350770611516145,0.18354221147024685,0.15104562122999446,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.232,963.81812,False,0.82089186028289,-0.42475577872157544,vl_5641
vl_5697,0.5003832246699118,0.11727070543135784,0.6947809017015436,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.452,695.57861,False,0.15815212804824055,-0.17722515869308353,vl_5697
vl_5698,0.4616006292786975,0.1301979647072272,0.6702608737244203,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.453,771.56702,False,0.1737561316752473,-0.10537924316012237,vl_5698
vl_5699,0.7767002623286321,0.21912283029921542,0.8749766220518468,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.454,369.35367,False,0.0580035504628463,-0.03904473021951205,vl_5699
vl_5706,0.6080479874613063,0.17083388559223212,0.7663070526909613,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.455,915.91248,False,0.11559717740472289,-0.10505641540462918,vl_5706
vl_5716,0.39348860972019906,0.1498429082343649,0.6170616834248577,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.466,981.79486,False,0.20967142035565442,0.3648726276934475,vl_5716
vl_5729,0.6672637599833671,0.12873889891499973,0.8042130906349751,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,17.552,965.83447,False,0.0946288619166895,0.1786070679132017,vl_5729
vl_5735,0.9537769094244783,0.9449752864200562,0.972271198526892,1.0,Unidentified,Unidentified,Unidentified,,,17.576,885.90228,False,0.012212579110933201,0.007782199661381384,vl_5735
vl_6108,0.9873240520160439,0.13188045957674008,0.9918159721799021,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.765,680.63824,False,0.0035689021209912475,0.002967007845040115,vl_6108
vl_6126,1.0103366130477343e-07,0.11368297206463271,3.2806224141314665e-06,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.788,369.35376,True,5.484043752209408,0.9755586311840752,vl_6126
vl_6155,0.8364530481157278,0.09652910292882244,0.9071160757561528,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.806,1067.95251,False,0.04233713649568223,-0.06319920522885525,vl_6155
vl_6156,8.958565638621921e-07,0.08328737212425114,2.247785560236046e-05,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,18.807,673.59418,True,4.64824512301773,1.7675755972369238,vl_6156
vl_6392,0.5166533043178465,0.13567661452307495,0.7094343880185355,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,19.903,947.88251,False,0.14908776403896862,0.3295038550909162,vl_6392
vl_6420,0.1049204863967114,0.1922838717897759,0.2910357210602246,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.176,591.57642,False,0.5360537034290033,0.7962275520110431,vl_6420
vl_6422,0.16322777703541025,0.19922268244160612,0.3797093510023216,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.201,869.80127,False,0.4205487074725219,0.7104265406427537,vl_6422
vl_6425,0.16909077548968643,0.17800315285282653,0.3862176732039233,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.211,565.56018,False,0.4131678569177651,0.7218862534583828,vl_6425
vl_6429,0.21968732645037414,0.17845295799696126,0.4523029591319712,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.238,537.52844,False,0.3445705709308835,0.7509701450952626,vl_6429
vl_6430,0.14500730547651505,0.17811602202736876,0.35818949816012446,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.24,843.78552,False,0.44588715147963953,0.8112756134639127,vl_6430
vl_6433,0.11264143061003702,0.18902834004700964,0.3033076570572704,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.25,895.81458,False,0.5181166257073239,0.8812773025755689,vl_6433
vl_6434,0.12644344620932887,0.17777043665447156,0.33151905094330175,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,20.252,593.59186,False,0.47949150954632935,0.8120046836890715,vl_6434
