,pval_sex,pval_animalvar,qval_sex,qval_animalvar,ID,superclass,molec_class,fa_carbons,fa_unsat,RT,m/z,signif_sex,logqvalsex,log2fcM-F,i
vl_4356,0.012057251815121425,0.11161146522966113,0.057533003448757364,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,941.6947,False,1.2400829535049283,-0.45278258696406937,vl_4356
vl_4357,0.001332718804053454,0.11188558655222355,0.010288961955769322,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,1077.66858,True,1.9876284386118963,-0.5627157323494565,vl_4357
vl_4358,0.014864331000483346,0.11820806063991315,0.06624176582001028,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,1091.68567,False,1.1788680989939357,-0.44483812257321276,vl_4358
vl_4373,0.15349581793960881,0.12687538462867315,0.36916424071775,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.796,831.70074,False,0.4327803737650238,-0.3867370234561811,vl_4373
vl_4381,0.17090161629797762,0.28113697835892903,0.38822095554108493,0.39689926356554683,Unidentified,Unidentified,Unidentified,,,12.813,664.62585,False,0.41092102579920475,-0.1583268795456334,vl_4381
vl_4382,0.02303795868813084,0.39900233696629006,0.09083537997034445,0.4884560473652335,Unidentified,Unidentified,Unidentified,,,12.813,710.63165,False,1.0417449627879525,-0.28791464290037894,vl_4382
vl_4396,0.40358883753415487,0.36644557633809616,0.6228449089827671,0.4623496186025807,Unidentified,Unidentified,Unidentified,,,12.853,809.49048,False,0.20562008104250382,0.7426648552146062,vl_4396
vl_4416,0.5927859230874029,0.22524156199032475,0.7572723987636539,0.3699601345512283,Unidentified,Unidentified,Unidentified,,,12.9,638.61041,False,0.12074787215081276,0.06995725308896183,vl_4416
vl_4417,0.46974619544953267,0.35617811577265257,0.6743820543254668,0.4535416837520282,Unidentified,Unidentified,Unidentified,,,12.901,684.61603,False,0.17109399504274508,0.08497880784928213,vl_4417
vl_4454,0.46798098026218915,0.15367651514110034,0.6743820543254668,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.036,619.53265,False,0.17109399504274508,0.2189278172761533,vl_4454
vl_4456,0.023342613872574615,0.10000040513285369,0.091709059485133,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.044,668.66229,False,1.037587760403462,-0.4732513269299581,vl_4456
vl_4462,0.3102551598662905,0.10625146982368254,0.5419647096398492,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.055,820.6712,False,0.2660289918890323,-0.22188345604979176,vl_4462
vl_4474,0.02278714058640054,0.2968393798040837,0.09016847027736988,0.4116754113769586,Unidentified,Unidentified,Unidentified,,,13.103,782.60846,False,1.0449452981383478,-0.25871792829946116,vl_4474
vl_4513,7.499404544452787e-05,0.1372726183137086,0.0009408343883040769,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.216,844.68683,True,3.026486817141914,0.5548616068794452,vl_4513
vl_4515,0.6760305070228662,0.9852727128815318,0.8085998697218247,1.0,Unidentified,Unidentified,Unidentified,,,13.222,707.56482,False,0.0922663329740205,0.12864852568423757,vl_4515
vl_4520,0.006437097904718742,0.19853871443020576,0.0350076654522635,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.24,682.63843,True,1.4558368499606222,-0.34578563909687077,vl_4520
vl_4542,0.06872154260669407,0.09506807001099442,0.2101802290297251,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.303,761.62579,False,0.6774081390552935,-0.3273995273041663,vl_4542
vl_4544,0.012745800698335566,0.10424397420716412,0.05961136043092456,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.304,817.71332,False,1.2246709667311388,-0.520081938032142,vl_4544
vl_4545,0.002694267897858215,0.09362873207492219,0.017496892701385117,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.306,1091.68628,True,1.7570390714544637,-0.6088576117767204,vl_4545
vl_4547,0.009659664584402433,0.11377431722707972,0.04891866835403801,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.307,1001.69623,True,1.3105253736791815,-0.5825834747772696,vl_4547
vl_4548,0.006505302290722288,0.12876325642094286,0.035205165338026506,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.307,1083.70129,True,1.4533936117143118,-0.5353384559700594,vl_4548
vl_4550,0.12316438781371987,0.09950095039065293,0.324916946664685,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.307,1187.70056,False,0.4882276366050859,-0.4208297321742087,vl_4550
vl_4551,0.0048949825300330044,0.11126523888953012,0.02844242480608651,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.308,1125.86145,True,1.5460333813947116,-0.6645443301468035,vl_4551
vl_4552,0.002149650996397729,0.12041861591037309,0.014559599386644742,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.308,1009.68311,True,1.8368505746495727,-0.6392170451388282,vl_4552
vl_4554,0.02461489769280382,0.09085589508325295,0.09568608117202614,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.308,1173.68677,False,1.0191512316047253,-0.49084924416652953,vl_4554
vl_4921,0.5448141843080696,0.1780250594430094,0.7204059202136132,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.404,927.78546,False,0.1424227268553648,0.2154976007041256,vl_4921
vl_4939,0.7801511972274725,0.41253229083630194,0.8770742583901524,0.5009020675993635,Unidentified,Unidentified,Unidentified,,,14.459,817.61725,False,0.05696363509028827,-0.025515278410335185,vl_4939
vl_4353,0.022637234890611757,0.11412284199176054,0.0898975083425733,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.776,1157.83411,False,1.0462523452864303,-0.44035242592183366,vl_4353
vl_5197,0.07190965864451976,0.2333794484642887,0.21675680036727996,0.3700649439418166,Unidentified,Unidentified,Unidentified,,,15.425,589.55988,False,0.6640272684046664,1.0312363072054147,vl_5197
vl_5204,0.6007603574301152,0.22505788058264442,0.7615125846394475,0.3699601345512283,Unidentified,Unidentified,Unidentified,,,15.438,723.64606,False,0.11832291518505217,0.09586868286871564,vl_5204
vl_5208,0.7467235208935533,0.9757998787850105,0.8525157880728882,1.0,Unidentified,Unidentified,Unidentified,,,15.458,731.59955,False,0.06929756939183519,0.11978461550062747,vl_5208
vl_5222,0.0016732992197351134,0.16399612323201518,0.011995599601217955,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.515,1009.80444,True,1.9209780389014823,-0.7885746346997884,vl_5222
vl_5260,0.6021743536143457,0.1552141906712483,0.7615125846394475,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.717,507.5148,False,0.11832291518505217,-0.08584348864194169,vl_5260
vl_5280,4.5203384342672625e-05,0.13498743751929587,0.000631702991320387,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.803,1035.81934,True,3.199487066574269,-1.1997442879827354,vl_5280
vl_5290,0.0004389468474877829,0.1398654942820397,0.003972109177266495,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.815,623.50739,True,2.4009788230082885,-2.153071576966763,vl_5290
vl_5345,0.39703302167654575,0.0999675367607126,0.6182291338940853,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.098,881.47754,False,0.2088505327710874,-0.19973726262778513,vl_5345
vl_5347,0.2997052529086788,0.10696297628545423,0.5310988751383329,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.108,1022.82642,False,0.2748246184108991,-0.6934160257964059,vl_5347
vl_5354,0.6190429862061958,0.14229255217139986,0.7738802000226374,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.148,847.68536,False,0.11132626476414634,0.2102445811370508,vl_5354
vl_5357,0.006120810356489579,0.13935603912098726,0.03361877927146515,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.156,1037.83594,True,1.4734180602389537,-0.8837333069358664,vl_5357
