,ID,molec_class,pval_sex,qval_sex,log2fcM-F,qval_significant,more_abundant_in_females
vl_2566,PC 15:0_18:2,PC,5.087734024734415e-08,1.66316270877525e-06,0.6930733021451765,True,False
vl_3697,PE O-38:3,Plasmenyl-PE,0.395688807406565,0.5870312823496456,-0.1322487073698433,False,True
vl_4213,Plasmanyl-PE O-20:0_18:2,Plasmanyl-PE,0.1556584281734536,0.3492242871256873,-0.2474246106575925,False,True
vl_2912,PC 18:0_20:5,PC,4.1658864050188646e-10,2.468287694973677e-08,-1.0861957453405535,True,True
vl_2305,PC 33:3,PC,0.1287524797661368,0.315570104702177,1.240425077809192,False,False
vl_3882,Plasmanyl-PC O-42:6,Plasmanyl-PC,0.0002478494953956,0.0021556084553676,-0.7415869746825052,True,True
vl_3897,PE O-42:6,Plasmenyl-PE,0.0033088626536654,0.0181318022871378,-0.6504071073083502,True,True
vl_2500,Plasmanyl-PC O-34:4,Plasmanyl-PC,0.0014934144032472,0.0098316448213773,0.6677898045499298,True,False
vl_2535,PI 18:2_18:0,PI,0.0405838695058008,0.1340540358588824,0.2017816891269035,False,False
vl_2327,PC 14:0_18:2,PC,5.080487257178155e-06,8.756912581463439e-05,0.5429457846779968,True,False
vl_2998,PC 37:4,PC,5.646609556283914e-07,1.3584214376445783e-05,0.4016602026747442,True,False
vl_3950,PC 35:0,PC,0.2349675965577368,0.4446093443846995,0.2671999781874135,False,False
vl_2911,PE O-38:6,Plasmenyl-PE,0.6548504741823686,0.7808783012891641,-0.1080519537764033,False,True
vl_3007,PC 33:1,PC,2.046115645331757e-07,5.388104532706959e-06,0.8002288828972759,True,False
vl_3710,Plasmenyl-PE P-18:0_18:2,Plasmenyl-PE,0.488906838602465,0.6588203077304994,-0.1442321572440228,False,True
vl_3549,PC 39:4,PC,0.3254824563802687,0.5267235007971074,-0.1351552046482211,False,True
vl_2194,PI 18:0_20:5,PI,0.2587805851908855,0.468175562520915,-0.1866316952561746,False,True
vl_3814,PC 18:0_20:2,PC,0.1748875952081119,0.3716761606926658,-0.1345222450887746,False,True
vl_3831,PC 40:3,PC,0.0007514398621978,0.0056989199149088,0.5329171920720093,True,False
vl_4214,PE O-38:1,Plasmenyl-PE,0.2501704257199567,0.459903418114564,-0.225459312346004,False,True
vl_2593,PC 35:3,PC,0.0031157166990713,0.0172730960860796,0.5021215088050468,True,False
vl_3729,PC 16:0_18:0,PC,0.341653894645033,0.5407143441126733,0.1436278132239792,False,False
vl_2594,PC O-32:1,Plasmenyl-PC,0.0662102183965339,0.1943259660678457,0.3363685440629389,False,False
vl_3840,PE O-40:4,Plasmenyl-PE,0.1267219560670954,0.3136616562705129,-0.213377363927357,False,True
vl_2539,PC O-38:6,Plasmenyl-PC,0.0457982638423477,0.1466782233869787,0.4692839641668165,False,False
vl_3802,Plasmanyl-PE O-18:0_18:2,Plasmanyl-PE,0.5174923101543442,0.6829058722051424,-0.1190126499202008,False,True
vl_3756,PC 38:4,PC,0.7287473967071576,0.8252585284981617,-0.0555630829994804,False,True
vl_3877,PE 36:1,PE,0.6069971199762016,0.7434538368700764,0.1306028037591993,False,False
vl_2603,PC 37:5,PC,0.6130333592548625,0.7479480367742724,-0.0865313064560702,False,True
vl_4004,SM d41:2,SM,0.0019116600470852,0.0118447955858614,-0.5763217066976658,True,True
vl_3775,SM d42:3,SM,0.0004134807761001,0.0034085197890686,-0.5427195163366214,True,True
vl_2950,SM d35:1,SM,4.244953864927782e-07,1.0590042799872464e-05,-0.7194436828702742,True,True
vl_3330,SM d38:2,SM,4.8663174835151836e-09,2.096940442896543e-07,-0.6468675560834676,True,True
vl_4902,Cer[AP] t18:0_24:0,Cer[AP],0.0377116407929117,0.1267753030910649,-0.5137965184499471,False,True
vl_2206,SM d42:7,SM,0.0964372729828279,0.2604630620732789,0.4327726233027569,False,False
vl_4905,SM d44:1,SM,0.0004578418175931,0.0036782546023585,-0.9936200884444446,True,True
vl_2148,SM d40:7,SM,0.1544586653695242,0.3492242871256873,-0.1781619934557383,False,True
vl_4786,Cer[NDS] d41:1,Cer[NDS],0.1525439515201962,0.3492242871256873,-0.3001668954887293,False,True
vl_2384,SM d42:7,SM,0.0718334369908074,0.2057500626325491,0.7523272407415931,False,False
vl_2357,SM d33:1,SM,0.0018471594769905,0.01167404789458,-0.5770209215953024,True,True
vl_3744,SM d38:1,SM,1.8490697813044414e-09,9.738434181536727e-08,-0.8247478265599995,True,True
vl_2597,SM d42:6,SM,0.0009683744913175,0.006954689528553,0.6705586391570861,True,False
vl_2876,SM d34:0,SM,0.0012298813846733,0.0085104200924841,-0.8784200094662182,True,True
vl_3013,Cer[NP] t18:0_16:0,Cer[NP],0.437381775628033,0.6209976535608863,0.175324727246668,False,False
vl_2687,SM d36:2,SM,0.0931409860036811,0.2530018760214604,0.1343779608011601,False,False
vl_2979,SM d42:3,SM,0.3489207314368661,0.5476437970234256,-0.1174534091397419,False,True
vl_3251,SM d36:1,SM,6.976581169831208e-06,0.000114031016362,-0.8216465992341426,True,True
vl_2617,SM d34:1,SM,0.0005254385471973,0.0041166590309342,-0.580925054234676,True,True
vl_3977,SM d39:1,SM,0.0002579475070052,0.0022230385149176,-0.5740315537341836,True,True
vl_4195,SM d40:1,SM,0.0001697566785232,0.0015473974157695,-0.6865347346597908,True,True
vl_4576,Cer[NS] d18:1_24:1,Cer[NS],0.0998910705679269,0.2675659248645135,-0.4090799753537517,False,True
vl_4558,SM d42:1,SM,0.0169157484833442,0.0665399566896696,-0.4962907088296298,False,True
vl_2119,SM d32:1,SM,0.0563605998481408,0.1729121315729368,-0.3027923710578513,False,True
vl_4973,Cer[NDS] d18:1_24:0,Cer[NDS],0.1693200668756324,0.3639805519231281,-0.2350998288682007,False,True
vl_3823,SM d40:2,SM,2.2673635735269025e-05,0.0003115160387976,-0.7333456213048777,True,True
vl_4361,SM d41:1,SM,0.0115165234884123,0.050544741976921,-0.4692118769175089,False,True
vl_2186,SM d34:2,SM,7.034811755895245e-05,0.0007845884170104,-0.4469537013565841,True,True
vl_4304,SM d40:0,SM,0.0593176357136846,0.1813971569566873,-0.5631857133023459,False,True
vl_4768,Cer[NP] t18:0_24:0,Cer[NP],0.9336517915289948,0.9605600559263172,0.0139283526577713,False,False
vl_4508,SM d44:2,SM,0.0006806619739368,0.0052460776527817,-0.7934822661113117,True,True
vl_4133,SM d42:2,SM,0.0042948368017686,0.0223709081762452,-0.4845869679421817,True,True
vl_4631,Cer[NDS] d40:1,Cer[NDS],0.0108827255834363,0.0488948997777139,-0.4577581896159337,True,True
vl_4657,GlcCer[NDS] d42:1,GlcCer[NDS],0.0397262179479512,0.1321419460163432,-0.4024414396453792,False,True
vl_4656,HexCer[NS] d42:1,HexCer[NS],0.0292240509994724,0.1018544130422791,-0.4015313165181489,False,True
vl_4314,SM d43:2,SM,0.0554772870760813,0.1718708109415852,-0.2901699825538735,False,True
vl_4720,SM d43:1,SM,0.0250744762660631,0.0902305603579191,-0.4305146327308655,False,True
vl_4609,Cer[NP] t18:0_23:0,Cer[NP],0.5631388271382898,0.7061582118083316,0.0997121987998781,False,False
vl_5883,CE 18:2,CE,0.2177043082812869,0.425081653861214,0.2334178709540673,False,False
