,Unique Identifier,Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64)
10,unknown_605.14441_0.555,0.555,605.14441,-,50236076.66,unknown,unknown,31,28387977.79,30433469.05,32439380.18,5288920.109,8097565.23,18040277.31,13433568.73,14992374.75,19028206.16,19664390.86,10144648.85,11298974.64,28497828.35,16636069.95,17534078.0,20959850.78,10330114.56,13328263.0,32331269.81,15009296.81,30782388.43,24007643.58,730362.2667,23303023.17,32920920.58,3951763.257,16762050.18,20508637.03,13922133.37,15463585.88,23229812.26,17335903.89,50236076.66,22737911.26,15604163.63,4038115.092,9766437.486,25146193.5,16706445.24,17206105.61,17530227.48,11890037.33,17213743.16,11046688.28,13241717.15,21395639.67,16692937.6,11141410.5,21606589.33,16843323.94,20334933.34,8522610.592,10023182.7,13379952.74,8997782.609,6301979.202,21006949.28,14090893.56,21202385.28,11192095.44
11,unknown_349.0174_0.56,0.56,349.0174,+,30825665.4,unknown,unknown,44,20971045.41,21025977.97,15455342.37,23320408.84,19976302.03,9722316.185,10665686.16,20789383.42,16162240.13,19687050.06,23094809.42,21586574.52,16971668.89,17677662.71,13135214.71,27643701.43,28238005.71,19346705.68,17674856.93,17939525.75,30825665.4,20595883.05,3341601.594,13495055.03,19641647.39,18767759.88,12805221.62,22611367.45,22287548.15,16950238.53,19216967.03,19219205.51,24589181.7,21351014.21,28360769.14,14173864.61,8898585.556,27002306.72,22787697.58,11737673.7,15782021.26,27394521.03,18133177.86,6875537.13,13678028.35,30433060.32,12220102.99,15270806.53,22509231.34,26572684.05,24777702.1,20741150.97,22536477.81,17064173.45,25212360.64,9195010.973,17282244.39,19923240.16,23367020.0,10653738.66
12,unknown_258.1102_0.572,0.572,258.1102,+,101155714.5,unknown,unknown,5,25718318.26,26993565.48,32169226.38,22568850.34,11821269.06,12913505.96,28729952.85,34272057.51,18084664.57,34624340.16,15028408.73,19566642.61,32396106.67,30968593.64,14721212.4,41519090.77,15456762.01,26185305.48,40429202.39,34671170.0,30919662.15,34212019.89,5669262.423,25471753.69,33274619.94,19482193.35,14903702.63,35058850.15,13040185.1,28689426.13,27323087.29,39310767.38,101155714.5,30296589.44,21936391.58,15996602.88,15547697.79,23752145.64,16751359.38,15831196.89,10583232.99,17746811.47,19677383.5,14504776.56,6898233.173,42548219.33,12741914.23,15196174.38,34063419.75,36173233.82,21644992.49,19915090.77,17447043.74,33071349.26,40886169.03,21644010.78,26578641.71,63115693.41,34972802.2,13719264.45
13,unknown_930.19086_0.587,0.587,930.19086,+,26831844.08,unknown,unknown,7,11976253.77,26831844.08,11580692.59,1260961.731,1468566.856,2291012.859,9626257.497,2290836.986,6506278.45,3125892.8,2348667.699,4076569.991,8583395.363,3800507.137,3636780.802,6266273.825,3551494.817,4207923.839,10874761.02,4997422.127,13445632.45,6035021.38,555131.765,5916377.18,9726510.077,299859.1113,5470456.844,4470061.727,6797108.936,3637503.247,7362198.986,6487323.766,10618716.09,9155032.457,8737691.582,787592.9352,5494912.59,3919716.888,6293989.085,7949127.285,2937477.046,4230499.26,5421977.228,2638679.898,6844907.699,7050840.839,4429945.012,4039850.602,9246478.892,3128861.354,9961952.641,2533230.474,6483516.341,2618890.789,7220564.66,1900399.454,7284386.029,3765753.388,4293526.266,2598214.927
14,unknown_638.10034_0.588,0.588,638.10034,+,25721848.33,unknown,unknown,25,7226046.824,25721848.33,19219495.8,5131514.543,9575306.825,10447732.17,16609660.78,13684591.58,18339309.96,12971568.17,12344713.85,14290177.13,21674633.74,17982709.22,10672462.39,10407133.47,15304569.27,11256990.98,6620559.944,15842668.03,9774042.426,14604832.21,1658078.967,19281080.05,11427783.99,2738462.413,17372768.56,17801219.56,20393221.83,6572942.055,23485555.55,6921817.487,11483605.82,13480851.41,11976296.98,5526377.655,7599349.298,4485621.007,8052743.025,13151302.71,14613055.08,17936883.23,18539963.52,6159267.865,16765210.67,12997761.68,17777170.97,6905864.879,14666237.28,16292581.51,15663749.73,12312549.52,8990014.419,12318155.45,23795297.98,7048972.293,10768316.7,17501070.49,21128863.05,10502234.33
17,unknown_495.04285_0.599,0.599,495.04285,-,21403769.05,unknown,unknown,31,8282599.935,21403769.05,5365750.84,11172818.75,6393497.588,4447113.385,20523083.54,6299727.158,4758031.59,5467771.436,9183505.297,12058844.56,10435326.54,7910364.644,3556356.722,6832605.629,9662839.87,7684157.164,4370660.422,12481283.16,12287332.87,6307081.912,8229513.801,6322465.34,6086934.133,4152138.849,7660876.045,9248706.028,11671083.4,9858230.745,6994905.523,9741078.01,4255455.748,6889890.617,14134068.13,8633043.857,4055364.614,3240418.721,9235140.517,16846417.8,2934245.829,5098324.16,6240690.344,1763666.299,13101538.68,2381208.669,4127496.246,10871612.94,3286610.948,6607206.333,11425860.91,4119960.544,6905631.62,10986206.03,3062903.548,6264050.384,6051688.924,4151317.976,2188139.796,7864734.853
19,unknown_340.00061_0.608,0.608,340.00061,-,361932081.0,unknown,unknown,19,112931227.9,361932081.0,97447751.96,147921668.0,100421278.8,105471377.5,207781445.9,120368322.5,101386717.4,114472648.9,141671329.4,182587989.1,175967969.3,176784606.1,77472776.92,186438119.0,151363838.5,149768271.7,71349323.15,215301700.5,181726259.8,195032538.7,102713542.2,152378159.2,102333443.4,145274735.6,121871226.7,172934824.7,185677098.3,226050334.3,120162417.9,159224667.1,124028898.0,160767785.0,200587310.6,143822969.0,88914410.91,124547050.8,159863338.9,203995734.6,103328701.7,91932613.1,153849559.0,113143792.6,294895704.9,155991357.9,107188099.4,170797365.4,97795365.49,106336437.3,159602307.5,131310929.5,118201733.0,188475910.8,144199612.9,155940353.1,92688511.0,120440367.6,89938144.57,196509808.6
21,unknown_341.99973_0.612,0.612,341.99973,-,290741874.0,unknown,unknown,24,129914886.5,283885013.7,88884407.21,146415760.2,122723878.6,110284508.5,228229628.7,124475115.2,122011634.9,112314256.2,121550795.7,183151533.5,173044072.4,182294101.1,94160425.32,174780186.0,154279227.8,146985471.3,70038958.76,207450032.6,180467984.6,191372979.6,45565725.98,150675078.6,95414765.56,130156325.9,123997857.6,165583936.6,180395682.6,225728895.1,109555278.8,168397147.3,111591186.1,158544702.7,202726305.4,164465093.3,90458675.92,135086141.8,164949057.1,202275497.8,121587802.0,91616695.8,164108480.5,115062769.3,290741874.0,166397474.5,99355219.12,167478037.1,96215058.38,105090761.9,157302645.9,123858680.4,111116628.2,171488967.6,113278948.9,154053671.2,62205804.03,135631353.0,89356697.44,194299708.4
24,unknown_433.00497_0.664,0.664,433.00497,+,118127691.9,unknown,unknown,7,15424915.3,11692845.54,4927795.087,27229461.21,23152397.91,12274364.12,7143256.383,26178904.19,8365151.002,9554827.597,4359024.973,7654062.642,2760387.065,6760687.958,9834798.853,15781362.1,23078980.48,31712756.01,13757115.34,6186854.937,118127691.9,9098637.678,3489432.794,14411414.44,8150266.318,29705610.99,22486537.79,9662135.325,12446414.63,22519578.69,9654305.058,17329483.59,8230760.673,7458123.17,15287930.98,18668905.29,65954958.73,21857638.63,10097729.25,11396916.8,12913160.77,18133572.34,33099930.53,26725277.9,5983569.555,13863856.92,15106108.55,11592008.15,15962623.73,13112336.1,8138231.591,9311248.052,6989680.702,19894547.83,22343601.57,9520824.633,28614440.73,7780420.372,8460352.044,16153028.95
25,unknown_515.00836_0.665,0.665,515.00836,+,171257074.6,unknown,unknown,13,3425123.776,50459980.41,5239106.166,32358781.89,28979939.41,20697093.49,11913217.01,37151173.06,9094700.211,14038362.98,12337852.61,9106422.585,2969984.76,11016100.82,9571941.695,19658367.01,34013065.43,44243635.01,18132801.21,8575070.997,36355264.73,8534422.261,7289323.14,17229699.49,10254222.42,40006816.82,30749630.39,11841721.49,22851210.39,30608985.97,11806554.06,20977813.86,7078417.015,18622898.36,22381323.63,30501020.98,22327121.34,135329988.6,12408162.05,16456838.18,17298880.97,24537360.67,37882793.6,34322077.96,8061667.39,16515440.14,20475493.42,15239189.05,16359377.79,12181204.35,9041263.248,9888677.672,5918587.724,35178577.93,24629762.58,16813244.81,171257074.6,6964784.227,8994129.092,21634043.16
