,ID,molec_class,550,551,552,553,562,568,569,570,571,582,650,651,652,653,690,691,692,713,714,715,superclass,ttpval,log_qval_tt,last_meal_rab_mean,last_meal_rod_mean,log2_fc_last_meal,log2_fc_rod-rab2rod,fa_carbons,fa_unsat,fa_carbon:unsat,is_sum_comp,Type,dummy,i
dl_206,PI 38:5,PI,20.440676836333665,20.87762600565043,20.051740671255832,20.176281272173323,21.141467869974072,20.698537592697505,20.928880992792703,20.22542081674414,20.948570826317194,20.55268509883427,21.0921102765664,21.254385198019865,20.007126394553058,19.969016413656664,21.14963004857697,20.86651003514325,19.886130745603833,20.08035818761982,20.554944593578806,20.62577822793663,Phospholipid,5.257880663103074e-07,5.385468099513704,20.056582071658095,20.856292584801675,-0.7997105131435802,-0.1255437457893933,38.0,5.0,38:5,True,lipid,True,dl_206
dl_207,SM d34:2,SM,20.793345884786135,21.23356172655244,20.902042377570215,20.99956540799899,21.351679100291417,21.06049052570153,21.113335009766942,20.89395583550354,21.3032864491466,20.81027085025291,20.95147816282514,20.919799614184218,21.086519864912265,21.04574006219648,20.811941806342016,20.605627692632805,21.05269447649334,21.068548337748513,21.039536150424492,20.449012749395713,Sphingolipid,0.6372769154077991,0.17488820710882808,21.00700948034619,20.957181978638644,0.04982750170754713,0.2989058106751692,34.0,2.0,34:2,True,lipid,True,dl_207
dl_208,PC 36:6,PC,21.74315239405661,21.517396713451493,21.285193872184866,22.88133619299304,20.4295216113863,21.638106346480814,21.61170299648126,21.49432954313372,21.633895082823738,19.828171671713534,21.458088631507536,21.309216128542914,23.03728043116108,23.10591077690755,19.90520802331371,20.082478884758117,22.869613794858132,22.615470014347796,19.277610490837606,20.631150682899793,Phospholipid,0.0005654625897241106,2.8166380511387685,22.46987637508374,20.851207666019494,1.618668709064245,0.7563193096510652,36.0,6.0,36:6,True,lipid,True,dl_208
dl_210,PC 42:10,PC,19.161154870585428,19.510750615743188,18.112396729082757,18.33210376434244,19.053278941495684,18.89263613363778,19.168853598611253,18.154948917062452,18.773367629412384,18.848003333952697,18.848312144592306,18.65114076130602,18.741729579729178,18.525082875145944,18.68637056565518,19.391361135322192,18.1672788465087,18.49937819249047,19.366745101161584,18.381710417597752,Phospholipid,0.00037931667792767676,2.9675714727450613,18.361845557765992,18.979514249928727,-0.6176686921627343,0.17068547288535996,42.0,10.0,42:10,True,lipid,True,dl_210
dl_211,PC 18:3_18:2,PC,21.718813620514368,21.233004099858572,22.534008156397125,22.91652934934651,20.917532559971452,21.136095687521944,21.44526292014743,22.50378660121038,21.039395288843806,20.822552337214873,20.82821564831915,20.598311812923754,23.13471337014619,23.07869090904631,20.460649325123473,21.011895019401432,22.901126110681066,22.619124270497498,21.120958560010425,20.70590630789074,Phospholipid,4.0827543874839784e-10,8.058632972461055,22.812568395332157,21.00296870674934,1.8095996885828178,0.399866246875046,36.0,5.0,36:5,False,lipid,True,dl_211
dl_216,PC 35:5,PC,17.07789623146908,18.25503188795079,17.586262116497146,17.533449496363897,18.41550010603805,17.97751945714083,18.152891540201157,17.23206640753549,17.835631718910626,18.367374115577636,18.223232661285785,18.04235685101973,17.791364470520175,17.59001247205931,18.309570167446697,18.2448456689093,17.46645102454893,17.645447150791846,17.66187889226985,17.460471210144405,Phospholipid,0.010631985733183821,1.7293316721602288,17.549293305473828,18.00186157756646,-0.4525682720926305,0.021299575861874587,35.0,5.0,35:5,True,lipid,True,dl_216
dl_218,PI 17:0_20:4,PI,18.72820996569085,18.787872045938585,19.301065078810563,19.3389241224173,18.868920151878708,18.965668059905806,18.7652066684638,19.40593524732548,18.82256604836785,18.677070556742407,18.891143143544816,18.83645692357927,18.88476397253431,19.410191034557116,18.811159835020874,19.068586839690735,19.464525483829625,19.645336774853142,19.016457766430634,18.616463941161562,Phospholipid,4.807630184594092e-06,4.543957674198616,19.350105959189648,18.8350601497243,0.5150458094653487,-0.07116186104922306,37.0,4.0,37:4,False,lipid,True,dl_218
dl_220,PC O-34:4,Plasmenyl-PC,16.709508543563384,16.61930824914751,12.294101932660853,14.873074449535816,17.560604179122922,16.03330280492528,16.876531566488126,12.049931282236331,16.80757937092834,16.74154146297822,16.954541305441442,17.21239376222179,15.138031902974504,15.967883576619817,17.049993746294817,18.136883108608384,14.604495634213725,16.043871094359858,16.327740038241643,15.242334142187762,Phospholipid,0.0002312684964866962,3.1546843558775066,14.424484267514414,16.79017402154997,-2.3656897540355555,-0.05659394423924269,34.0,4.0,34:4,True,lipid,True,dl_220
dl_223,PC 14:0_20:4,PC,19.344149465853295,20.35214156773421,19.028676933137568,18.870193796432968,20.40498836482807,20.32518276624017,20.12384326820595,18.470817351957546,20.152132776568834,20.070874850500104,20.02969473264706,19.73034085856075,19.06724549703636,18.601102556395027,19.886991356104787,19.40703657227489,19.46453548669766,19.35100220638183,19.42753372844364,19.496115986162977,Phospholipid,5.69897951472839e-05,3.7108257253117856,18.979081975434134,19.903925099548058,-0.9248431241139237,0.44752108857678863,34.0,4.0,34:4,False,lipid,True,dl_223
dl_224,PC 18:2_22:6,PC,21.94912609773512,21.895346743270007,21.135655359360033,21.17382276159653,21.683565845438736,21.43621572366318,21.785981196469816,20.9637867570273,21.433373461693627,21.267114318363667,21.56388263154745,21.504077150562022,21.579713329342034,21.265270087272174,21.23253727528107,21.89357672361292,21.1307219248321,21.251014170939026,22.217341660514784,21.329200329795196,Phospholipid,0.004038970209651965,2.0940501936834015,21.21428348433846,21.630103012149814,-0.41581952781135456,0.012381664776452084,40.0,8.0,40:8,False,lipid,True,dl_224
dl_227,SM d36:3,SM,17.703939493065974,17.350542752733073,17.457827898733694,17.224042436957042,17.339159874473694,17.560085414833136,17.69313699780389,17.19541129171984,17.612198849151238,17.25961730185403,17.34512252952309,17.197271303890155,17.736936682079445,17.71740215429199,17.160500809039398,17.668674665450588,17.35454198639998,17.260610089350717,17.593631614658115,17.07593851546905,Sphingolipid,0.9493759446589012,0.019847427308574337,17.42096750564753,17.427678470918877,-0.0067109652713490675,0.16247876279232543,36.0,3.0,36:3,True,lipid,True,dl_227
dl_228,PI 17:0_18:2,PI,17.688816477688142,17.817834479405118,19.54010209429529,19.260008811415535,17.940651371482804,17.949083810555923,18.258922845165337,19.557154216990245,17.71050861778859,17.860927451749575,18.142431192388585,17.76185068615097,19.18387682109035,19.293912499982632,17.965841730395088,17.874714674334005,19.48545405972719,19.580525736885694,17.932267007416957,17.484625539771102,Phospholipid,9.275853581118824e-13,10.007342996090502,19.41443346291242,17.876036606484014,1.538396856428406,0.029246535947997643,35.0,2.0,35:2,False,lipid,True,dl_228
dl_230,PC 30:1,PC,15.826791529849869,16.955301427532465,16.032748516247867,15.83487952036909,17.638777794438077,17.27212680962262,17.347460000940565,15.532100825291273,16.796801685830104,16.92505028007942,17.135521853817483,16.717243399651096,15.320149431659866,15.292988020305854,16.904727117787886,16.20259062027938,15.765261458517022,15.827469984002086,15.889120778413341,16.18752383327396,Phospholipid,0.00015873732337011416,3.301416086402359,15.657942536627578,16.753772087039714,-1.0958295504121356,0.45992295112373327,30.0,1.0,30:1,True,lipid,True,dl_230
dl_236,PC[OH] OH-34:2,PC[OH],16.993586614617637,16.765693414253693,17.209378909060252,17.06007586298995,16.181377779941098,16.27370829050695,16.994472929403372,17.040135636512364,16.20480375338526,16.579125177906764,17.059872525596113,16.305339180812336,17.511505240616188,17.251696068666913,16.62184867442526,16.58929449634755,17.319320736973218,17.101239075895293,16.81439141857509,15.508247998856817,Phospholipid,0.0008845474259457718,2.65398381421503,17.21333593295917,16.530135558048304,0.6832003749108644,0.08722970709039402,,,,,lipid,True,dl_236
dl_238,PC 15:1_18:2,PC,17.32525116764241,17.396098804371942,20.194901874211933,19.93344550596552,17.165064806077734,17.357945373516895,17.37996046223236,19.94571838789812,17.359254787685696,17.04954489654121,17.022284272584564,16.482110112665357,19.92951459272079,19.863228108939563,15.904895231956228,17.375666670074587,20.464225032034783,20.23549265597525,17.300539571745404,17.066948019427887,Phospholipid,1.8469721095433226e-12,9.971259628080581,20.080932308249423,17.091197244347867,2.9897350639015556,0.4317051104578873,33.0,3.0,33:3,False,lipid,True,dl_238
dl_240,SM d33:1,SM,20.32379366106262,20.371040933249258,20.157428049888292,20.330600046174016,20.5393727672833,20.377358767865886,20.695038658658316,20.141115220185714,20.563352929885653,20.233049470103495,20.76587760179671,20.431235889639304,20.447796989404967,20.322435899718847,20.437758097896662,20.50481611750586,20.36597495565273,20.411702896612365,20.619649174579923,20.075675133972453,Sphingolipid,0.08172616510898965,0.9466218317769287,20.31100772251956,20.456770707961496,-0.14576298544193733,-0.029215261406790205,33.0,1.0,33:1,True,lipid,True,dl_240
dl_244,PC 14:0_18:2,PC,22.40927214437604,22.722956229946007,22.300755784958447,22.02988875713705,23.20682414047445,22.919030684192855,22.986243212101662,22.067762965708024,22.94338845589686,22.904821443513566,22.878089039061177,22.540936822039313,22.118769086077325,22.093091684480186,22.747825632473667,22.567940356737314,22.35447473593394,22.35126440215102,22.31535981868373,22.54989437211138,Phospholipid,5.0922617771654624e-05,3.7408267557652826,22.188001059492283,22.745583257816,-0.5575821983237184,0.2703546565538737,32.0,2.0,32:2,False,lipid,True,dl_244
dl_246,PC 15:0_22:6,PC,19.94428200706156,19.86354784316933,19.58357084413453,19.679850515032676,19.83624081776561,19.861992842041644,19.368576004244513,19.279569364264844,19.277295173141187,19.846119088582093,19.684185088070365,19.386648268309532,20.101559645968614,19.535436146907763,19.87061606027758,20.09434924948449,19.300929329748698,19.68865939623088,19.702242190447294,19.292681974837368,Phospholipid,0.4515620354571084,0.3013286795542652,19.595653606041143,19.694521277494815,-0.09886767145367159,0.04222054371545525,37.0,6.0,37:6,False,lipid,True,dl_246
dl_248,PI 16:0_18:1,PI,20.234925204801424,20.001857417563965,19.85190497074928,19.84087510444059,20.160123926939118,20.136392724955467,20.24850990249231,20.015866842045515,20.13021761923442,19.812288277570968,20.334572658557548,20.15450807476598,19.761940261384183,19.85354845076556,20.295139091763716,20.130068536478227,20.163585474038914,20.185118929397305,20.57245171365939,19.953705166129996,Phospholipid,0.022114024161251734,1.4432934140001885,19.95326286183162,20.16652002422404,-0.21325716239241999,-0.1366006249556655,34.0,1.0,34:1,False,lipid,True,dl_248
dl_249,PC O-36:5,Plasmenyl-PC,19.613155671347222,19.43516331721602,15.892770864775436,16.394391917012797,19.914729909318698,19.05341890380184,19.892155561843364,16.495545305952678,19.418570467610188,19.587121674203726,19.26810513669354,19.50498687876722,16.008569248656432,16.585850252673264,19.484544152550782,20.24317500526068,15.028284450977626,16.189432119748314,19.406002204578172,18.37834163214888,Phospholipid,1.0978115812416126e-11,9.468972193164662,16.084977737113793,19.47688234733387,-3.3919046102200774,0.17832876100122164,36.0,5.0,36:5,True,lipid,True,dl_249
dl_254,PC 18:2_20:4,PC,23.81909384006576,23.922523429721167,22.839553042396634,22.87545953802986,23.759387593941494,23.598325161208976,23.84804521376189,22.549244931403997,23.718164931214982,23.35110746083796,23.857567987880397,23.504458237744757,23.0987972081939,22.820540585755634,23.575424759098897,24.093456251701067,22.67840553050487,22.72790683336911,23.718164931214982,23.39100018796147,Phospholipid,1.687892877360556e-08,6.6975138512224515,22.798558238522,23.704363075873367,-0.9058048373513685,0.026651887983383915,38.0,6.0,38:6,False,lipid,True,dl_254
dl_256,PC 16:0_20:5,PC,24.94055735255143,25.257098900891734,23.69710331568715,23.429819436852,25.569642406504894,25.17949608276776,25.384427534037986,23.598325161208976,25.235349317501278,25.504458237744757,25.15267229469205,25.148799285544843,23.876427015131714,23.516531070045332,25.42021210917796,25.330739663143998,23.58692039793673,23.809312819273178,24.95393638235263,24.7695118112152,Phospholipid,4.651751606432421e-12,9.670976491328524,23.6449198880193,25.21899241370204,-1.574072525682741,0.1665494802169647,36.0,5.0,36:5,False,lipid,True,dl_256
dl_258,PI 18:0_20:4,PI,25.073164847707993,24.890411244567414,24.36452797660028,24.598325161208976,24.7695118112152,24.945030829130737,24.504458237744757,24.48615742100181,25.144915851057615,24.637546471006697,24.867028317129463,24.78456615693749,24.733761786266,24.702397615356663,24.702397615356663,25.45826341486615,24.480005194020215,24.480005194020215,25.23899709451642,24.609640474436812,Phospholipid,0.006008165990904177,1.9502814918484588,24.549311478353452,24.894302489667187,-0.3449910113137342,-0.09133370852663347,38.0,4.0,38:4,False,lipid,True,dl_258
dl_262,PC[OH] OH-37:3,PC[OH],19.7568738462968,20.098749955886692,19.74286207480202,19.38213912910735,20.26268704276268,20.296191420549537,20.339816327388306,19.695507661695974,19.802354854673606,19.5784957912401,20.33074369447958,19.908384162619708,19.627152066326822,19.477079719208508,20.02403171666485,19.92996060969538,19.503660700361582,19.507138307870434,19.72900440349274,19.679179052925363,Phospholipid,0.0011200735225517663,2.5727834803511325,19.562219951338957,19.979728682975026,-0.41750873163606883,0.08575928461054616,,,,,lipid,True,dl_262
dl_265,PI 18:0_22:5,PI,17.255731510378983,17.578877295736625,15.960949267283983,16.307842143143187,17.636190325752466,17.025907447834214,17.267319235720226,16.80221644436921,17.779025736451313,17.20046794337236,17.637317171774093,17.813155456255767,16.008830710928773,15.028604912490595,17.366162568850193,17.0338121273993,16.33772618196162,16.650218697818232,17.226855412094363,17.057742686020386,Phospholipid,5.3546471696092715e-06,4.512952135183229,16.156626908285087,17.37527422443387,-1.2186473161487825,0.036090452731386335,40.0,5.0,40:5,False,lipid,True,dl_265
dl_266,PC 34:3,PC,24.26069216561574,24.40405634078692,24.323885992102934,24.141021934953123,24.84804521376189,24.80439732885906,24.843260151196514,24.125340312720855,24.35110746083796,24.423421665653848,24.707672557397338,24.448844262533754,24.07724602451981,24.010519910718997,24.61526502363069,24.522529810666775,24.323885992102934,23.993344766910862,24.202097511704892,24.410540374357115,Phospholipid,0.0005323109647538477,2.839211562865175,24.142177847718504,24.52630229746173,-0.3841244497432257,0.07764845662471132,34.0,3.0,34:3,True,lipid,True,dl_266
dl_270,PC 18:2_18:2,PC,26.36952865765865,25.95393638235263,25.86230590688706,25.855193180692496,25.878767153586228,26.004103169047127,26.06085158626914,26.160387259820055,25.986851004825365,25.5314814115113,25.429819436852,25.712928282848832,26.0296006522847,26.010519910718997,25.34435009466265,26.26248544743879,26.0296006522847,25.922523429721167,26.367863689163535,25.623660944751748,Phospholipid,0.48746847019802597,0.2812196254477645,25.981447284629883,25.886663635459076,0.0947836491708074,0.17917526003523676,36.0,4.0,36:4,False,lipid,True,dl_270
dl_272,PI 36:2,PI,23.008591074444222,22.944073296410497,23.429819436852,23.213099322967903,23.041049977879236,23.018492031030952,23.135346232932417,23.563836784823685,22.62270069694001,22.70849343570082,23.052595914756072,22.912207391529353,23.251865416727618,23.36452797660028,23.085276806003723,23.39100018796147,23.609640474436812,23.44253048860155,23.429819436852,22.734554508999796,Phospholipid,0.0007141172286441734,2.733147141857589,23.41075998585855,23.006476999341583,0.4042829865169679,-0.17537379168304312,36.0,2.0,36:2,True,lipid,True,dl_272
dl_275,PC 38:7,PC,22.91497684757803,22.710898879994094,22.64409484431003,22.44840516232316,22.593488828860814,22.71092233626759,22.650903663590054,22.78409961477253,22.63013296078976,22.094384822094888,22.5685042112503,22.50011154899193,22.62478823543409,22.740029315307346,22.14361854751569,22.91513947528501,22.630779647204523,22.626736889124793,22.877424840143124,22.433276311014502,Phospholipid,0.6543743106791281,0.16496132913727804,22.64270481549664,22.595675636413525,0.04702917908311477,0.042088702277318646,38.0,7.0,38:7,True,lipid,True,dl_275
dl_280,PC 35:4,PC,19.83056254633329,20.247342193159216,19.876308667464905,19.89649616020662,20.090998512564752,20.08099776606847,19.685138725241167,19.44036222062889,20.206828614734018,20.245272234906327,19.964431314045402,19.728835137125444,20.08714044969143,19.64581598692773,20.064969712375692,20.35762945238407,19.93917647326684,19.720983103187688,20.144500423250246,19.09916326332918,Phospholipid,0.2174483773437767,0.5711121443706301,19.800897580196303,19.980513068885948,-0.17961548868964528,0.16205091524935966,35.0,4.0,35:4,True,lipid,True,dl_280
