new_index,1102_8_RBG,1093_9_RBG,1060_8_FBG,1060_8_RBG,1060_9_FBG,1060_9_RBG,1060_10_FBG,1060_10_RBG,1062_8_FBG,1062_8_RBG,1062_9_FBG,1062_9_RBG,1062_10_FBG,1062_10_RBG,1074_8_FBG,1074_8_RBG,1074_9_FBG,1074_9_RBG,1074_10_FBG,1074_10_RBG,1076_8_FBG,1076_8_RBG,1076_9_FBG,1076_9_RBG,1076_10_FBG,1076_10_RBG,1082_8_FBG,1082_8_RBG,1082_9_FBG,1082_9_RBG,1082_10_FBG,1082_10_RBG,1091_8_FBG,1091_8_RBG,1091_9_FBG,1091_9_RBG,1091_10_FBG,1091_10_RBG,1092_10_FBG,1092_8_FBG,1092_8_RBG,1092_9_FBG,1092_9_RBG,1092_10_RBG,1093_8_FBG,1093_8_RBG,1093_9_FBG,1093_10_FBG,1093_10_RBG,1101_8_FBG,1101_8_RBG,1101_9_FBG,1101_9_RBG,1101_10_FBG,1101_10_RBG,1102_8_FBG,1102_9_FBG,1102_9_RBG,1102_10_FBG,1102_10_RBG
m_0,30.624452728993997,30.64418714704079,30.560701789361108,30.61013371450237,30.606110154287684,30.996475145422718,29.787912851232342,30.636810729200906,30.57248896618681,30.636650071158783,30.573387629235196,30.660279755349542,30.714782659521482,30.65386965211576,30.73028074745968,30.490011617405646,30.497880998063224,30.580170048650142,30.63270798958691,29.84123158217901,30.50846497675997,30.69187881388695,30.988975852454548,30.64544375460597,29.16379500138323,30.576996315085076,30.542862247384235,30.713014874741095,30.75826437240803,30.625206981815165,30.60433611209448,30.683638928643497,30.608200493387347,30.672322532306598,31.075634369267362,30.63400454588897,30.7008925203911,30.415063031086692,30.6827735644433,30.734501133121757,30.63169706353772,30.60147225407461,30.57791388703127,30.79492635997423,30.672096571478797,30.766149274185658,29.753802066386445,30.558239923084983,30.656928586037694,30.71736697307524,30.612707458948783,30.672859262283378,30.606863047657647,30.648334097882227,30.75978360128422,30.588007060374387,30.70474730946831,30.58557874237008,30.69912255264473,30.458962864362604
m_1,29.68955976070681,29.774822072959267,29.945500350235246,29.309066666775244,30.08262673767877,29.431175302311125,30.0966432020639,29.27048664227118,30.703657983588183,30.10921164917026,30.286799603196098,29.755386413675357,30.369291807221757,29.39986319748321,30.340203483717094,29.706219302460667,30.13029822950065,29.614008649642756,30.36685212575108,29.785282843576606,30.21032684622611,30.51950593003234,29.712771341716987,30.447279031677866,30.152273742279927,30.00240166431918,29.907599173541144,29.72405997001126,29.84994600844452,30.40546960524056,30.081203672418123,29.84473907363471,30.139447449180963,29.66471681965559,30.736789439049957,29.53911709676025,30.505310056197438,29.352338744860877,30.124328667319965,29.88861068090251,29.260528948142394,30.02680073566797,29.114748298829088,29.010637464233813,30.2004439848774,29.407518687551264,30.603358776182557,30.01203398708861,29.416944857808723,29.719109900386503,29.830916564429973,30.04482794290172,29.781464946808747,29.816130840068585,29.925683037904992,30.31428781603273,30.159519617048904,30.126518895627402,30.203473107567312,29.57394080467293
m_2,29.931632787548555,29.942530591919457,29.528340842293982,29.82794612312978,29.599444389830364,30.018238617501616,29.253402134383055,29.673409445063054,29.56962109128866,30.189935236072078,29.86514999706348,29.784137314506303,29.327569675964664,29.65322826982792,30.02918616411881,29.75660396534559,29.847045921468286,29.807311161176184,29.660020670474125,29.895200961875393,29.815852734891653,30.044744180143308,29.9214618077135,30.04873352702164,29.735453691230436,30.05023467475749,29.64111603177875,29.910001632561166,29.571813941970742,29.82107705337583,29.609037673057248,29.771151866548532,29.10211572531945,29.774392574064624,30.704673465050206,29.652894080498243,29.420632520823897,29.68427083745658,29.57738967993119,29.320894669993297,29.70949509417614,29.533098308187416,29.48369282133951,29.59359730681821,29.581699673299475,29.968890070501104,30.04303240361494,29.745628219334343,29.886091403615183,29.74411987160636,29.933457474059082,29.62083945111751,29.637644630524147,29.693668068122584,29.755496929148283,29.73790962117369,30.09048887307047,29.75228135955611,29.74429820719654,29.673058159343586
m_3,28.97882599954922,29.12899679394481,29.839307827841093,28.459047191671278,30.235353142235986,28.625994696409688,30.252207666069875,28.26549013836282,30.641931064118292,29.49276869436749,30.180122733579857,29.130425578779143,30.15110730415409,28.549249414647687,29.601981204039703,28.803869757805217,30.12904110675133,28.75094731247053,30.58793872267367,28.863674120650167,29.36434282762299,29.93262723730322,29.499334626628514,29.904612877586125,29.70137024563944,29.319623289536008,30.184742059062405,29.119539937259187,29.98359063471433,29.789927508194346,30.257619367841436,28.9974260411207,30.037028671750882,28.84418980994816,30.385210765736232,29.072224098784062,30.63689677859006,28.424782663513668,30.3156003941402,29.98936127305689,28.77987121906165,29.949211401272674,28.588430617723777,28.319688790948707,30.126848800601994,28.537791578214282,30.624242200433034,29.842889851842486,28.685023828601608,29.726343610328,29.10452022036836,29.974868332450427,28.941815477384072,29.634254473596393,28.991866514086666,30.068836298704895,29.8693041039588,29.589191672851904,29.923218468033653,28.952126699183587
m_4,24.596730993349585,26.20137107952763,17.148994384787652,17.43124392853705,19.169209670798487,26.31293296065575,27.209157652525104,25.956117895109635,21.774699274824304,26.822242714179826,23.18969306247276,27.438914619375524,27.901314650943025,27.497490678992538,23.781929787781653,27.053598578409755,24.75563415237162,27.50347509790513,27.816762409914002,27.14886107093341,22.79561051989237,25.743135485023526,16.67449868000074,20.56502528620965,26.700628551993606,24.249346379127633,18.3488562898046,17.976799729636145,26.585272401669016,26.603439133659336,26.977695058276744,26.037809763656533,27.51851347770974,23.314629220274746,27.787452698442742,27.13148455005834,27.163433202141604,26.91256360628145,22.471184682856745,25.465602826723547,17.121551000522295,26.869224783445762,25.867137330544352,24.795886089590073,27.40571826955199,24.519749623550876,27.05166726926771,26.756463432837307,26.188411524664772,17.575513241927506,25.68432112358867,26.709747669804994,27.7297516586666,27.103362386166825,26.606978794130015,19.18045340721034,24.860989491496472,27.789178333646362,26.47145175381633,25.842126784557607
m_5,30.066360702410766,29.80766866736871,27.075392622947668,29.295560728063673,27.794790317256012,30.211205806909962,28.37513547072194,29.741926729491723,27.427680885321468,30.156755205757648,28.241485679770292,30.05035668231721,28.733230614804228,29.910382671408108,28.989022368091643,29.594174951589192,28.391884003986796,29.73460543615663,28.82759120198355,30.039850466983783,27.927006394892423,29.701524589295268,27.615388367380476,29.481446587689007,28.721318570049565,29.998669861688228,26.77977887752185,29.368698177629827,28.39215275842051,29.939036871755654,28.204534452129387,29.70401140509387,27.46671538870073,29.47222345194384,30.372826653774297,29.766838342455433,28.470314042616522,29.678220138816297,28.355427830889838,28.222140063096287,29.552759926410403,28.680519213174684,29.644308614125443,29.63290709081638,28.293273162985063,29.56846962724998,28.906704356474204,28.518437539203294,29.792770038131433,26.92314582856396,29.9937846934709,28.57401072113654,30.012101402333244,28.48157785712357,29.888895314619827,28.120902396026832,28.69019186287381,30.118773983758604,28.965412268221687,29.747247374872863
m_6,29.242583288216093,29.3011462152113,30.003016343961278,29.11344110241487,29.90826723156122,29.21293346411813,29.96832457510404,29.297766394506063,30.34955106644311,29.559986957557594,30.04742234429421,29.22348114584884,29.7879561821185,29.139509150654295,29.915394133825604,29.626779948993576,29.928159522406308,29.24609995471836,30.033770485423496,29.643495064082032,29.749172206273453,29.676637462892547,29.5660273785265,29.51093068768196,29.80301237687802,29.340098009849836,30.014745747390766,29.540253248345785,29.513550181198973,29.590774340292775,29.89121322428224,29.068536917393324,29.98177892853919,29.311466395908162,30.15676368244161,29.16586661073484,30.18847528022381,29.033621832600968,29.969549086139025,29.725935021223155,29.217990389388458,29.69522487872525,29.046819029631276,28.90203284818235,29.934323242175825,29.15730191460224,30.22847426329915,29.725418360891826,29.130352361719616,29.776837485216355,29.46796105116297,29.729036316549394,29.22306219216516,29.65093888257785,29.40136159057965,30.1795388468895,29.665046025791295,29.435396113270933,29.740983748670633,29.00769730035789
m_7,29.09603047910825,29.0546377364467,28.924166329800418,28.84876244332475,28.987013836042138,29.41695553404626,29.158594493234034,28.951929908229626,28.81307952279521,29.064005217933943,28.776304019528848,29.04182864778082,29.133859207310028,29.04339937776266,28.922817782634596,28.9211917842698,28.799079651034244,29.009204604242115,28.97364825865009,29.01868903698337,28.75087554692448,29.013047260830177,29.420762054122537,29.011228857927374,29.04734959681929,28.949221169150228,28.882075007692592,29.166201756879776,29.133837657148728,28.971661650357117,28.981537541764506,29.15724273649835,28.955412616662407,29.012075370103897,29.752662882972185,29.050302585142354,28.97754430758465,28.81057639294551,29.07656531765477,29.191423213715826,28.962902488138067,29.128063536077686,28.993619559026413,29.226647110346523,29.06140647196237,29.114852181593434,29.137347554171562,29.028137747046816,29.043613082511442,29.15933955622156,28.963588875937322,29.04137899074027,29.033515221726407,29.024045213549716,29.20396274867791,28.93763455158629,29.02883953206149,29.043781304157037,29.018782223953203,28.88331201023613
m_8,29.09080633686618,28.74329895594823,28.56251092038856,28.995708131558374,28.70542517008968,29.331185395167758,28.380032206209172,28.645279272192216,28.671018992957872,29.24769179513302,28.88670768372671,29.039165861231076,28.59011827620461,28.872885049004047,29.081725455080633,28.691380455756224,28.86956912459043,29.024310759512566,28.88075838294322,28.794297951465587,28.94409367695802,29.204708270285067,29.016118602047303,29.461142986375854,28.892165825720266,29.277498170218056,28.78794177868476,29.030682129373194,28.558227933110278,29.165713302785754,28.70431901743807,28.950727309576195,28.808009598971765,28.753237286830267,29.96278565511822,28.511491713736174,28.105805132494744,28.370444748081294,28.541233786438173,28.359681098608593,28.552437380948337,28.275065417106408,28.339876039973714,28.378984335616863,28.54113191859275,28.674075320928996,28.609728141561206,28.35582515458605,28.603652109083583,28.700800500895767,29.021682283972126,28.48807455808812,28.957712322563566,28.51392932940163,28.759119020977664,28.801987042785026,28.998769873924193,29.097844441703483,28.756487021036993,28.944814247264393
m_9,22.65991030815433,22.576266421198934,27.506895822357396,22.512900907301397,27.900257021787972,22.829664234531233,27.560226004383992,22.77530211340744,26.901321022814813,23.578358465407696,26.090724497855387,22.698556953372133,27.221196576412495,22.72408577305046,22.09671271242455,22.27560453959029,26.61504581416608,23.106116696917347,25.823076586847876,22.466582974320993,27.488505223933096,22.266849056758264,27.421606167287575,22.24866661457684,27.170731911345527,23.14794044428982,27.200787618216875,22.275067452796172,27.145167715459145,22.77397795121258,27.005621812458795,22.50766533925378,25.344593078907266,21.88782412295013,26.766381101625335,21.836016703737805,26.14971947373114,21.930009903017474,26.512601679365122,26.148465237376143,21.460304407056967,26.478904930150076,22.618105237050205,21.918719224675517,25.575497514106498,22.105705131982333,26.578356332827216,26.13248363290639,22.39700423481749,26.677754849818857,21.6524015087233,26.715387817638938,22.33551867827916,27.187725999389937,22.074103410024083,26.99467358420073,26.71047169742125,21.678796476078883,27.041736646831094,22.257831764691076
