unique_id,ID,m/z,RT,molec_class,Type,polarity,lc_type,superclass,1091_8_FBG,1091_9_FBG,1091_10_FBG,1093_8_FBG,1093_9_FBG,1093_10_FBG,1060_8_FBG,1060_9_FBG,1060_10_FBG,1062_8_FBG,1062_9_FBG,1062_10_FBG,1074_8_FBG,1074_9_FBG,1074_10_FBG,1092_8_FBG,1092_9_FBG,1092_10_FBG,1102_8_FBG,1102_9_FBG,1102_10_FBG,1076_8_FBG,1076_9_FBG,1076_10_FBG,1082_8_FBG,1082_9_FBG,1082_10_FBG,1101_8_FBG,1101_9_FBG,1101_10_FBG,1091_8_RBG,1091_9_RBG,1091_10_RBG,1093_8_RBG,1093_9_RBG,1093_10_RBG,1060_8_RBG,1060_9_RBG,1060_10_RBG,1062_8_RBG,1062_9_RBG,1062_10_RBG,1074_8_RBG,1074_9_RBG,1074_10_RBG,1092_8_RBG,1092_9_RBG,1092_10_RBG,1102_8_RBG,1102_9_RBG,1102_10_RBG,1076_8_RBG,1076_9_RBG,1076_10_RBG,1082_8_RBG,1082_9_RBG,1082_10_RBG,1101_8_RBG,1101_9_RBG,1101_10_RBG,i,qval_sampling,qval_ogtt,qval_sampling:ogtt,pval_sampling,pval_ogtt,pval_sampling:ogtt,qval_fed,qval_fasted,pval_fed,pval_fasted
Unidentified_2.353_141.0659,Unidentified,141.06591,2.353,Unidentified,metabolite,-,HILIC,Unidentified,18.724636371679512,18.448027744229087,17.600816057911377,16.451617620026873,18.286166155261512,18.054307081757486,17.594730387215137,21.809715511310866,18.74810905734689,18.098241608586665,17.286972218805705,16.945272860574715,18.55953243225715,17.45301563239559,17.750562916239886,16.602443669822506,16.442975264165852,17.315460898190288,16.88190268661549,16.58968331788686,18.13210522190413,21.90187629548677,20.548707479764133,21.558434150837396,22.554976783477887,20.891494041395934,21.819203555191173,16.743093444995985,17.07916428880279,17.71389019415781,18.483469949768182,17.174148744569404,18.043882120893972,17.8950281431653,16.671316628797936,17.65061957637282,20.826955792933255,22.730565218443928,18.990099249290505,18.060936066434383,17.723165422135374,17.526615828331558,17.69831138966261,16.696934394383963,16.41632797605994,17.611307780410492,18.30741535955798,18.14863703931468,16.86165155169289,18.47949290678034,16.8586987463221,20.476227367270116,24.127187359373778,22.892081020066,21.333627851771848,21.5604525856013,23.111065585416824,16.808716882863038,16.351314012108762,17.433975679819625,m_0,0.6107470304133517,0.00022270360754981068,0.6259912295015192,0.5498881390435406,2.8015012115806576e-05,0.5202584352606265,0.005187967434973134,0.04707574729211314,0.0017745415113264993,0.0058886270464339405
Unidentified_11.539_180.0585,Unidentified,180.0585,11.539,Unidentified,metabolite,-,HILIC,Unidentified,20.779580087901397,22.377215778993648,20.57568917232719,20.902140845667656,20.87746005926125,20.41520431590112,20.198770986322312,20.524660550714543,20.303968969873484,21.019047570026302,20.64149182972145,20.195652895453847,21.741209592323788,20.56065847683164,20.632456080221893,20.499642301937214,20.893369465959907,20.86270390639795,20.786095189389503,20.395096610779746,20.757074835495615,21.717658006670767,20.5972569379433,21.05591383391204,20.974648922028084,21.096712150800716,20.719048648678523,20.07430412454738,20.607768023067063,20.527784096260227,21.265690874611533,20.949612290498163,20.658228694373133,20.85760528941742,20.96339921309027,20.627156198590903,21.959742862323477,21.240594198071985,22.02088996156609,22.27148156011039,22.089675758544875,21.549127246118836,21.94103764918047,21.4771212603434,22.006401120251994,20.89689955290702,20.824423368612607,20.583634676352247,22.144573201796128,22.03917071824897,21.800102461709326,22.27493741956736,22.197110283502226,22.41614583569658,22.031388699288122,22.334902032333208,22.023136140593987,22.170021994868122,22.0089267238864,22.009660757980647,m_1,2.7045230512144253e-10,0.0027455194256793877,0.00013079803834382728,6.116235875537923e-11,0.0006111933703809237,2.773103286441568e-06,1.3968774102461475e-06,0.5633456703388232,3.1590160514400507e-08,0.3376092780546446
Urocanic acid_11.365_139.0503,Urocanic acid,139.05028,11.365,Nitrogen heterocycle,metabolite,+,HILIC,Nitrogen heterocycle,24.180858724359275,23.02506704968686,23.583079541490466,23.548336661976414,22.368787946655,22.70441240680448,23.895234939949454,24.263211017622588,23.08438703005695,24.8733474143359,24.131393180132974,22.784459407532875,23.535359535633177,22.423150827522736,22.803735497255676,23.481692438883705,22.430797573142666,23.023717024382915,23.664395541065964,22.858646710890987,24.12862302576972,23.526511172794287,21.831178123124655,21.7493885049454,24.120236592512004,23.504339719722346,24.15757380595208,23.190846627639974,22.48320458588868,23.313010683546075,23.697299376289255,23.013379141253363,23.900879972897574,22.890780890271106,23.843258836953456,22.99829939139842,23.75478832464048,19.532127527743953,23.52825855911149,23.321162172566076,22.090238123611957,23.82408204521877,22.736131526599188,22.38523935764653,23.10305912411703,22.90898748113987,23.219226889482076,22.912440059677667,22.576980900498995,23.627151156858343,20.87528563479743,23.197122013801355,23.9327883066668,22.070212306918236,23.062689316119602,23.659397915635413,23.628473557301298,22.30325755047011,23.273040466268142,22.863585094689928,m_2,0.18397605189659796,0.6556518833700505,0.6824644622992049,0.1411999946004985,0.5348447631625266,0.5825357715470512,0.5594162878341185,0.9807671683171548,0.4526725438657707,0.955407280190854
Uridine_7.513_243.0615,Uridine,243.06152,7.513,Nitrogen heterocycle,metabolite,-,HILIC,Nitrogen heterocycle,24.88768000360124,24.944839964478174,24.713249593483763,24.647221982933605,24.5267252872692,24.404734777549514,24.71490970811514,24.520405422754852,24.792383759418062,24.787383764206645,24.40845439136383,23.860085374597386,24.340011998898476,24.598038223231917,24.425860384903434,24.698938958067558,24.40557543815496,24.56556426869037,25.01902322919747,24.646051352066525,24.693756152396226,24.44709695794876,23.68936535393977,23.835635284072627,24.588786610268407,24.03997996790737,24.41955854562154,24.794462800054937,24.319362435483654,24.737901856220503,24.341009421846742,23.825237959874876,23.79947117661544,23.44848738888476,24.31631007237195,24.110271206047923,24.23568231225253,23.866956386144725,23.998057894111167,23.8585058153781,23.615438018777574,23.976836212977098,23.062494573999246,23.20365254220774,23.91545671799754,24.149016975680127,23.965499145463536,23.270248411939175,23.803794656734805,23.80218897888857,23.856317151218043,22.97260948141031,23.271138233245352,23.551152964025807,24.212212882202675,23.878108623702833,24.069757984776906,24.076381669561467,23.79448438509011,23.86337017020424,m_3,1.2381961260194326e-10,0.08568367198639937,0.5306325431922259,2.5638972786126766e-11,0.04002608281484804,0.41663092260534484,0.5251625090418321,0.11573829233402988,0.4126169049985803,0.029282196929740423
Uric acid_12.732_167.0201,Uric acid,167.02007,12.732,Nitrogen heterocycle,metabolite,-,HILIC,Nitrogen heterocycle,27.51851347770974,27.787452698442742,27.163433202141604,27.40571826955199,27.05166726926771,26.756463432837307,17.148994384787652,19.169209670798487,27.209157652525104,21.774699274824304,23.18969306247276,27.901314650943025,23.781929787781653,24.75563415237162,27.816762409914002,25.465602826723547,26.869224783445762,22.471184682856745,19.18045340721034,24.860989491496472,26.47145175381633,22.79561051989237,16.67449868000074,26.700628551993606,18.3488562898046,26.585272401669016,26.977695058276744,17.575513241927506,26.709747669804994,27.103362386166825,23.314629220274746,27.13148455005834,26.91256360628145,24.519749623550876,26.20137107952763,26.188411524664772,17.43124392853705,26.31293296065575,25.956117895109635,26.822242714179826,27.438914619375524,27.497490678992538,27.053598578409755,27.50347509790513,27.14886107093341,17.121551000522295,25.867137330544352,24.795886089590073,24.596730993349585,27.789178333646362,25.842126784557607,25.743135485023526,20.56502528620965,24.249346379127633,17.976799729636145,26.603439133659336,26.037809763656533,25.68432112358867,27.7297516586666,26.606978794130015,m_4,0.4040584366116698,0.040484145726879375,0.2519251115417279,0.34523438152898145,0.016250879698139566,0.15197788568112877,0.5582303053371983,0.07304055359023065,0.4510871052373686,0.013072071802371568
Tyrosine_11.137_180.0656,Tyrosine,180.06563,11.137,Amino acid,metabolite,-,HILIC,Amino acid,23.065294317626485,24.47118570054901,23.132749212564022,23.138486532573307,23.178672171490717,23.060708356310034,22.65345197055678,23.20704342813437,22.79361645448429,23.22187536751683,22.83191361892847,22.4318121984769,23.249246657242686,23.212565631441826,23.017491131528764,22.71907008115315,22.981156590999294,23.103224752365588,23.067985145816248,22.999371537419133,22.76867695427984,23.80075754074356,21.772380458790227,22.754879631808237,22.52589348166098,23.021406467041004,23.006568478135684,22.14134737211781,22.912864568049354,23.062541149891604,23.39094484249504,23.450497339137826,23.432263916353207,23.25595566951783,23.33230881586978,23.606541269794697,23.211816964722427,23.109946831355437,23.454378510924723,23.272693049446946,23.92898525748163,23.591550644913767,23.497037997649958,22.817470512438582,23.408054584728404,23.331748688029105,23.30033051216393,22.460421371541145,23.371599107652596,23.268441015000334,23.030469109427468,23.331763386322557,23.13351826506084,23.297573967230004,23.161143734000852,23.352478419861352,22.849174736860984,22.861676743705356,22.936401155715355,22.679487618963325,m_5,0.012078045355013207,0.009691264912499907,0.32342213694170374,0.007374863029492164,0.0028491633947702907,0.21553856900072554,0.18144330483789722,0.07304055359023065,0.11091763864648842,0.0129068295134768
Tryptophan_9.861_203.0817,Tryptophan,203.0817,9.861,Amino acid,metabolite,-,HILIC,Amino acid,22.58601806272298,23.747405030648014,22.7060155852381,22.63381495585357,22.559026778163915,22.793575131565152,22.08450409658316,22.450039115414352,22.563256174060427,22.352220080897652,22.45273443045532,22.154835308122255,22.863876029954916,23.06490035079566,22.609198991353264,22.049727711835416,22.73447832967548,22.669593694315797,22.394829131374422,22.648864284067724,22.734616184106347,22.688828380495057,21.32085339585498,22.604717465767806,21.750298765666013,22.706645431268406,22.868908611346782,21.609927001284554,22.98258366287853,23.116030794527187,22.895388598076522,22.87579789404456,23.19356650744659,22.664189029359058,23.054383862273074,23.038371812489427,22.667628163274262,22.595667633397742,22.9353952368172,23.005211111956744,23.112475308100304,23.091648544347144,23.027328630335283,22.53276671211902,23.16173296686673,22.852468219645317,22.95190599343072,22.1091027889478,22.84789658539566,22.889585468119222,22.936303732742836,22.972504503144293,22.79538782998255,22.858030111777463,22.87684981739301,23.169969100330345,22.638106828739613,22.70052748991263,22.721492943535516,22.594217067418047,m_6,0.0023331619700820653,0.05707586297989091,0.21455453516431364,0.0012811779863984203,0.024040434159727904,0.12387412518387492,0.5342581195810843,0.13459545731645592,0.424385955059462,0.03662137884582016
Trigonelline_9.139_138.055,Trigonelline,138.05502,9.139,Organic acid,metabolite,+,HILIC,Organic acid,21.670778838673908,23.6950604501665,22.11636498928085,22.139245063253448,22.469654515501556,22.27376210971476,21.39720620708122,21.424020424743755,21.784633528923262,21.964128625069332,21.841117542068915,21.73510937144976,23.071736356696384,21.598577426755813,21.97647033288318,22.425824648001715,22.21238466330378,22.60908647304676,21.966721023241924,21.441561983600867,21.94080248665248,22.3329341298859,20.578462641379694,22.05149882210087,21.348032475890943,21.450206594223726,21.801428262981034,20.913679051180186,21.59813736916395,21.996737659895572,23.558399766742827,23.448736004684207,23.39090057823411,23.439634243313865,23.32567286100298,23.436719961350843,22.998236920458208,22.956542019448165,23.571467299350612,23.224942875988813,23.43880937214132,23.806983019135362,23.29402776091039,23.193160432744392,23.495188551845175,23.63123438699626,23.017680129390893,22.781868743391424,23.54712331440748,23.262700967470106,23.04646338366939,22.99290452225888,23.035823842235235,23.355264127612166,23.230774292148237,23.349723368525922,22.949177097583867,23.157490291840592,23.399636252922342,22.76212176384846,m_7,9.278272554184039e-18,0.0004474797520031731,0.04664498517183614,6.111945558329713e-19,6.324802148454743e-05,0.01730644326163532,0.08063678998399991,0.012987975553045593,0.041885541087095364,0.00077101763000412
Indole-3-acrylic acid_9.866_188.0707,Indole-3-acrylic acid,188.07065,9.866,Organic acid,metabolite,+,HILIC,Organic acid,22.69003370216581,23.979611704860556,22.690579724883555,22.66573875756056,22.629048031274618,22.923587229709696,22.06535503176007,22.534741711150453,22.664376453074148,22.346725218210512,22.58866672456922,22.137143255792793,23.158194600009242,23.104235362156825,22.67155831742144,22.01307488012716,22.791216638742778,22.75228596495052,22.48173837603437,22.72101354359113,22.977016193363475,22.709921385723213,21.285450198507558,22.70233817911296,21.812043837951116,22.825359569014847,22.860676653226815,21.73884185437926,22.902585847838154,23.080771732041217,22.972200255647227,23.050197038483375,23.327800495546533,22.85416204694612,23.2450153633606,23.28536541022477,22.896178111082484,22.718984227934065,23.056140331288187,23.18062837169516,23.378611287726137,23.274696313877172,23.17139120165758,22.769844101883685,23.24897542546707,23.020423184327395,23.100061069461745,22.231594944577854,22.996483849632646,23.116265987989987,23.08602810192895,23.046029194826662,22.851104531662628,23.12230091005994,22.997141217638507,23.261313458709925,22.76763484871802,22.914504543822265,22.91238029955126,22.794755126226075,m_8,0.0001799341860354342,0.04091564168265625,0.18445989334253807,8.507135721392615e-05,0.016481919264391562,0.10050782881066916,0.4906926431206036,0.11240831541270616,0.37902972362602105,0.027982459549836962
Threonine_12.071_120.0658,Threonine,120.06577,12.071,Amino acid,metabolite,+,HILIC,Amino acid,22.292464821573674,23.396743543624734,21.771078739301533,22.337208879620096,22.27439360649896,21.87512313399417,21.67906039096684,21.849560342596117,21.631447187953746,22.09834349483473,21.916516578484345,21.286162464766914,22.671825859922638,22.15878844890309,21.74698481300841,21.963000878169954,22.16997204595614,22.11339183326666,21.884076264441106,21.851482212786685,21.72268431376901,22.312308237158415,21.06204617989469,21.416175379859446,21.72801449436343,21.770299211344458,21.579282188939327,21.585947297663402,21.9768168242761,22.048813912707605,22.68131700049183,22.603242468906895,22.419467336727116,22.327121986312193,22.410160275459088,22.60689482066531,22.468343364756134,22.285428484448605,22.47933598222605,22.833887734064902,22.965191385484747,22.709931711069615,22.492666997656777,22.420921339010896,22.589459757880036,22.82874478095333,22.5673994706221,22.114122719951784,22.784076639056487,22.817138952320327,22.45076120331506,22.80218114047912,22.789807920039532,22.955558676882156,22.87522092489034,22.997704140088555,22.3227825996792,22.754053445400658,22.8267520871935,22.60804278614624,m_9,9.127523707601008e-12,0.10219714953043517,0.0007827862246108561,1.532807866546802e-12,0.04925685934965144,3.5958377808979255e-05,0.042297524130342705,0.01313081457307015,0.019698988269891055,0.000804031375112311
