i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
l_0,0.31053101418928336,0.08624564401781311,0.29579237174699957,0.1148233686908495,-0.40967479566504184,-0.07723815500507042,0.2843201218647645,-0.37209325957689915,-0.13827107168020542,-0.12339232726483822,-0.07579457306435172,-0.3165465189508859,0.006848573378917993,0.013274199669749997,-0.04024655711047011,-0.05741394711282226,-0.02405608722285389,-0.06447908222744621,-0.011196174121703852,-0.1735731005321461,0.1072231904347927,-0.0064437506276342794,-0.03685834142164797,-0.07118917457082942,0.02715227383361899,-0.06928123449778001,0.05450237492681424,-0.05228637526008494,0.10127805858435195,-0.018388932129618132,0.03984461345394055,-0.07260868585869966,0.033483992313269414,-0.1662509854286272,-0.024878425688020997,0.19554785612016912,0.10463387900132329,0.03670643922881976,-0.0427333524308003,0.06994150684628046,-0.10927519530677353,0.0037228485705033247,0.006389260669691754,0.04520733754403736,-0.012609177718899718,0.079514858940375,-0.06741170762964739,0.17044060309659448,0.009771354468310272,-0.09138564575819992,-0.02809122397924584,-0.01677319922029481,0.09548400552919915,0.018561264320149554,-0.1720607537796376,-0.040868198187725496,0.011424433847438532,0.03227965280047539,-0.007644399931966701,5.2592811634465786e-15
l_1,-0.06834678694288036,0.1266593592649468,0.2773260156547421,0.059333880217113354,-0.43127109653146917,-0.008035498718796363,0.18190152982303873,-0.34488504259645203,-0.27453506079664464,-0.0856391986391194,-0.16586374232568873,-0.22521016224224635,0.033721786842358714,0.06519603978235887,0.010090257539400467,0.04103797339068994,0.03505249494060892,0.011413227145479859,-0.013460849038418429,-0.21370639769138333,0.14661107486727895,-0.07920734239703738,-0.21838158384835224,-0.07350011910036797,-0.08034325215358393,-0.051613418050383185,0.0059777649628955706,-0.08731435725836176,0.14545217501473562,0.23272819019376753,0.11997712263789735,-0.03999503906029788,-0.13415225368649505,-0.08750539170066916,-0.012888844989151578,0.010250176524965791,-0.007120970017528031,0.149815785735423,0.048762064927265224,0.12666467073609708,0.12218694398378169,-0.12088995352269095,0.0005807372240043796,0.07135061011979044,0.11362481196994309,-0.060138141032726126,-0.01748075537135723,0.04687727628138237,-0.055660142815707025,-0.09593084816789778,-0.07096504697641037,-0.041339065724541824,0.12647067498723533,-0.01866344086792062,-0.08037332573046847,-0.008260085351834624,-0.043506740652316564,-0.046827226975418024,0.08324930003532653,-2.2894185005591796e-15
l_2,0.26580966156746827,-0.2843651462841962,0.15041077940752592,0.14685383841747082,-0.6379211406477542,0.1953778715463257,-0.06603226951194376,-0.23032926774875212,-0.11272782192316538,-0.16411131120112205,0.03179521392962763,-0.15918824267243936,-0.08370359857464642,0.05228664665975235,-0.06872604802339821,0.06845637592028143,0.1592431357974063,0.1816976307328513,0.12165415757747639,-0.17581257263324854,0.14501225040669033,-0.02016090432991531,-0.0946695058102177,-0.06703926041774555,0.018054597165586876,-0.02201863077108946,0.013958344768444424,-0.06382866073696127,-0.06888135728701703,0.1473222648198788,0.023529821575683816,-0.08408450880698767,-0.037080842931519274,-0.05777553405216811,0.009067716020919958,0.003151319251697838,0.01833212514115696,0.007477872973192018,-0.13376334684771513,0.07617086263308315,-0.09488450088387484,0.027055782106487042,0.0176033521580253,0.004088283778954813,-0.031457858158768746,0.025788352408365817,-0.006166420609019066,0.04772581236545834,-0.08388562430894164,0.01025820295580924,-0.01979959968691742,-0.002817128682193138,0.03250655059697587,0.031058075707530292,-0.00672555371369197,0.021502331156784536,0.020857496275345718,0.025851290499394636,0.03671661849215351,4.669526297212785e-16
l_3,0.3015475501526106,0.06334055054487688,0.19435477791945258,0.25283994142874733,-0.14954238697117592,0.07864115839908549,0.03102371414685042,-0.3724214370178859,-0.22588566799028517,-0.13825148074237578,0.06578787915345824,-0.3712610407513175,0.09718066507023658,0.020182047249396907,-0.26780691527782446,-0.11415380558338498,0.2239728898354974,-0.08313570589503316,0.019933629742904684,-0.14774492697240602,-0.10036361937277065,0.13411563543787186,-0.05220926154578632,-0.17617373353117372,-0.1020454094123545,-0.005595096844103589,0.12962733842874904,-0.019792332807900204,0.05418155999220183,0.17497175556986289,-0.14016954679848576,-0.04386372643237808,-0.1907137304911212,-0.05920054491282257,-0.06131366813149728,0.0814830109492098,0.04281509961523023,0.12964895003890586,0.005511834932210743,0.05071205258816226,0.0032136076206292228,-0.06342978903829911,0.0494599259040913,0.0466726850156041,-0.08184487714786215,0.023563626458632143,-0.0709235953744108,-0.040069492780445956,-0.005704506758127372,0.00927096396408459,0.07505788665973642,-0.002286134259569801,0.09025274808777169,-0.03219287673453766,-0.014315328786970815,-0.039037707873792564,-0.058916312677085136,0.04646841819934948,0.07029458731844496,2.7230012276884293e-15
l_4,0.21163298775122702,-0.13761589941010285,0.10938251901021152,-0.0009070973406410373,-0.4118571221281643,0.09206655088730581,-0.03243286107084381,-0.40796176083572155,-0.1988055888905048,-0.20504316040054033,-0.09580911003883864,-0.11193273894551557,0.02435557344565674,0.15904373161879673,-0.09219993999708205,0.015836073562563856,0.19395108277268644,0.0859880659970652,0.09945524742320826,-0.33845752501531867,-0.040373075492373,-0.18088050296913655,-0.12265377940928608,-0.17815664218813224,0.07523435965698964,0.01227124605743298,-0.0539626148049458,-0.11765940945442344,-0.00774205547821188,0.11850157934468669,0.10995298115703159,-0.06857825417361259,-0.14202301689617405,-0.13525427817959057,0.1593075780180276,0.14415956609464348,0.005937254909390227,0.07365309847084864,-0.007489034637222252,-0.03787980167327505,-0.06628948774673706,-0.02294170574976414,-0.035280019426250524,-0.0582469194512791,0.081784544805129,-0.014326665136909073,0.020903175790798822,-0.04465891428417699,-0.05538091174591621,-0.011369109391639699,-0.012551868368700942,-0.02249798276368877,-0.12491996585050405,0.07766828041329794,-0.02625980829062721,0.018699280282649392,-0.03335437699509704,0.09414912581765575,0.08206022645068486,-1.0678590000699977e-15
l_5,0.005531388060010409,-0.16382962337287335,0.22497065855104223,0.09208578550195266,-0.5931196647136775,-0.02772437063544062,-0.010347326874655562,-0.36534456798584625,-0.17043530221155642,-0.13120888208736747,-0.09544739323806148,-0.26084428815753447,0.062211634464254595,0.059400007623406414,-0.0003484383792845755,0.053155333449882096,0.14525293160606312,0.04498773945738926,0.014078170056743052,-0.30564329580035027,0.1294363525906324,-0.05958630654445533,-0.13080665773231992,-0.08511174514290913,-0.04392382082882415,-0.03948594941303436,0.007716602595527041,0.025754222097284653,0.11350451130697609,0.10855105156463389,0.11882444645102636,-0.15770204176636182,0.0210437539485293,-0.1199156373758381,-0.010166662703131291,0.09263974870869351,-0.008558572500161855,0.05311436615282184,-0.0075570379855513445,0.04246026072952108,-0.04126343622083099,-0.0360330643463203,0.04268603422751377,0.0819896445858483,0.029241838590045907,-0.055965065725397375,-0.08230004438508698,0.0009849408843793455,-0.03644897155383899,-0.05634878187002308,-0.051289956521845155,-0.08609267437546805,0.10879169318649508,-0.0026407741942701033,0.022007199830570673,-0.006892577064931153,0.012076627129985829,0.022252454441043217,0.06172654839090327,1.4488169699170575e-15
l_6,0.03054583942286527,-0.2749033357424301,0.035630501812872785,0.0839221040714942,-0.663715350252347,0.20260089953759056,0.17697631170809447,-0.1567657095972665,-0.24250876648319292,-0.18014920338909926,-0.07476977429504847,-0.09803616959690886,-0.10398456981336143,0.09324293094447189,-0.03397732142436714,0.030245463399173955,0.015142239451442531,0.18093090859164096,-0.14053727808460756,-0.21507952902662789,-0.04389655840700293,-0.06786826636879041,-0.04994343379702834,-0.06811556299690161,0.0774705372497501,-0.027380272413138975,0.10214638351756726,-0.011518793392180624,0.2043891114697349,0.013908749052877936,0.021333664648576653,0.06373837031371699,-0.1432914918128842,-0.0687809677689711,-0.039508281709347046,0.06636281786467707,0.06979798779718031,-0.02321855665813844,-0.03538251515059334,0.015691084467639005,0.09163561204454274,-0.039572818433895346,0.05629937692811042,-0.022409557547490692,0.002519761885310066,-0.033701907597731125,-0.16078684368867388,0.01502805324346783,0.014147749999597005,0.05521200939594415,0.005851892357082372,0.00048517667714829737,0.04853071811700862,0.03715235644132617,-0.005748686853341661,0.03673307702298724,-0.03875604609694179,0.011428155567465754,0.03400064713263648,-2.7657038863847376e-16
l_7,0.1620090694946107,-0.017382075443461938,0.19367210550561748,0.3234573434006873,-0.30335280924916097,0.09324009225741865,0.2159382091769803,-0.2812700202799692,-0.09653136781246582,-0.14441950770722264,0.04298682001663714,-0.40683417942436895,-0.08398061296112681,0.09007354724720995,-0.213950064610246,-0.0881509560842604,0.08574346573206512,0.0007158265610809387,0.10007068130014388,-0.23927501721899955,-0.1052706132444278,0.1641771595728371,0.08665817043675775,0.044589165094919864,0.04113712101676296,0.006040505514237901,0.03034794038708176,0.027485246977660027,-0.0048655857317669955,0.13275638083109667,-0.12241529929937266,-0.07348690192623095,-0.2272354525869388,0.008985881867408733,-0.09672156915208895,0.06378645965630263,-0.007176186686929509,-0.08133877732242781,0.0618019659781454,-0.12881626440650049,0.0658993678641904,0.037662911518643316,0.04934397160983116,0.10173428019608906,0.03959589898411303,-0.055473357572456757,-0.06629328401578861,-0.1080978678495389,-0.028451258976154907,0.07721918042062378,0.06167861808091125,0.10442314315108685,0.07816830973031567,-0.010966093460963635,0.036799888034516136,-0.16303876837683612,-0.026237269338785077,0.059143148269595984,0.02533538341260828,-1.2652529170228952e-15
l_8,0.06162323924219165,-0.3490947361383639,-0.0060901084239321146,0.1384428445550629,-0.6471943811035722,0.1473815511182748,0.13407719218971917,-0.15352449944968036,-0.21323713645271797,-0.21110641715812384,-0.034634491925866394,-0.18798054696772334,-0.0447435025787526,0.04716474210205913,-0.073295671459814,0.004697660108131564,0.054474228551999196,0.1838436161198281,-0.08941874509945517,-0.19746521751979154,-0.06158838350834365,0.020325714642350397,-0.07960897299383309,-0.07844188469557833,0.049790715621310426,-0.07374717038517346,0.16491918313350887,-0.03427369136852071,0.05122820758530605,0.019729745662,0.002242337183121085,0.05462900550648147,-0.1753787675118493,-0.06188605869898982,-0.0006490668109577447,0.015052243771598799,0.030947922748995025,-0.04654520472015102,-0.049726502500491813,0.08874782161310117,0.032175215585670304,-0.035118382052105185,0.0335072843299999,-0.027615202522624175,-0.007390286640644088,0.001689091580833046,-0.16610960132739583,-0.0057264548530267245,0.039605292072969374,0.10511131173194517,0.00663956446973541,0.014778441038215235,0.0608539487083204,0.006090950616295674,-0.02161299244142245,-0.0038472617661844963,-0.06472972355011157,-0.001491102780814454,0.09796288198497083,-3.5477795175772265e-16
l_9,-0.04720940723616507,-0.30181670261178606,0.06605826478367152,0.18679346217044082,-0.7285361993621488,0.08514427607779183,0.02311425037836204,-0.09624603694567845,-0.0763864719215647,-0.18877646383263236,0.04634741817964495,-0.24370718027313945,-0.08252715885842225,0.06450984376662695,-0.13931001082936156,0.00417613827205321,0.2434044897646794,0.10108898483982007,0.04091964306372898,-0.20659340712922764,0.004113430030964067,-0.026635919864109115,-0.08101488609703825,0.027787822858775832,0.054361851346517345,-0.017348437442835856,0.010598104204686307,-0.0068507233012157255,-0.033894831567803596,-0.014121928479607583,-0.027118303734914223,-0.10473823797266556,-0.03941155183717726,-0.1218054888581724,-0.04906214596654085,0.04423082040876261,0.027278362639706986,0.025091764292963458,-0.00451709805738814,0.041076685220309196,-0.016089046282379154,-0.07415222125344864,0.009058638910739967,0.05048911649416364,-0.03367232034415053,0.011475235358800124,-0.1082689032247507,0.0018414421940474446,0.02430286209468755,0.043411861018281706,0.055805414511316646,0.04548839228903968,0.020197788047012513,-0.0685276324206854,-0.021968028604633344,0.0670803903730565,-0.0086705846858178,-0.021595642931857548,0.03602346626839542,-2.994356358742428e-16
l_10,0.04474616022349047,-0.09263841535936117,0.3199217803316039,0.33487430760393494,-0.2984190706258648,0.03731443266321455,0.33410355170510825,-0.22230098217006872,-0.28814694914708533,-0.054636902094163914,-0.0882526836923783,-0.0695993473344373,0.18443502617176408,0.065760045435154,-0.18178364859773513,-0.10429374242713868,0.056764901708208304,-0.01033106067926705,-0.18099128110670495,-0.16189986845724771,0.1251137404499062,0.09375700462188072,-0.2277597951468495,0.031713872378947225,0.1272459062856049,-0.02213948479859197,0.06651148099857876,0.052380588947407936,0.08702092138946865,0.02335893266730988,0.07647502171311399,-0.1397750828494711,-0.11154725329798475,0.10289149092036226,0.008743275494931136,0.156935572856197,-0.03311392896912201,-0.22398558498415835,0.016300373427330588,0.05100813453817962,0.022268309700675757,-0.007798418559093955,0.025795633106449837,0.09914837521331371,-0.03524660022863301,0.06986210148431231,-0.0034480688047214565,-0.05514753145717017,-0.08853757187780216,-0.0321700915009065,-0.07102210993149383,0.0422554808986359,0.08412793904452674,0.07788448854872383,-0.03136733387936036,-0.05144723925637023,-0.07006205170618819,0.04118568425362036,0.03633714281064963,3.732625252231474e-16
