,feature_name,no_gluc_tol_pval,no_feeding_pval,no_cross_pval,no_gluc_tol_fdr_corr,no_feeding_fdr_corr,no_cross_fdr_corr,full_model_converged,no_gluc_tol_converged,no_feeding_converged,no_cross_converged,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
654,unknown_90475958_13079,,,,,,,True,True,True,True,-99.32179061229921,-107.91245764291817,-105.60297396261079,-105.16292058922953,"{'Intercept': 19.279756854449104, 'glucose_tolerance[T.impaired]': -0.40029585211022917, 'glucose_tolerance[T.normal]': -0.3874842807347783, 'bg_type[T.RBG]': 1.1383393246476248, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -1.6893714553470816, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -3.0466638187588186, 'Group Var': 0.34089570864833474}","{'Intercept': 19.00211207224704, 'bg_type[T.RBG]': -0.31567916677767965, 'Group Var': 0.5296676068464139}","{'Intercept': 19.848926516772913, 'glucose_tolerance[T.impaired]': -1.2449815797837658, 'glucose_tolerance[T.normal]': -1.9108161901141925, 'Group Var': 0.22813248888426108}","{'Intercept': 20.006766100161748, 'glucose_tolerance[T.impaired]': -1.2449815797837716, 'glucose_tolerance[T.normal]': -1.9108161901141922, 'bg_type[T.RBG]': -0.31567916677767377, 'Group Var': 0.23514297663635583}"
655,unknown_88731787_13087,,,,,,,True,True,True,True,-25.600042033017814,-27.571079304123842,-26.54894320047798,-26.380532515636716,"{'Intercept': 22.034050795126916, 'glucose_tolerance[T.impaired]': 0.027605189758777557, 'glucose_tolerance[T.normal]': -0.7668159179355573, 'bg_type[T.RBG]': 0.06067063086696181, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.09428774737979193, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': 0.15287390538338547, 'Group Var': 3.1077213738875815}","{'Intercept': 21.8944902064191, 'bg_type[T.RBG]': 0.044101538253742696, 'Group Var': 3.860181577806559}","{'Intercept': 22.06438611056031, 'glucose_tolerance[T.impaired]': -0.019538683931072318, 'glucose_tolerance[T.normal]': -0.690378965243794, 'Group Var': 2.985773292923779}","{'Intercept': 22.042335341433432, 'glucose_tolerance[T.impaired]': -0.0195386839311055, 'glucose_tolerance[T.normal]': -0.6903789652438965, 'bg_type[T.RBG]': 0.044101538253743425, 'Group Var': 3.0070803181882364}"
656,unknown_84629279_13088,,,,,,,True,True,True,True,-18.42202888524777,-20.81831833133232,-19.839165932719325,-19.571019721220082,"{'Intercept': 27.02058859233002, 'glucose_tolerance[T.impaired]': -0.13463690641546727, 'glucose_tolerance[T.normal]': -1.2420952133782919, 'bg_type[T.RBG]': -0.0849298970663991, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.00868765255518548, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': 0.2226636433870774, 'Group Var': 11.643543651528756}","{'Intercept': 26.7048510964466, 'bg_type[T.RBG]': -0.044740994666576356, 'Group Var': 14.308499326046679}","{'Intercept': 26.978123643796778, 'glucose_tolerance[T.impaired]': -0.1389807326929741, 'glucose_tolerance[T.normal]': -1.130763391684619, 'Group Var': 10.992734598486678}","{'Intercept': 27.00049414113012, 'glucose_tolerance[T.impaired]': -0.1389807326927983, 'glucose_tolerance[T.normal]': -1.1307633916847606, 'bg_type[T.RBG]': -0.044740994666576356, 'Group Var': 11.113066823729291}"
657,TG_205_226_226_1014755_13093,,,,,,,True,True,True,True,-77.32458550558316,-90.66908043040603,-132.32251066193237,-86.8499144774676,"{'Intercept': 21.998730189239087, 'glucose_tolerance[T.impaired]': -0.3854380207309594, 'glucose_tolerance[T.normal]': -0.7588982168682976, 'bg_type[T.RBG]': -2.377931015856075, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -1.8854940984529658, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -2.433466081447648, 'Group Var': 0.6270270956620476}","{'Intercept': 21.654231535499935, 'bg_type[T.RBG]': -3.807371281372087, 'Group Var': 0.9972192309050109}","{'Intercept': 20.809764681311062, 'glucose_tolerance[T.impaired]': -1.3281850699574524, 'glucose_tolerance[T.normal]': -1.9756312575921349, 'Group Var': 2.2417509125171782e-10}","{'Intercept': 22.713450321997097, 'glucose_tolerance[T.impaired]': -1.3281850699574471, 'glucose_tolerance[T.normal]': -1.9756312575921324, 'bg_type[T.RBG]': -3.8073712813720886, 'Group Var': 0.3755620468711761}"
658,SM_d431_82971637_13118,,,,,,,True,True,True,True,-15.589216218860756,-17.50021434015052,-27.217149128067987,-16.434210604035584,"{'Intercept': 22.140766947639374, 'glucose_tolerance[T.impaired]': 0.09828333552813472, 'glucose_tolerance[T.normal]': 0.29363096471561273, 'bg_type[T.RBG]': 0.45667479076772366, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.023461325641368783, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.2492744360421498, 'Group Var': 2.1604639918681437e-08}","{'Intercept': 22.248634808346566, 'bg_type[T.RBG]': 0.41855056637997073, 'Group Var': 0.030524281432152293}","{'Intercept': 22.369104343023253, 'glucose_tolerance[T.impaired]': 0.11001399834880285, 'glucose_tolerance[T.normal]': 0.16899374669452297, 'Group Var': 3.928272673698916e-10}","{'Intercept': 22.159829059833225, 'glucose_tolerance[T.impaired]': 0.11001399834881478, 'glucose_tolerance[T.normal]': 0.16899374669454018, 'bg_type[T.RBG]': 0.41855056638000127, 'Group Var': 5.766927952185862e-09}"
659,unknown_98877563_13141,,,,,,,True,True,True,True,-20.452695102170836,-28.275975854692902,-27.651574127593065,-20.957717857850625,"{'Intercept': 19.745945147081468, 'glucose_tolerance[T.impaired]': -0.297043722045313, 'glucose_tolerance[T.normal]': -0.6568380046146335, 'bg_type[T.RBG]': 0.21440025291221668, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.2047365999410756, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': 0.13174742138089474, 'Group Var': 1.2840031992579957e-10}","{'Intercept': 19.466055685135892, 'bg_type[T.RBG]': 0.3431180371589203, 'Group Var': 0.2319869569879783}","{'Intercept': 19.853145273537564, 'glucose_tolerance[T.impaired]': -0.19467542207477193, 'glucose_tolerance[T.normal]': -0.5909642939241753, 'Group Var': 2.301829510505626e-10}","{'Intercept': 19.681586254958095, 'glucose_tolerance[T.impaired]': -0.19467542207476202, 'glucose_tolerance[T.normal]': -0.5909642939241705, 'bg_type[T.RBG]': 0.34311803715894135, 'Group Var': 1.6428447010052393e-10}"
660,unknown_72963647_13209,,,,,,,True,True,True,True,-22.869594090695315,-31.34797361758065,-53.23476807837285,-28.74692310357561,"{'Intercept': 18.761165673520292, 'glucose_tolerance[T.impaired]': -0.004110807649553774, 'glucose_tolerance[T.normal]': 0.19414021978515167, 'bg_type[T.RBG]': 1.3121930379532927, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.49457282913683775, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.935444110310167, 'Group Var': 1.8157594343124818e-09}","{'Intercept': 18.797938313652544, 'bg_type[T.RBG]': 0.8778178013228475, 'Group Var': 0.022763431701501528}","{'Intercept': 19.417262192496942, 'glucose_tolerance[T.impaired]': -0.25139722221796995, 'glucose_tolerance[T.normal]': -0.2735818353699269, 'Group Var': 1.8353490256858923e-10}","{'Intercept': 18.9783532918355, 'glucose_tolerance[T.impaired]': -0.2513972222179534, 'glucose_tolerance[T.normal]': -0.2735818353699117, 'bg_type[T.RBG]': 0.8778178013228473, 'Group Var': 1.4637373967320358e-10}"
661,unknown_66664185_13211,,,,,,,True,True,True,True,-33.37609103056265,-46.8465387125397,-66.42605059081852,-42.751706040266086,"{'Intercept': 19.507793436257476, 'glucose_tolerance[T.impaired]': 0.023387680350725446, 'glucose_tolerance[T.normal]': 0.2418120950489545, 'bg_type[T.RBG]': 1.7874295970928658, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.842720804668861, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -1.4218785791431245, 'Group Var': 1.0925759539837938e-09}","{'Intercept': 19.56784969544262, 'bg_type[T.RBG]': 1.0816934789298103, 'Group Var': 0.05823170976834202}","{'Intercept': 20.401508234803913, 'glucose_tolerance[T.impaired]': -0.3979727219837147, 'glucose_tolerance[T.normal]': -0.46912719452261176, 'Group Var': 1.5476182933658626e-10}","{'Intercept': 19.860661495338988, 'glucose_tolerance[T.impaired]': -0.39797272198369676, 'glucose_tolerance[T.normal]': -0.4691271945225998, 'bg_type[T.RBG]': 1.081693478929811, 'Group Var': 1.1394682431539582e-10}"
662,unknown_89372083_13255,,,,,,,True,True,True,True,-68.0233831653181,-73.3349701703694,-79.8397336183745,-70.93774258746326,"{'Intercept': 20.266793708836133, 'glucose_tolerance[T.impaired]': -0.4421732335827118, 'glucose_tolerance[T.normal]': -0.8023376674981122, 'bg_type[T.RBG]': 1.2981333506204824, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.4621338927777438, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -1.20819477614671, 'Group Var': 0.7523153381266272}","{'Intercept': 19.88523955854517, 'bg_type[T.RBG]': 0.8254274490022712, 'Group Var': 1.1542870308600197}","{'Intercept': 20.91586038414636, 'glucose_tolerance[T.impaired]': -0.6732401799715588, 'glucose_tolerance[T.normal]': -1.4064350555714464, 'Group Var': 0.4061610826522191}","{'Intercept': 20.503146659645232, 'glucose_tolerance[T.impaired]': -0.673240179971575, 'glucose_tolerance[T.normal]': -1.4064350555714629, 'bg_type[T.RBG]': 0.825427449002268, 'Group Var': 0.6511699518668786}"
663,unknown_69760956_13262,,,,,,,False,False,False,True,-6.007123303930925,-8.368685570376854,-9.03845068120414,-8.123446470987147,"{'Intercept': 19.71475358986517, 'glucose_tolerance[T.impaired]': 0.10909593239794341, 'glucose_tolerance[T.normal]': 0.12339789115440382, 'bg_type[T.RBG]': 0.12750360244252248, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.3325683066862426, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.22878067548884595, 'Group Var': 0.027090041663029033}","{'Intercept': 19.793981134295016, 'bg_type[T.RBG]': -0.08453668599837177, 'Group Var': 0.05452107695898966}","{'Intercept': 19.778505391086448, 'glucose_tolerance[T.impaired]': -0.05718822094519846, 'glucose_tolerance[T.normal]': 0.009007553409961202, 'Group Var': 0.16318569679340225}","{'Intercept': 19.82077373408564, 'glucose_tolerance[T.impaired]': -0.057188220945191034, 'glucose_tolerance[T.normal]': 0.009007553409969863, 'bg_type[T.RBG]': -0.08453668599839456, 'Group Var': 0.1152584564563261}"
