unique_id,ID,m/z,RT,molec_class,Type,polarity,lc_type,superclass,1091_8_FBG,1091_10_FBG,1093_8_FBG,1093_9_FBG,1093_10_FBG,1060_8_FBG,1060_9_FBG,1060_10_FBG,1062_8_FBG,1062_9_FBG,1062_10_FBG,1074_8_FBG,1074_9_FBG,1074_10_FBG,1092_8_FBG,1092_9_FBG,1092_10_FBG,1102_8_FBG,1102_9_FBG,1102_10_FBG,1076_8_FBG,1076_9_FBG,1076_10_FBG,1082_8_FBG,1082_9_FBG,1082_10_FBG,1101_8_FBG,1101_9_FBG,1101_10_FBG,1091_8_RBG,1091_9_RBG,1091_10_RBG,1093_8_RBG,1093_9_RBG,1093_10_RBG,1060_8_RBG,1060_9_RBG,1060_10_RBG,1062_8_RBG,1062_9_RBG,1062_10_RBG,1074_8_RBG,1074_9_RBG,1074_10_RBG,1092_8_RBG,1092_9_RBG,1092_10_RBG,1102_8_RBG,1102_9_RBG,1102_10_RBG,1076_8_RBG,1076_9_RBG,1076_10_RBG,1082_8_RBG,1082_9_RBG,1082_10_RBG,1101_8_RBG,1101_9_RBG,1101_10_RBG,i,mean_sampling_log2fc,qval_sampling,qval_ogtt,qval_sampling:ogtt,pval_sampling,pval_ogtt,pval_sampling:ogtt,model_param_Intercept,model_param_sampling[T.RBG],model_param_ogtt,model_param_sampling[T.RBG]:ogtt,qval_fed,qval_fasted,pval_fed,coef_fed,intercept_fed,pval_fasted,coef_fasted,intercept_fasted,signif_interaction,signif_sampling,fasted_mean,fed_mean,Log2 Fold Change,Fed - Fasted slope,signif_interact,log_qval_sampling,log_qval_ogtt,log_qval_sampling:ogtt,is_id,lipid_class,extra_lipid_label,fa_carbons,fa_unsat,fa_carbon:unsat,pval_asterisks
Unidentified_9.794_160.0757,Unidentified,160.07573,9.794,Unidentified,metabolite,+,HILIC,Unidentified,20.028069961399684,19.306780905465722,20.22493671908047,19.039454103639923,17.416675909692913,15.407755981245327,14.79683946816087,19.045170768006784,14.492889182243653,14.545912386676788,18.154982210728747,14.491972671632237,14.594519965759732,19.902638981731982,16.35588740172452,19.424713249237683,14.544665362446443,14.474179329487749,15.525095799279441,19.33797238356594,14.536360477982628,15.760204010411224,18.567430301476357,14.621055210736868,19.64054728625191,18.193864786265905,15.466265385214834,18.882448346658396,19.305013253129314,14.621917737447017,19.71562439874482,19.68677720539341,15.307446630989629,20.36034852813847,19.448366234532003,14.999927057699692,19.149371996619585,17.2165273290391,18.507303039753978,20.545945015085838,19.890955569664023,19.28769148241128,20.54398198792118,20.592061381945914,14.861123800413244,20.546386103954937,15.653713978113656,15.328897436903311,19.34340583671862,19.930558458814993,19.682671526207447,14.582201907429935,15.510715249937311,14.66222060833026,18.21398477099421,16.218127536703662,19.93874891445549,19.4997321597574,19.800468314122643,m_414,1.015218172148309,0.11313478133894334,0.2000901533937171,0.7710809335920746,0.08390762703988346,0.12364048812660414,0.6293421388437799,19.13192134495496,0.047393640414443716,-4.6868276737058805e-05,2.192918784688161e-05,0.5448959637619187,0.36968333966448624,0.4377730525042527,-2.493908892937069e-05,19.179314985369494,0.15583279149423623,-4.686827667442806e-05,19.131921344954996,False,False,17.106355234459794,18.1215734066081,1.0152181721483053,2.1929187745057368e-05,False,0.946403858192144,0.6987742828380177,0.11290003547986982,False,,,,,,ns
Unidentified_11.913_298.1136,Unidentified,298.1136,11.913,Unidentified,metabolite,-,HILIC,Unidentified,20.3952637334539,20.435599390911673,20.841922435685177,19.745434386483574,20.077612857346832,18.673472042499384,20.503224250998922,19.694238712659324,20.560922808342948,19.295571917139174,19.510584327374257,21.852366220736176,19.7232899060267,20.060901665219493,18.889941215860205,19.862987798950673,20.35592399427776,19.96482069631192,19.968603082768723,19.197941944543295,21.249145056702165,19.22678827030371,19.906774104111776,20.253346335635534,20.292300580313036,20.087706312528,19.54399704446042,20.677897539424517,20.197429842151443,20.842273435290664,21.26029308250743,19.80539697396313,20.983009484391246,20.57864690060963,20.504585619910895,21.4975126764923,20.559951587992007,22.12308998513956,22.343298222859893,21.800072452768006,21.758639271487787,21.54608811494863,20.336203335041528,21.410090858377995,20.383339240431432,20.674812924706796,20.095236532690592,21.882849176515737,22.10076211146609,21.76922095475523,21.883330541147327,21.018052959449335,22.656078003138436,22.175382530905075,21.111969782666396,21.432855661063037,21.730419822058565,21.081930472646956,22.055832693902516,m_415,1.277304922613542,9.154857035445053e-10,0.05063147945868595,0.0235514003875707,2.4820123403406744e-10,0.02429161115264138,0.0036271496693419747,20.289367500123483,-0.3978145947246787,-5.860905836724967e-06,3.9384148159863495e-05,0.001263760064331808,0.770529612929472,0.00031822246899954916,3.352324228214718e-05,19.89155290539809,0.5688384946386666,-5.860905771306606e-06,20.289367500123184,True,True,20.036069257697264,21.313374180310806,1.277304922613542,3.938414805345379e-05,True,9.038348433361424,1.2955793822841812,1.6279832642245695,False,,,,,,*
Unidentified_9.029_266.0616,Unidentified,266.06156,9.029,Unidentified,metabolite,-,HILIC,Unidentified,19.148887819254462,19.340972829955223,18.768176351323635,19.193336086522613,18.845129516211916,18.429886695412254,19.40667470477882,19.314339595222723,19.543413389810077,18.96000037013213,16.26442533873168,19.967959596004377,19.220490320127855,19.13535007895282,17.371677481165335,19.35027993464494,19.384110617102873,19.089154661115266,18.249813853293233,20.048223172129354,19.879251815307402,16.129730881890353,20.135043218404768,19.122573223978808,19.63489206126331,19.320632773129784,16.45107217425403,19.286191450940024,19.52070913752758,20.383096393235785,19.72783384244533,20.94174363459828,18.677925654660555,19.43968904368383,19.66927348893759,19.69674184899255,18.293151151551776,20.81730740170676,20.19419327936321,20.315241755921143,19.927283251970294,20.74650305495989,18.124213477028544,19.95245454180435,19.095151554340603,19.57739641047979,16.27005158971698,21.249362847818574,20.348669981578915,20.30832260901658,20.03433548553362,19.993713144450666,21.40337997576237,19.613719240206716,21.173778352071967,18.98816223869127,19.829143279074053,21.08100459105668,20.334667584113998,m_416,0.9593630298629634,0.0019158051133360775,0.5922164594964858,0.38379619724008157,0.001071436784463328,0.4875593279034234,0.21954558905287844,19.204285925293146,-0.19225709473766406,-6.71163441634008e-06,2.702509635630027e-05,0.2675834832208455,0.8376760170261747,0.17946514665982896,2.031346190092525e-05,19.012028830555142,0.6786334813057515,-6.711634354008433e-06,19.204285925293,False,True,18.914220660296124,19.873583690159087,0.9593630298629634,2.7025096254933684e-05,False,2.7176486719315522,0.22751952641453166,0.4158993326902565,False,,,,,,ns
Unidentified_11.669_252.0777,Unidentified,252.0777,11.669,Unidentified,metabolite,+,HILIC,Unidentified,19.05496509842369,19.967925725066742,19.602952992059468,20.03268510591247,19.499054202292477,16.154820609642247,15.773489722800301,19.201588060296228,16.48855101727729,17.8002778992948,19.507602434813435,18.66048532114326,18.389181583054214,19.754946601101697,18.450596884508347,20.41917570691147,18.74199677584195,16.32510677303249,18.909666712881542,20.46509334449054,18.260043604203403,15.89445653286836,20.63251780176156,16.608913838258434,20.107599422031058,19.926353281995286,15.873738520160947,20.14461532605853,20.198111392835607,19.48599665588836,20.60947367121394,20.42901458587138,18.727152803501262,19.99005476713553,20.112838012584763,16.920369060518947,19.940008829184926,20.782859312228346,20.999724787063514,21.58627511385953,21.318186219779626,20.292557441705224,20.32285449824556,21.09288115719019,16.08683327598194,20.22205361347182,19.01466247809093,20.351586442362716,21.033600252321182,21.30351040590028,20.831801747721755,17.110110413497843,19.671152021542724,18.01648720313763,21.182536580415018,20.3310421242456,21.10292457407485,21.350405581061132,21.388487152936996,m_417,1.4037016252514363,0.001277454464909328,0.5211636363057626,0.32723919495378395,0.000696298814088264,0.4112233551790706,0.17859967417988634,20.149997433729418,-0.392394586877749,-3.4710262555401626e-05,4.1688748262620116e-05,0.8027679026967542,0.35716325453968345,0.7308357182730403,6.978485666505405e-06,19.75760284685095,0.14651551534700996,-3.4710262490426596e-05,20.14999743372912,False,True,18.649879734173027,20.053581359424452,1.4037016252514256,4.1688748156932e-05,False,2.8936545714210857,0.2830258943844169,0.485134684424018,False,,,,,,ns
Unidentified_14.715_467.9591,Unidentified,467.9591,14.715,Unidentified,metabolite,-,HILIC,Unidentified,19.375742832749054,19.11159192243807,18.92548023241022,19.323690402818695,18.791093371439906,17.741141058092516,17.903787408734562,19.546535976780213,19.05554451695398,18.91996021800107,19.26575733356139,19.043866322916926,19.071227705720016,19.851906198355987,18.84230610046811,19.17575874145355,19.60867230054483,19.182626094404807,18.898626921224675,19.06898315762676,18.746095519997983,18.956136284777603,18.7386797651434,17.556931098677637,18.801088044773792,18.71232203706032,18.45444570587107,18.905220011853075,20.00485548807909,19.362823784960828,19.136182552454958,19.483130752061122,18.552562223768497,19.369913926381376,19.555188588812733,18.365065963484906,21.168524059205254,19.495982453454364,19.32439179331906,18.97477250867689,19.46228807609801,19.20830009839055,18.926301316666923,19.289963544783397,19.324007941450425,18.899835623159635,19.08457451261963,19.851575123982975,19.33266412916,19.809380308813658,19.220009216256383,18.926067916859562,19.143078344835985,19.970429548778103,19.156477882584788,18.886637143038094,19.101442737761523,19.62445388354545,19.226489593130395,m_418,0.3567135261132073,0.0153475222526963,0.44168290992250264,0.20860765603178294,0.009672533541798662,0.32851929708927097,0.09285665956024677,19.580503230090095,-0.4111391092402412,-1.4564816112854567e-05,1.7827645884632606e-05,0.7411884211754993,0.22358303003940247,0.645975430236702,3.262829732253679e-06,19.169364120849103,0.0699787908072225,-1.4564816049782685e-05,19.580503230089775,False,True,18.951036992169975,19.307750518283182,0.3567135261132073,1.7827645782036364e-05,False,1.8139617282544769,0.3548894046128859,0.6806697567371889,False,,,,,,ns
Unidentified_12.773_295.886,Unidentified,295.88596,12.773,Unidentified,metabolite,-,HILIC,Unidentified,20.966023759206863,20.837040185771805,20.59152201603587,20.689165011884448,20.46031178019418,19.532387439758136,20.021887826028642,20.22946849421823,19.810454011058887,20.04016767029995,19.46626885153244,20.210977079178345,20.06751695195869,20.233152301624106,20.35883542645613,20.433962570823446,20.42286560103042,20.115668103205223,20.45455891122205,20.239114426610108,20.004445931532395,19.54718431179328,19.790048718551265,19.688029730874657,20.124560316248502,19.74441356183485,20.09378997181308,20.330333968944476,20.188141946048685,20.43768563698543,20.45587659668108,20.29688496251348,20.119329385337515,20.304760295134137,20.551773231106846,20.038425364961824,19.041500174485567,20.462102917639594,19.670936721591566,20.339696246108414,19.852442573820372,19.852971574556534,20.358518209405144,19.739079238474634,19.90789241736217,20.090618817350652,20.060109286197907,20.614580521292783,20.51144692006196,20.513036689100307,20.13808476429274,19.82955486524996,19.95922624302129,19.810634065841228,20.260383553778155,19.912377905066865,20.397752003449476,20.29232713686834,20.26896838589796,m_419,-0.02550411708826772,0.790889200688169,0.00026858679733370776,0.05008952128061454,0.7454228946159606,4.994303825509683e-05,0.01237129411331005,21.105418803288458,-0.7147869013684369,-2.1833713789708264e-05,1.5837140176144337e-05,0.30506684786581695,0.0005498969518171679,0.21239927448996906,-5.996573655819029e-06,20.39063190191871,4.683295544220024e-06,-2.183371372233158e-05,21.105418803287897,False,False,20.161803340542733,20.136299223454465,-0.02550411708826772,1.583714006651255e-05,False,0.1018843545556898,3.5709153393443005,1.300253118962931,False,,,,,,ns
Unidentified_9.046_216.0118,Unidentified,216.01175,9.046,Unidentified,metabolite,-,HILIC,Unidentified,19.86876199539116,20.475298243447664,19.98067673032087,20.520514369654645,20.137456594862474,19.484906554840588,20.19652126992521,20.284784445442828,19.81809429297062,19.600047059720527,18.977323226120383,19.524691269325018,20.005197146526086,20.49810595503487,18.633914486717323,20.6488875937834,19.798755306726445,20.14079813485091,19.9297709046605,20.51088887995705,20.101104816595313,16.843555324816684,20.08347138952668,20.581114247621823,19.949803397778133,20.350542794385284,19.190898780366126,20.904196218620005,20.270022392821915,19.460246596875187,19.50053612718247,19.003427046042333,18.131414693776936,19.729125895059116,19.246079986172752,19.81021356706741,18.94299789733978,19.759684449392893,19.688541084318576,19.998664441658942,19.83864195674069,19.27817652790244,17.66413195430516,19.336716794123966,19.09241571554214,19.679943547711535,16.768100275415744,18.893346906217413,19.76464381323573,20.093144085136096,19.38445990738257,19.747747876392257,19.9533378343406,18.34053944275155,19.95031923531639,19.215655378163415,20.028446525378634,19.834972988163113,19.16051497978252,m_420,-0.5973720417776427,0.0062712240697128455,0.7059570943169374,0.2105041311457164,0.0037208966091411915,0.6147688819921094,0.09486878869945345,20.338999394939282,-1.7186980412729447,-9.990089369027494e-06,2.624858477462555e-05,0.1972892742791552,0.6369234410377943,0.12363834576898089,1.6258495366195037e-05,18.620301353663166,0.3972354296632695,-9.990089306399377e-06,20.338999394937932,False,True,19.90724495940726,19.309872917629612,-0.5973720417776498,2.6248584672594414e-05,False,2.202647681683372,0.15122169309498312,0.6767393767110516,False,,,,,,ns
Unidentified_9.505_349.0484,Unidentified,349.0484,9.505,Unidentified,metabolite,-,HILIC,Unidentified,20.007505581718807,20.83999652389396,20.34334541134133,20.154333345063527,20.139449963048484,18.09647194888393,20.18941308740014,20.481126079264815,20.53994024577724,20.57002735563862,17.483381334686033,19.806672523169095,20.449209587803328,20.696735211765997,18.33533406767451,20.05381936718971,20.71909044389268,20.656452809322634,18.512683871122725,19.666785490314165,19.549256061649643,16.466620264550016,19.974362853783084,20.479322603779696,20.00575845528292,20.430463590927445,16.767611007931055,20.58108337603299,20.276796364950076,19.008882846023724,18.629963765578108,18.717082768456685,16.087384883016437,18.776363844564802,19.072522311467797,18.728451625854003,16.204477367170004,19.351727354716285,19.77716183578118,19.694151870004895,19.251056004006266,18.73390784919026,16.39135817466347,17.986104014690206,17.86848232106888,18.524645479997538,16.486567363296082,19.63861631896168,19.48599453475368,18.87995046906405,19.195416113862375,19.395731359795406,18.99056012536613,19.245325139263095,19.811364368101525,17.301279197458395,19.715474046800654,19.46117752608315,16.935950823000358,m_421,-1.1553156844552888,0.0005588687502530715,0.9159407033044088,0.1083361771458077,0.0002891521071217098,0.8808888446944041,0.038621398930176715,20.942475160561685,-3.2787279580646076,-2.797246607433846e-05,4.953402791975752e-05,0.2699752962613998,0.31138153836868604,0.1814525234631268,2.156156180677762e-05,17.663747202491034,0.11823216680429173,-2.7972466013225075e-05,20.9424751605591,False,True,19.733553407857197,18.578237723401905,-1.1553156844552923,4.9534027820002694e-05,False,3.2526901737479883,0.03813264102784135,0.9652264934098183,False,,,,,,ns
Unidentified_12.555_225.9147,Unidentified,225.91473,12.555,Unidentified,metabolite,-,HILIC,Unidentified,19.424340684728286,19.024981088436725,19.7175028710093,19.22295280665883,19.64001123022391,19.168480261933446,19.179642326605993,19.42365994113523,19.800421305030394,19.969837114687092,18.731208272746095,19.542425684688176,19.64314660276892,19.051736826327613,19.051485767742744,19.168274685997577,19.355893226725435,19.186469839342045,18.60600514105467,18.41304576860026,18.68675585143405,18.402054732705956,18.622624086017034,19.311198192403346,18.91643527951603,18.859871545671993,18.993053272567465,19.060855304625328,19.354484739873296,19.54897205998993,19.01808031181559,19.10308290350034,19.415100136958596,17.984285634485758,18.77944452551618,19.362978864981994,17.759656171934832,18.31200796042953,18.472318831002344,18.876093046463215,18.78637470822006,18.80774486861255,18.840149346700137,18.96283244642415,19.329779034595365,18.44305765489268,18.07359548490463,18.199791358817798,18.629272055870683,17.858074777459255,17.965690290581854,18.085922109902082,18.210385808769775,18.80064405429714,18.204104588505672,17.88457467472877,19.22323490797513,18.408575538302646,18.59267157723532,m_422,-0.5582175370751372,7.1458645903869095e-06,0.0006144628517937041,0.7698941548857137,2.961806189344184e-06,0.00013344615518017989,0.6261878647970389,19.806606799174816,-0.39580902196744816,-1.5050100775392408e-05,-4.1149645987631234e-06,0.013455506689804088,0.060069703522128835,0.005357373493953224,-1.9165065414161965e-05,19.41079777720664,0.009549761241275273,-1.5050100711547188e-05,19.80660679917451,False,True,19.156167394870938,18.5979498577958,-0.5582175370751372,-4.114964702614777e-06,False,5.1459452176612785,3.2115043678608086,0.11356897756617393,False,,,,,,ns
Unidentified_8.729_308.1078,Unidentified,308.10785,8.729,Unidentified,metabolite,+,HILIC,Unidentified,19.16079172305107,19.974301617144178,19.810545374858062,19.98687594687619,19.678426433020025,17.986871584408767,19.429797443577264,19.52506379503285,19.38664048282481,19.642704757394547,18.098152294140444,19.000158635504885,19.51176824556655,20.073323904527935,18.548092535012742,19.800196669333143,19.822369579726242,19.71936781340774,19.176269676083606,19.629709411305313,18.514751154923708,17.049276015128946,18.953011968221144,19.195123481362874,19.45216457550955,19.560133864352085,18.090913231245143,19.8852406432035,19.806125303489132,18.72306376952041,18.312187842247337,18.525638724821683,18.124245734972153,18.836552224621737,18.628104312206577,17.650037238948165,16.81187053847442,18.535823564853708,18.591600488000992,18.269121361010136,18.09318647635775,18.356939473169863,17.14087510286298,18.23516005528855,18.120218202482537,18.28309848382154,16.678700843389503,18.593834877679676,18.492898727182563,18.360820151678052,17.903440297537305,18.28396679227002,18.12054343335965,18.284351335956845,18.508043515132,17.84598283163409,18.958830560110663,18.27672944405286,17.261011263539324,m_423,-1.0972937844352515,2.275277164137102e-08,0.050131927276636845,0.32022797349028204,7.234380195411084e-09,0.023909620390276762,0.17341272673228622,20.285681365405118,-1.852986795814406,-2.3789896926087166e-05,1.7365797891469313e-05,0.5311898274745046,0.11392786729002113,0.4192214962041513,-6.424099073740055e-06,18.432694569587298,0.024257175434355103,-2.3789896863933507e-05,20.28568136540367,False,True,19.257523040008017,18.16022925557277,-1.097293784435248,1.7365797790193453e-05,False,7.642965691963569,1.2998855990071474,0.4945407329981438,False,,,,,,ns
