feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_705,4.674252282702489e-15,1.305683330612426e-15,1.4771190186106705e-06,1.3454056153711998e-12,1.3919229086220121e-14,0.00015591193330390972,-61.30016954716085,-94.29687673165145,-95.57221941335024,-72.88894340304029,"{'Intercept': 22.123536636196615, 'bg_type[T.RBG]': -4.958624036085181, 'ogtt': 0.0007951883000492073, 'ogtt:bg_type[T.RBG]': 0.0019812457785951033}","{'Intercept': 23.41797993449021, 'bg_type[T.RBG]': -1.7334630016276318}","{'Intercept': 19.644224618153682, 'ogtt': 0.001785811189347089}","{'Intercept': 20.510956118967364, 'bg_type[T.RBG]': -1.733463001627627, 'ogtt': 0.0017858111893468986}"
l_707,1.0825663792439437e-14,2.6787636398468907e-15,3.954841175513289e-06,2.670845909934701e-12,2.7053946234009244e-14,0.00021389112016431626,-57.40236590684022,-89.55922270942463,-90.95578694208817,-68.0456715431855,"{'Intercept': 22.264838644474658, 'bg_type[T.RBG]': -4.482701259293472, 'ogtt': 0.0007707772718451566, 'ogtt:bg_type[T.RBG]': 0.0017644609003565999}","{'Intercept': 23.519544572561614, 'bg_type[T.RBG]': -1.6104324049520136}","{'Intercept': 20.023488014827613, 'ogtt': 0.0016530077220238987}","{'Intercept': 20.828704217303496, 'bg_type[T.RBG]': -1.610432404952015, 'ogtt': 0.0016530077220236995}"
l_708,8.051251900180596e-12,1.5420455768640438e-10,0.00011654926621881187,5.561804812644755e-10,6.971499244094774e-10,0.001505167396553476,-73.79562569981735,-99.34081922085633,-96.3883667980729,-81.2194825107915,"{'Intercept': 23.329498826270292, 'bg_type[T.RBG]': -4.584811058784554, 'ogtt': 0.000889846148809698, 'ogtt:bg_type[T.RBG]': 0.001882831780081409}","{'Intercept': 24.778030430379644, 'bg_type[T.RBG]': -1.5198527597374363}","{'Intercept': 21.037093296877693, 'ogtt': 0.0018312620388508923}","{'Intercept': 21.797019676746302, 'bg_type[T.RBG]': -1.5198527597374314, 'ogtt': 0.0018312620388506787}"
l_709,1.118294588830865e-10,4.5851898916903445e-11,9.79838532639472e-05,4.023530739397716e-09,2.282023902867212e-10,0.0013430009094193398,-65.275094352399,-88.18914044604469,-89.08069885462874,-72.86267499825257,"{'Intercept': 20.902227876869333, 'bg_type[T.RBG]': -4.072447718441239, 'ogtt': 0.000601443653058573, 'ogtt:bg_type[T.RBG]': 0.0016538341016207581}","{'Intercept': 21.88128492028269, 'bg_type[T.RBG]': -1.3802621452879515}","{'Intercept': 18.866004017648436, 'ogtt': 0.0014283607038693975}","{'Intercept': 19.556135090292297, 'bg_type[T.RBG]': -1.3802621452879498, 'ogtt': 0.0014283607038692056}"
l_710,4.865553927469632e-11,1.7911576980362182e-12,0.0006742683155800954,2.2710301710108254e-09,1.1456775350031662e-11,0.004851922420861769,-65.56762296877687,-89.31387842284894,-92.61578191523157,-71.34705779389992,"{'Intercept': 23.191564161389444, 'bg_type[T.RBG]': -3.9389659230450125, 'ogtt': 0.0008306275505973583, 'ogtt:bg_type[T.RBG]': 0.0014279522606127195}","{'Intercept': 24.54369706649205, 'bg_type[T.RBG]': -1.6144809753673393}","{'Intercept': 21.222081199866665, 'ogtt': 0.001544603680904337}","{'Intercept': 22.029321687550212, 'bg_type[T.RBG]': -1.6144809753673357, 'ogtt': 0.0015446036809041233}"
l_711,1.637991493908755e-11,6.252686017553645e-12,1.3789254405235456e-05,1.0102897535644356e-09,3.528885213174884e-11,0.000457962353035416,-74.10920443555014,-98.94416966604115,-99.90721441724338,-83.55823639420183,"{'Intercept': 19.20497673947496, 'bg_type[T.RBG]': -5.196118262647051, 'ogtt': 0.0006246304532281833, 'ogtt:bg_type[T.RBG]': 0.0021733644528615812}","{'Intercept': 20.22177829960986, 'bg_type[T.RBG]': -1.658217804878336}","{'Intercept': 16.606917608151075, 'ogtt': 0.0017113126796590697}","{'Intercept': 17.43602651059011, 'bg_type[T.RBG]': -1.658217804878334, 'ogtt': 0.001711312679658913}"
l_712,0.0023860088055903984,0.00011074398806147565,0.23105883923437764,0.006822247031878507,0.00025810373465879683,0.3758958375779678,-95.59562271956194,-101.63375598435111,-104.70391215394369,-96.31278845397782,"{'Intercept': 18.21778976178083, 'bg_type[T.RBG]': 0.07496728390137286, 'ogtt': 0.000741693606807425, 'ogtt:bg_type[T.RBG]': 0.0007948390532380709}","{'Intercept': 19.425151991155797, 'bg_type[T.RBG]': 1.3688420625204945}","{'Intercept': 18.25527340373154, 'ogtt': 0.001139113133427634}","{'Intercept': 17.570852372471393, 'bg_type[T.RBG]': 1.3688420625204951, 'ogtt': 0.0011391131334273666}"
l_713,0.007362327143578622,0.0013880977589022685,0.0018601129750625456,0.017586084338810898,0.0027874939879351367,0.009945557609699741,-39.03881847251128,-43.950197680743294,-45.6186394604032,-43.88016742604987,"{'Intercept': 19.81883898500074, 'bg_type[T.RBG]': -1.11066846913628, 'ogtt': -0.0003644201472442816, 'ogtt:bg_type[T.RBG]': 0.000833176768121344}","{'Intercept': 19.225619470411097, 'bg_type[T.RBG]': 0.24561416696694582}","{'Intercept': 19.26350475043253, 'ogtt': 5.216823681740792e-05}","{'Intercept': 19.14069766694908, 'bg_type[T.RBG]': 0.24561416696694582, 'ogtt': 5.216823681716181e-05}"
l_714,2.7989309926854863e-05,0.0031798826765844883,0.002241310256771495,0.00017080402206246767,0.00594979131360933,0.011317961442819801,-79.71536073245704,-90.19904864147244,-85.46627170948352,-84.38566525429225,"{'Intercept': 19.963677022182722, 'bg_type[T.RBG]': -2.9984400834675333, 'ogtt': 0.00017534869563579113, 'ogtt:bg_type[T.RBG]': 0.0016095994301691947}","{'Intercept': 20.249117519630502, 'bg_type[T.RBG]': -0.3782616990632319}","{'Intercept': 18.464456980448745, 'ogtt': 0.0009801484107210085}","{'Intercept': 18.65358782998033, 'bg_type[T.RBG]': -0.37826169906323237, 'ogtt': 0.0009801484107207913}"
l_715,5.718329027193217e-06,4.709451446529455e-12,1.1572962814980068e-06,4.530070747689305e-05,2.7110742160521225e-11,0.00014276076272478984,-75.91344164354986,-87.98527556691323,-101.99489132393774,-87.73691297722273,"{'Intercept': 24.582225874071717, 'bg_type[T.RBG]': -5.793861607743313, 'ogtt': -0.001074846493902824, 'ogtt:bg_type[T.RBG]': 0.002558415047337693}","{'Intercept': 22.832542383204363, 'bg_type[T.RBG]': -1.6291584650094704}","{'Intercept': 21.685295070199658, 'ogtt': 0.00020436102976633059}","{'Intercept': 22.499874302704267, 'bg_type[T.RBG]': -1.6291584650094721, 'ogtt': 0.00020436102976610962}"
