TraceFinder Compound Database Export,,,,,,,,,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 1 CONFIRMINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment
Citric acid,XIC,eTargetCompound,,,,ESI,5000,,0,,191.018798828125,,-,1,10.124127,60,30,,,191.018798828125,111.007680644313,30,100,eAbsolute,10,0.1,191.018798828125,87.0076622581822,30,35.8793346965975,eAbsolute,10,0.1,191.018798828125,85.0283938778387,30,22.0982942479351,eAbsolute,10,0.1,191.018798828125,191.019086523225,30,15.599806493084,eAbsolute,10,0.1,191.018798828125,129.018287728196,30,7.67724972133606,eAbsolute,10,0.1,191.018798828125,57.0333191631861,30,4.03586695125928,eAbsolute,10,0.1,191.018798828125,173.008150957178,30,2.74669892868285,eAbsolute,10,0.1,111.007680644313,87.0076622581822,85.0283938778387,191.019086523225,129.018287728196,57.0333191631861,173.008150957178
Succinic acid,XIC,eTargetCompound,,,,ESI,5000,,0,,116.927337646484,,-,1,6.3137267,60,30,,,116.927337646484,73.0283629763049,30,100,eAbsolute,10,0.1,116.927337646484,117.018238046606,30,19.0697403765272,eAbsolute,10,0.1,116.927337646484,99.0076559166372,30,10.2164269174941,eAbsolute,10,0.1,116.927337646484,65.0977054390281,30,0.415322898422121,eAbsolute,10,0.1,116.927337646484,99.014521589914,30,0.395115400446875,eAbsolute,10,0.1,116.927337646484,79.7320948422334,30,0.357955076784294,eAbsolute,10,0.1,116.927337646484,116.927212012863,30,0.348728381473108,eAbsolute,10,0.1,73.0283629763049,117.018238046606,99.0076559166372,65.0977054390281,99.014521589914,79.7320948422334,116.927212012863
Acetyl CoA,XIC,eTargetCompound,,,,ESI,5000,,0,,808.116821289063,,-,1,7.8350057,60,30,,,808.116821289063,78.9579544067383,30,100,eAbsolute,10,0.1,808.116821289063,408.010681152344,30,82.7328860362719,eAbsolute,10,0.1,808.116821289063,158.924377441406,30,61.2234306868542,eAbsolute,10,0.1,808.116821289063,808.116394042969,30,47.2108843821206,eAbsolute,10,0.1,808.116821289063,461.055328369141,30,43.1723767941576,eAbsolute,10,0.1,808.116821289063,426.021392822266,30,42.3208667285434,eAbsolute,10,0.1,808.116821289063,134.046051025391,30,35.2431541582452,eAbsolute,10,0.1,78.9579544067383,408.010681152344,158.924377441406,808.116394042969,461.055328369141,426.021392822266,134.046051025391
AMP,XIC,eTargetCompound,,,,ESI,5000,,0,,346.054901123047,,-,1,7.5923346,60,30,,,346.054901123047,78.9579276747406,30,100,eAbsolute,10,0.1,346.054901123047,346.054880565832,30,59.606444152518,eAbsolute,10,0.1,346.054901123047,96.9685093559407,30,36.2540975454692,eAbsolute,10,0.1,346.054901123047,134.046095319942,30,13.3096910395793,eAbsolute,10,0.1,346.054901123047,211.000439625252,30,6.09573458393646,eAbsolute,10,0.1,346.054901123047,150.979083962039,30,5.78968633777123,eAbsolute,10,0.1,346.054901123047,217.920758733365,30,2.83245748014624,eAbsolute,10,0.1,78.9579276747406,346.054880565832,96.9685093559407,134.046095319942,211.000439625252,150.979083962039,217.920758733365
ADP,XIC,eTargetCompound,,,,ESI,5000,,0,,426.021148681641,,-,1,9.2126533,60,30,,,426.021148681641,78.957924208366,30,100,eAbsolute,10,0.1,426.021148681641,158.924233003261,30,92.6395323888095,eAbsolute,10,0.1,426.021148681641,134.046077890191,30,74.1341875555018,eAbsolute,10,0.1,426.021148681641,426.021764708443,30,64.7291716966712,eAbsolute,10,0.1,426.021148681641,328.044769898596,30,32.6710605738923,eAbsolute,10,0.1,426.021148681641,408.010513368272,30,19.2992924262114,eAbsolute,10,0.1,426.021148681641,272.956412794454,30,15.5131003044505,eAbsolute,10,0.1,78.957924208366,158.924233003261,134.046077890191,426.021764708443,328.044769898596,408.010513368272,272.956412794454
ATP,XIC,eTargetCompound,,,,ESI,5000,,0,,505.986419677734,,-,1,9.2176011,60,30,,,505.986419677734,158.9243682822,30,100,eAbsolute,10,0.1,505.986419677734,408.010937429413,30,31.150102223171,eAbsolute,10,0.1,505.986419677734,505.98748660607,30,21.9494710675336,eAbsolute,10,0.1,505.986419677734,78.957878821528,30,15.7297295898542,eAbsolute,10,0.1,505.986419677734,176.935249422399,30,13.3064537144121,eAbsolute,10,0.1,505.986419677734,272.956497387852,30,9.52344902488533,eAbsolute,10,0.1,505.986419677734,134.045978678858,30,8.41678656895848,eAbsolute,10,0.1,158.9243682822,408.010937429413,505.98748660607,78.957878821528,176.935249422399,272.956497387852,134.045978678858
Phosphoenolpyruvic acid,XIC,eTargetCompound,,,,ESI,5000,,0,,166.974060058594,,-,1,8.9127302,60,30,,,166.974060058594,78.9579162597656,30,100,eAbsolute,10,0.1,166.974060058594,166.973556518555,30,0.700714874247429,eAbsolute,10,0.1,166.974060058594,148.963241577148,30,0.458072840538709,eAbsolute,10,0.1,166.974060058594,108.766502380371,30,0.166573288967952,eAbsolute,10,0.1,166.974060058594,92.0566177368164,30,0.165287580260211,eAbsolute,10,0.1,166.974060058594,144.969039916992,30,0.160773583701252,eAbsolute,10,0.1,166.974060058594,123.793434143066,30,0.158033795434303,eAbsolute,10,0.1,78.9579162597656,166.973556518555,148.963241577148,108.766502380371,92.0566177368164,144.969039916992,123.793434143066
FAD,XIC,eTargetCompound,,,,ESI,5000,,0,,784.148498535156,,-,1,7.2088465,60,30,,,784.148498535156,96.9684753417969,30,100,eAbsolute,10,0.1,784.148498535156,78.9579086303711,30,77.4242864753986,eAbsolute,10,0.1,784.148498535156,437.085693359375,30,65.4948124970941,eAbsolute,10,0.1,784.148498535156,346.054962158203,30,61.4810495044122,eAbsolute,10,0.1,784.148498535156,180.989730834961,30,37.7188461247587,eAbsolute,10,0.1,784.148498535156,784.147521972656,30,14.3114826035491,eAbsolute,10,0.1,784.148498535156,408.010284423828,30,9.94515259575858,eAbsolute,10,0.1,96.9684753417969,78.9579086303711,437.085693359375,346.054962158203,180.989730834961,784.147521972656,408.010284423828
Adipic acid,XIC,eTargetCompound,,,,ESI,5000,,0,,145.049530029297,,-,1,6.5954625,60,30,,,145.049530029297,101.059768676758,30,100,eAbsolute,10,0.1,145.049530029297,83.0491027832031,30,98.8284525705055,eAbsolute,10,0.1,145.049530029297,101.023315429688,30,63.5727461730716,eAbsolute,10,0.1,145.049530029297,145.049255371094,30,20.836059469953,eAbsolute,10,0.1,145.049530029297,57.0334167480469,30,11.3777064569133,eAbsolute,10,0.1,145.049530029297,81.0331802368164,30,11.060784514944,eAbsolute,10,0.1,145.049530029297,55.9175148010254,30,6.70376050818056,eAbsolute,10,0.1,101.059768676758,83.0491027832031,101.023315429688,145.049255371094,57.0334167480469,81.0331802368164,55.9175148010254
Ribose-5-phosphate,XIC,eTargetCompound,,,,ESI,5000,,0,,229.011032104492,,-,1,8.155696,60,30,,,229.011032104492,96.9684753417969,30,100,eAbsolute,10,0.1,229.011032104492,78.9579162597656,30,27.1824039344649,eAbsolute,10,0.1,229.011032104492,138.979064941406,30,14.5943279145256,eAbsolute,10,0.1,229.011032104492,229.011108398438,30,3.70995937734996,eAbsolute,10,0.1,229.011032104492,71.0126571655273,30,0.901582857713183,eAbsolute,10,0.1,229.011032104492,192.990112304688,30,0.855011481679464,eAbsolute,10,0.1,229.011032104492,168.990386962891,30,0.688122475393352,eAbsolute,10,0.1,96.9684753417969,78.9579162597656,138.979064941406,229.011108398438,71.0126571655273,192.990112304688,168.990386962891
