File,Feature Groups,Avg. Peak FWHM (min.),Peak Capacity,Identified Lipids,Avg. MS2 Purity,Avg. Lipid Mass Error(ppm)
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),2710,0.096,212.885,308,43.307,0.532
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),2768,0.098,218.295,285,45.814,0.326
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),2903,0.1,204.299,332,45.1,0.435
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),2701,0.097,211.082,288,46.595,0.617
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),2540,0.097,204.917,279,41.615,0.323
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),2712,0.1,201.98,280,47.084,0.637
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),2913,0.098,223.428,302,43.441,0.299
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),2632,0.098,223.683,277,45.505,0.42
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),3196,0.097,217.845,328,47.131,0.899
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),2453,0.098,203.02,282,45.197,0.49
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),2858,0.098,208.602,323,44.048,0.458
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),3079,0.099,206.808,313,47.924,0.616
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),2980,0.1,204.85,392,47.297,0.42
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),2939,0.094,227.563,316,47.186,0.606
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),3292,0.102,208.235,373,47.626,0.385
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),3093,0.098,212.193,328,47.355,0.498
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),2891,0.097,210.721,353,47.644,0.243
20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),40,0.084,219.571,2,100.0,0.391
20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),18,0.086,177.988,0,NaN,-0.743
20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),17,0.085,172.047,0,NaN,-0.686
